1 fold training
set gamma = -0.5
['[0,5000]', 'loss=1.062', 'test_acu=0.279', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.438', 'test_acu=0.336', 'test_f1_score=0.079', 'test_acc=0.549', 'test_ppr=0.041', 'test_sen=0.750', 'test_spe=0.544', 'test_macc=0.647', 'test_g_mean=0.639']
['[200,5000]', 'loss=0.128', 'test_acu=0.465', 'test_f1_score=0.060', 'test_acc=0.532', 'test_ppr=0.032', 'test_sen=0.583', 'test_spe=0.531', 'test_macc=0.557', 'test_g_mean=0.556']
['[300,5000]', 'loss=0.053', 'test_acu=0.399', 'test_f1_score=0.080', 'test_acc=0.462', 'test_ppr=0.042', 'test_sen=0.917', 'test_spe=0.450', 'test_macc=0.683', 'test_g_mean=0.642']
['[400,5000]', 'loss=0.048', 'test_acu=0.339', 'test_f1_score=0.082', 'test_acc=0.474', 'test_ppr=0.043', 'test_sen=0.917', 'test_spe=0.463', 'test_macc=0.690', 'test_g_mean=0.651']
['[500,5000]', 'loss=0.049', 'test_acu=0.296', 'test_f1_score=0.085', 'test_acc=0.451', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.436', 'test_macc=0.718', 'test_g_mean=0.661']
['[600,5000]', 'loss=0.049', 'test_acu=0.759', 'test_f1_score=0.046', 'test_acc=0.026', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.002', 'test_macc=0.459', 'test_g_mean=0.045']
['[700,5000]', 'loss=0.049', 'test_acu=0.804', 'test_f1_score=0.046', 'test_acc=0.030', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.007', 'test_macc=0.462', 'test_g_mean=0.078']
['[800,5000]', 'loss=0.049', 'test_acu=0.795', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.049', 'test_acu=0.794', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.049', 'test_acu=0.804', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.049', 'test_acu=0.797', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.049', 'test_acu=0.785', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.049', 'test_acu=0.776', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.049', 'test_acu=0.775', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.049', 'test_acu=0.777', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.049', 'test_acu=0.780', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.049', 'test_acu=0.780', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.049', 'test_acu=0.781', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.049', 'test_acu=0.785', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.049', 'test_acu=0.788', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.049', 'test_acu=0.789', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.049', 'test_acu=0.790', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.049', 'test_acu=0.788', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.049', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.049', 'test_acu=0.785', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.049', 'test_acu=0.783', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.049', 'test_acu=0.779', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.048', 'test_acu=0.771', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.048', 'test_acu=0.764', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.047', 'test_acu=0.757', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.047', 'test_acu=0.755', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.047', 'test_acu=0.752', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.047', 'test_acu=0.748', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.047', 'test_acu=0.745', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.047', 'test_acu=0.740', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.046', 'test_acu=0.734', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.046', 'test_acu=0.721', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.046', 'test_acu=0.712', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.046', 'test_acu=0.698', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.046', 'test_acu=0.686', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.046', 'test_acu=0.672', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.046', 'test_acu=0.660', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.046', 'test_acu=0.652', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.046', 'test_acu=0.672', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.046', 'test_acu=0.759', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[4600,5000]', 'loss=0.046', 'test_acu=0.684', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[4700,5000]', 'loss=0.046', 'test_acu=0.452', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[4800,5000]', 'loss=0.046', 'test_acu=0.453', 'test_f1_score=0.046', 'test_acc=0.030', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.007', 'test_macc=0.462', 'test_g_mean=0.078']
['[4900,5000]', 'loss=0.046', 'test_acu=0.452', 'test_f1_score=0.046', 'test_acc=0.030', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.007', 'test_macc=0.462', 'test_g_mean=0.078']
set gamma = -0.4
['[0,5000]', 'loss=0.046', 'test_acu=0.454', 'test_f1_score=0.046', 'test_acc=0.028', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.004', 'test_macc=0.461', 'test_g_mean=0.063']
['[100,5000]', 'loss=0.046', 'test_acu=0.435', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[200,5000]', 'loss=0.046', 'test_acu=0.414', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[300,5000]', 'loss=0.046', 'test_acu=0.410', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[400,5000]', 'loss=0.046', 'test_acu=0.411', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[500,5000]', 'loss=0.046', 'test_acu=0.411', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[600,5000]', 'loss=0.046', 'test_acu=0.413', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[700,5000]', 'loss=0.046', 'test_acu=0.414', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[800,5000]', 'loss=0.046', 'test_acu=0.415', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[900,5000]', 'loss=0.046', 'test_acu=0.418', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[1000,5000]', 'loss=0.046', 'test_acu=0.421', 'test_f1_score=0.046', 'test_acc=0.032', 'test_ppr=0.024', 'test_sen=0.917', 'test_spe=0.009', 'test_macc=0.463', 'test_g_mean=0.090']
['[1100,5000]', 'loss=0.046', 'test_acu=0.338', 'test_f1_score=0.050', 'test_acc=0.034', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.504', 'test_g_mean=0.094']
['[1200,5000]', 'loss=0.046', 'test_acu=0.337', 'test_f1_score=0.050', 'test_acc=0.034', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.504', 'test_g_mean=0.094']
['[1300,5000]', 'loss=0.045', 'test_acu=0.337', 'test_f1_score=0.050', 'test_acc=0.034', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.504', 'test_g_mean=0.094']
['[1400,5000]', 'loss=0.045', 'test_acu=0.338', 'test_f1_score=0.050', 'test_acc=0.034', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.504', 'test_g_mean=0.094']
