1 fold training
['[0,5000]', 'loss=0.577', 'test_acu=0.279', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.528', 'test_acu=0.287', 'test_f1_score=0.050', 'test_acc=0.030', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.004', 'test_macc=0.502', 'test_g_mean=0.066']
['[200,5000]', 'loss=0.488', 'test_acu=0.304', 'test_f1_score=0.055', 'test_acc=0.126', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.103', 'test_macc=0.552', 'test_g_mean=0.321']
['[300,5000]', 'loss=0.457', 'test_acu=0.317', 'test_f1_score=0.063', 'test_acc=0.233', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.213', 'test_macc=0.606', 'test_g_mean=0.461']
['[400,5000]', 'loss=0.433', 'test_acu=0.332', 'test_f1_score=0.069', 'test_acc=0.310', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.292', 'test_macc=0.646', 'test_g_mean=0.540']
['[500,5000]', 'loss=0.417', 'test_acu=0.341', 'test_f1_score=0.075', 'test_acc=0.363', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.346', 'test_macc=0.673', 'test_g_mean=0.589']
['[600,5000]', 'loss=0.405', 'test_acu=0.344', 'test_f1_score=0.081', 'test_acc=0.421', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.406', 'test_macc=0.703', 'test_g_mean=0.637']
['[700,5000]', 'loss=0.397', 'test_acu=0.344', 'test_f1_score=0.081', 'test_acc=0.466', 'test_ppr=0.042', 'test_sen=0.917', 'test_spe=0.454', 'test_macc=0.685', 'test_g_mean=0.645']
['[800,5000]', 'loss=0.391', 'test_acu=0.341', 'test_f1_score=0.083', 'test_acc=0.479', 'test_ppr=0.043', 'test_sen=0.917', 'test_spe=0.467', 'test_macc=0.692', 'test_g_mean=0.654']
['[900,5000]', 'loss=0.385', 'test_acu=0.340', 'test_f1_score=0.086', 'test_acc=0.502', 'test_ppr=0.045', 'test_sen=0.917', 'test_spe=0.491', 'test_macc=0.704', 'test_g_mean=0.671']
['[1000,5000]', 'loss=0.381', 'test_acu=0.340', 'test_f1_score=0.089', 'test_acc=0.519', 'test_ppr=0.047', 'test_sen=0.917', 'test_spe=0.509', 'test_macc=0.713', 'test_g_mean=0.683']
['[1100,5000]', 'loss=0.377', 'test_acu=0.339', 'test_f1_score=0.084', 'test_acc=0.536', 'test_ppr=0.044', 'test_sen=0.833', 'test_spe=0.529', 'test_macc=0.681', 'test_g_mean=0.664']
['[1200,5000]', 'loss=0.373', 'test_acu=0.338', 'test_f1_score=0.078', 'test_acc=0.543', 'test_ppr=0.041', 'test_sen=0.750', 'test_spe=0.537', 'test_macc=0.644', 'test_g_mean=0.635']
['[1300,5000]', 'loss=0.369', 'test_acu=0.338', 'test_f1_score=0.080', 'test_acc=0.560', 'test_ppr=0.042', 'test_sen=0.750', 'test_spe=0.555', 'test_macc=0.652', 'test_g_mean=0.645']
['[1400,5000]', 'loss=0.366', 'test_acu=0.337', 'test_f1_score=0.081', 'test_acc=0.564', 'test_ppr=0.043', 'test_sen=0.750', 'test_spe=0.559', 'test_macc=0.655', 'test_g_mean=0.648']
['[1500,5000]', 'loss=0.362', 'test_acu=0.338', 'test_f1_score=0.083', 'test_acc=0.573', 'test_ppr=0.044', 'test_sen=0.750', 'test_spe=0.568', 'test_macc=0.659', 'test_g_mean=0.653']
['[1600,5000]', 'loss=0.359', 'test_acu=0.338', 'test_f1_score=0.084', 'test_acc=0.581', 'test_ppr=0.045', 'test_sen=0.750', 'test_spe=0.577', 'test_macc=0.663', 'test_g_mean=0.658']
['[1700,5000]', 'loss=0.355', 'test_acu=0.338', 'test_f1_score=0.075', 'test_acc=0.581', 'test_ppr=0.040', 'test_sen=0.667', 'test_spe=0.579', 'test_macc=0.623', 'test_g_mean=0.621']
['[1800,5000]', 'loss=0.352', 'test_acu=0.338', 'test_f1_score=0.078', 'test_acc=0.594', 'test_ppr=0.041', 'test_sen=0.667', 'test_spe=0.592', 'test_macc=0.629', 'test_g_mean=0.628']
['[1900,5000]', 'loss=0.349', 'test_acu=0.338', 'test_f1_score=0.078', 'test_acc=0.598', 'test_ppr=0.042', 'test_sen=0.667', 'test_spe=0.596', 'test_macc=0.632', 'test_g_mean=0.631']
['[2000,5000]', 'loss=0.346', 'test_acu=0.338', 'test_f1_score=0.079', 'test_acc=0.600', 'test_ppr=0.042', 'test_sen=0.667', 'test_spe=0.599', 'test_macc=0.633', 'test_g_mean=0.632']
