1 fold training
['[0,5000]', 'loss=0.039', 'test_acu=0.689', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.038', 'test_acu=0.651', 'test_f1_score=0.039', 'test_acc=0.092', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.075', 'test_macc=0.466', 'test_g_mean=0.254']
['[200,5000]', 'loss=0.038', 'test_acu=0.659', 'test_f1_score=0.042', 'test_acc=0.154', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.138', 'test_macc=0.498', 'test_g_mean=0.344']
['[300,5000]', 'loss=0.038', 'test_acu=0.663', 'test_f1_score=0.042', 'test_acc=0.160', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.145', 'test_macc=0.501', 'test_g_mean=0.352']
['[400,5000]', 'loss=0.038', 'test_acu=0.662', 'test_f1_score=0.042', 'test_acc=0.163', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.148', 'test_macc=0.502', 'test_g_mean=0.356']
['[500,5000]', 'loss=0.038', 'test_acu=0.662', 'test_f1_score=0.042', 'test_acc=0.163', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.148', 'test_macc=0.502', 'test_g_mean=0.356']
['[600,5000]', 'loss=0.038', 'test_acu=0.659', 'test_f1_score=0.042', 'test_acc=0.157', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.142', 'test_macc=0.499', 'test_g_mean=0.348']
['[700,5000]', 'loss=0.038', 'test_acu=0.656', 'test_f1_score=0.042', 'test_acc=0.157', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.142', 'test_macc=0.499', 'test_g_mean=0.348']
['[800,5000]', 'loss=0.038', 'test_acu=0.652', 'test_f1_score=0.042', 'test_acc=0.157', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.142', 'test_macc=0.499', 'test_g_mean=0.348']
['[900,5000]', 'loss=0.038', 'test_acu=0.650', 'test_f1_score=0.042', 'test_acc=0.154', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.138', 'test_macc=0.498', 'test_g_mean=0.344']
['[1000,5000]', 'loss=0.038', 'test_acu=0.650', 'test_f1_score=0.042', 'test_acc=0.151', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.135', 'test_macc=0.496', 'test_g_mean=0.340']
