1 fold training
['[0,5000]', 'loss=0.659', 'test_acu=0.634', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.636', 'test_acu=0.638', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.614', 'test_acu=0.639', 'test_f1_score=0.042', 'test_acc=0.025', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.056']
['[300,5000]', 'loss=0.595', 'test_acu=0.611', 'test_f1_score=0.043', 'test_acc=0.049', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.028', 'test_macc=0.514', 'test_g_mean=0.168']
['[400,5000]', 'loss=0.578', 'test_acu=0.565', 'test_f1_score=0.044', 'test_acc=0.065', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.044', 'test_macc=0.522', 'test_g_mean=0.210']
['[500,5000]', 'loss=0.564', 'test_acu=0.530', 'test_f1_score=0.039', 'test_acc=0.092', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.075', 'test_macc=0.466', 'test_g_mean=0.254']
['[600,5000]', 'loss=0.551', 'test_acu=0.508', 'test_f1_score=0.041', 'test_acc=0.132', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.116', 'test_macc=0.487', 'test_g_mean=0.316']
['[700,5000]', 'loss=0.541', 'test_acu=0.491', 'test_f1_score=0.042', 'test_acc=0.160', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.145', 'test_macc=0.501', 'test_g_mean=0.352']
['[800,5000]', 'loss=0.532', 'test_acu=0.481', 'test_f1_score=0.044', 'test_acc=0.203', 'test_ppr=0.023', 'test_sen=0.857', 'test_spe=0.189', 'test_macc=0.523', 'test_g_mean=0.402']
['[900,5000]', 'loss=0.526', 'test_acu=0.481', 'test_f1_score=0.038', 'test_acc=0.228', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.217', 'test_macc=0.466', 'test_g_mean=0.394']
['[1000,5000]', 'loss=0.521', 'test_acu=0.487', 'test_f1_score=0.039', 'test_acc=0.249', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.239', 'test_macc=0.477', 'test_g_mean=0.413']
['[1100,5000]', 'loss=0.517', 'test_acu=0.497', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[1200,5000]', 'loss=0.515', 'test_acu=0.507', 'test_f1_score=0.034', 'test_acc=0.305', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.299', 'test_macc=0.435', 'test_g_mean=0.413']
