1 fold training
['[0,5000]', 'loss=0.520', 'test_acu=0.634', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.504', 'test_acu=0.637', 'test_f1_score=0.043', 'test_acc=0.040', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.019', 'test_macc=0.509', 'test_g_mean=0.137']
['[200,5000]', 'loss=0.490', 'test_acu=0.640', 'test_f1_score=0.044', 'test_acc=0.058', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.038', 'test_macc=0.519', 'test_g_mean=0.194']
['[300,5000]', 'loss=0.480', 'test_acu=0.638', 'test_f1_score=0.038', 'test_acc=0.074', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.057', 'test_macc=0.457', 'test_g_mean=0.220']
['[400,5000]', 'loss=0.471', 'test_acu=0.634', 'test_f1_score=0.039', 'test_acc=0.102', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.085', 'test_macc=0.471', 'test_g_mean=0.270']
['[500,5000]', 'loss=0.464', 'test_acu=0.629', 'test_f1_score=0.041', 'test_acc=0.132', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.116', 'test_macc=0.487', 'test_g_mean=0.316']
['[600,5000]', 'loss=0.458', 'test_acu=0.618', 'test_f1_score=0.042', 'test_acc=0.151', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.135', 'test_macc=0.496', 'test_g_mean=0.340']
['[700,5000]', 'loss=0.453', 'test_acu=0.613', 'test_f1_score=0.042', 'test_acc=0.160', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.145', 'test_macc=0.501', 'test_g_mean=0.352']
['[800,5000]', 'loss=0.449', 'test_acu=0.610', 'test_f1_score=0.044', 'test_acc=0.191', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.176', 'test_macc=0.517', 'test_g_mean=0.389']
['[900,5000]', 'loss=0.446', 'test_acu=0.606', 'test_f1_score=0.037', 'test_acc=0.209', 'test_ppr=0.019', 'test_sen=0.714', 'test_spe=0.198', 'test_macc=0.456', 'test_g_mean=0.376']
['[1000,5000]', 'loss=0.443', 'test_acu=0.604', 'test_f1_score=0.038', 'test_acc=0.222', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.211', 'test_macc=0.462', 'test_g_mean=0.388']
['[1100,5000]', 'loss=0.441', 'test_acu=0.603', 'test_f1_score=0.039', 'test_acc=0.237', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.226', 'test_macc=0.470', 'test_g_mean=0.402']
['[1200,5000]', 'loss=0.439', 'test_acu=0.605', 'test_f1_score=0.039', 'test_acc=0.243', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.233', 'test_macc=0.473', 'test_g_mean=0.408']
['[1300,5000]', 'loss=0.437', 'test_acu=0.608', 'test_f1_score=0.039', 'test_acc=0.243', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.233', 'test_macc=0.473', 'test_g_mean=0.408']
['[1400,5000]', 'loss=0.435', 'test_acu=0.612', 'test_f1_score=0.039', 'test_acc=0.246', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.236', 'test_macc=0.475', 'test_g_mean=0.410']
['[1500,5000]', 'loss=0.433', 'test_acu=0.616', 'test_f1_score=0.032', 'test_acc=0.262', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.255', 'test_macc=0.413', 'test_g_mean=0.382']
['[1600,5000]', 'loss=0.431', 'test_acu=0.621', 'test_f1_score=0.033', 'test_acc=0.268', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.261', 'test_macc=0.416', 'test_g_mean=0.386']
['[1700,5000]', 'loss=0.430', 'test_acu=0.623', 'test_f1_score=0.033', 'test_acc=0.268', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.261', 'test_macc=0.416', 'test_g_mean=0.386']
['[1800,5000]', 'loss=0.428', 'test_acu=0.628', 'test_f1_score=0.033', 'test_acc=0.271', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.264', 'test_macc=0.418', 'test_g_mean=0.389']
['[1900,5000]', 'loss=0.426', 'test_acu=0.632', 'test_f1_score=0.033', 'test_acc=0.277', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.270', 'test_macc=0.421', 'test_g_mean=0.393']
['[2000,5000]', 'loss=0.425', 'test_acu=0.635', 'test_f1_score=0.033', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.274', 'test_macc=0.423', 'test_g_mean=0.395']
['[2100,5000]', 'loss=0.423', 'test_acu=0.637', 'test_f1_score=0.033', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.274', 'test_macc=0.423', 'test_g_mean=0.395']
['[2200,5000]', 'loss=0.422', 'test_acu=0.633', 'test_f1_score=0.033', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.274', 'test_macc=0.423', 'test_g_mean=0.395']
['[2300,5000]', 'loss=0.420', 'test_acu=0.630', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[2400,5000]', 'loss=0.419', 'test_acu=0.626', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[2500,5000]', 'loss=0.417', 'test_acu=0.623', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[2600,5000]', 'loss=0.416', 'test_acu=0.617', 'test_f1_score=0.033', 'test_acc=0.286', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.280', 'test_macc=0.426', 'test_g_mean=0.400']
['[2700,5000]', 'loss=0.414', 'test_acu=0.609', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[2800,5000]', 'loss=0.413', 'test_acu=0.609', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[2900,5000]', 'loss=0.411', 'test_acu=0.609', 'test_f1_score=0.033', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.274', 'test_macc=0.423', 'test_g_mean=0.395']
['[3000,5000]', 'loss=0.410', 'test_acu=0.611', 'test_f1_score=0.033', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.274', 'test_macc=0.423', 'test_g_mean=0.395']
