1 fold training
['[0,5000]', 'loss=0.593', 'test_acu=0.634', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.567', 'test_acu=0.638', 'test_f1_score=0.043', 'test_acc=0.034', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.013', 'test_macc=0.506', 'test_g_mean=0.112']
['[200,5000]', 'loss=0.546', 'test_acu=0.637', 'test_f1_score=0.043', 'test_acc=0.052', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.031', 'test_macc=0.516', 'test_g_mean=0.177']
['[300,5000]', 'loss=0.528', 'test_acu=0.620', 'test_f1_score=0.038', 'test_acc=0.077', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.060', 'test_macc=0.458', 'test_g_mean=0.226']
['[400,5000]', 'loss=0.515', 'test_acu=0.595', 'test_f1_score=0.040', 'test_acc=0.120', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.104', 'test_macc=0.480', 'test_g_mean=0.298']
['[500,5000]', 'loss=0.505', 'test_acu=0.572', 'test_f1_score=0.042', 'test_acc=0.151', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.135', 'test_macc=0.496', 'test_g_mean=0.340']
['[600,5000]', 'loss=0.498', 'test_acu=0.553', 'test_f1_score=0.043', 'test_acc=0.182', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.167', 'test_macc=0.512', 'test_g_mean=0.378']
['[700,5000]', 'loss=0.492', 'test_acu=0.542', 'test_f1_score=0.038', 'test_acc=0.218', 'test_ppr=0.019', 'test_sen=0.714', 'test_spe=0.208', 'test_macc=0.461', 'test_g_mean=0.385']
['[800,5000]', 'loss=0.489', 'test_acu=0.535', 'test_f1_score=0.039', 'test_acc=0.243', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.233', 'test_macc=0.473', 'test_g_mean=0.408']
['[900,5000]', 'loss=0.486', 'test_acu=0.533', 'test_f1_score=0.032', 'test_acc=0.255', 'test_ppr=0.016', 'test_sen=0.571', 'test_spe=0.248', 'test_macc=0.410', 'test_g_mean=0.377']
['[1000,5000]', 'loss=0.484', 'test_acu=0.535', 'test_f1_score=0.033', 'test_acc=0.283', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.277', 'test_macc=0.424', 'test_g_mean=0.398']
['[1100,5000]', 'loss=0.483', 'test_acu=0.535', 'test_f1_score=0.034', 'test_acc=0.302', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.296', 'test_macc=0.434', 'test_g_mean=0.411']
['[1200,5000]', 'loss=0.482', 'test_acu=0.539', 'test_f1_score=0.035', 'test_acc=0.314', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.308', 'test_macc=0.440', 'test_g_mean=0.420']
['[1300,5000]', 'loss=0.481', 'test_acu=0.542', 'test_f1_score=0.035', 'test_acc=0.326', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.321', 'test_macc=0.446', 'test_g_mean=0.428']
['[1400,5000]', 'loss=0.481', 'test_acu=0.545', 'test_f1_score=0.036', 'test_acc=0.335', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.330', 'test_macc=0.451', 'test_g_mean=0.434']
['[1500,5000]', 'loss=0.480', 'test_acu=0.552', 'test_f1_score=0.037', 'test_acc=0.354', 'test_ppr=0.019', 'test_sen=0.571', 'test_spe=0.349', 'test_macc=0.460', 'test_g_mean=0.447']
['[1600,5000]', 'loss=0.480', 'test_acu=0.559', 'test_f1_score=0.037', 'test_acc=0.363', 'test_ppr=0.019', 'test_sen=0.571', 'test_spe=0.358', 'test_macc=0.465', 'test_g_mean=0.453']
['[1700,5000]', 'loss=0.479', 'test_acu=0.567', 'test_f1_score=0.038', 'test_acc=0.375', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.371', 'test_macc=0.471', 'test_g_mean=0.460']
['[1800,5000]', 'loss=0.479', 'test_acu=0.573', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[1900,5000]', 'loss=0.479', 'test_acu=0.578', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[2000,5000]', 'loss=0.479', 'test_acu=0.584', 'test_f1_score=0.038', 'test_acc=0.382', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.377', 'test_macc=0.474', 'test_g_mean=0.464']
['[2100,5000]', 'loss=0.478', 'test_acu=0.588', 'test_f1_score=0.038', 'test_acc=0.382', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.377', 'test_macc=0.474', 'test_g_mean=0.464']
['[2200,5000]', 'loss=0.478', 'test_acu=0.594', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[2300,5000]', 'loss=0.478', 'test_acu=0.600', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[2400,5000]', 'loss=0.477', 'test_acu=0.606', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[2500,5000]', 'loss=0.477', 'test_acu=0.613', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[2600,5000]', 'loss=0.477', 'test_acu=0.615', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[2700,5000]', 'loss=0.476', 'test_acu=0.620', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[2800,5000]', 'loss=0.476', 'test_acu=0.624', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[2900,5000]', 'loss=0.476', 'test_acu=0.629', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[3000,5000]', 'loss=0.476', 'test_acu=0.629', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[3100,5000]', 'loss=0.475', 'test_acu=0.632', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[3200,5000]', 'loss=0.475', 'test_acu=0.632', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[3300,5000]', 'loss=0.475', 'test_acu=0.634', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[3400,5000]', 'loss=0.474', 'test_acu=0.636', 'test_f1_score=0.038', 'test_acc=0.385', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.381', 'test_macc=0.476', 'test_g_mean=0.466']
['[3500,5000]', 'loss=0.474', 'test_acu=0.637', 'test_f1_score=0.038', 'test_acc=0.382', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.377', 'test_macc=0.474', 'test_g_mean=0.464']
['[3600,5000]', 'loss=0.474', 'test_acu=0.637', 'test_f1_score=0.038', 'test_acc=0.382', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.377', 'test_macc=0.474', 'test_g_mean=0.464']
['[3700,5000]', 'loss=0.473', 'test_acu=0.636', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[3800,5000]', 'loss=0.473', 'test_acu=0.637', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
