1 fold training
['[0,5000]', 'loss=0.632', 'test_acu=0.634', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.608', 'test_acu=0.638', 'test_f1_score=0.042', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.587', 'test_acu=0.637', 'test_f1_score=0.043', 'test_acc=0.043', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.022', 'test_macc=0.511', 'test_g_mean=0.148']
['[300,5000]', 'loss=0.569', 'test_acu=0.616', 'test_f1_score=0.044', 'test_acc=0.065', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.044', 'test_macc=0.522', 'test_g_mean=0.210']
['[400,5000]', 'loss=0.554', 'test_acu=0.580', 'test_f1_score=0.039', 'test_acc=0.092', 'test_ppr=0.020', 'test_sen=0.857', 'test_spe=0.075', 'test_macc=0.466', 'test_g_mean=0.254']
['[500,5000]', 'loss=0.542', 'test_acu=0.549', 'test_f1_score=0.040', 'test_acc=0.123', 'test_ppr=0.021', 'test_sen=0.857', 'test_spe=0.107', 'test_macc=0.482', 'test_g_mean=0.303']
['[600,5000]', 'loss=0.532', 'test_acu=0.527', 'test_f1_score=0.042', 'test_acc=0.157', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.142', 'test_macc=0.499', 'test_g_mean=0.348']
['[700,5000]', 'loss=0.525', 'test_acu=0.514', 'test_f1_score=0.044', 'test_acc=0.194', 'test_ppr=0.022', 'test_sen=0.857', 'test_spe=0.179', 'test_macc=0.518', 'test_g_mean=0.392']
['[800,5000]', 'loss=0.520', 'test_acu=0.510', 'test_f1_score=0.038', 'test_acc=0.218', 'test_ppr=0.019', 'test_sen=0.714', 'test_spe=0.208', 'test_macc=0.461', 'test_g_mean=0.385']
['[900,5000]', 'loss=0.515', 'test_acu=0.509', 'test_f1_score=0.039', 'test_acc=0.243', 'test_ppr=0.020', 'test_sen=0.714', 'test_spe=0.233', 'test_macc=0.473', 'test_g_mean=0.408']
['[1000,5000]', 'loss=0.512', 'test_acu=0.509', 'test_f1_score=0.032', 'test_acc=0.262', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.255', 'test_macc=0.413', 'test_g_mean=0.382']
['[1100,5000]', 'loss=0.510', 'test_acu=0.512', 'test_f1_score=0.033', 'test_acc=0.286', 'test_ppr=0.017', 'test_sen=0.571', 'test_spe=0.280', 'test_macc=0.426', 'test_g_mean=0.400']
['[1200,5000]', 'loss=0.509', 'test_acu=0.517', 'test_f1_score=0.034', 'test_acc=0.305', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.299', 'test_macc=0.435', 'test_g_mean=0.413']
['[1300,5000]', 'loss=0.507', 'test_acu=0.522', 'test_f1_score=0.035', 'test_acc=0.320', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.314', 'test_macc=0.443', 'test_g_mean=0.424']
['[1400,5000]', 'loss=0.506', 'test_acu=0.527', 'test_f1_score=0.036', 'test_acc=0.332', 'test_ppr=0.018', 'test_sen=0.571', 'test_spe=0.327', 'test_macc=0.449', 'test_g_mean=0.432']
['[1500,5000]', 'loss=0.506', 'test_acu=0.535', 'test_f1_score=0.036', 'test_acc=0.342', 'test_ppr=0.019', 'test_sen=0.571', 'test_spe=0.336', 'test_macc=0.454', 'test_g_mean=0.438']
['[1600,5000]', 'loss=0.505', 'test_acu=0.540', 'test_f1_score=0.037', 'test_acc=0.360', 'test_ppr=0.019', 'test_sen=0.571', 'test_spe=0.355', 'test_macc=0.463', 'test_g_mean=0.451']
['[1700,5000]', 'loss=0.504', 'test_acu=0.547', 'test_f1_score=0.038', 'test_acc=0.375', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.371', 'test_macc=0.471', 'test_g_mean=0.460']
['[1800,5000]', 'loss=0.504', 'test_acu=0.557', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[1900,5000]', 'loss=0.503', 'test_acu=0.566', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[2000,5000]', 'loss=0.503', 'test_acu=0.574', 'test_f1_score=0.038', 'test_acc=0.385', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.381', 'test_macc=0.476', 'test_g_mean=0.466']
['[2100,5000]', 'loss=0.503', 'test_acu=0.582', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[2200,5000]', 'loss=0.502', 'test_acu=0.589', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2300,5000]', 'loss=0.502', 'test_acu=0.595', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2400,5000]', 'loss=0.501', 'test_acu=0.603', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2500,5000]', 'loss=0.501', 'test_acu=0.610', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2600,5000]', 'loss=0.501', 'test_acu=0.615', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2700,5000]', 'loss=0.500', 'test_acu=0.621', 'test_f1_score=0.039', 'test_acc=0.397', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.393', 'test_macc=0.482', 'test_g_mean=0.474']
['[2800,5000]', 'loss=0.500', 'test_acu=0.625', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[2900,5000]', 'loss=0.499', 'test_acu=0.628', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[3000,5000]', 'loss=0.499', 'test_acu=0.629', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[3100,5000]', 'loss=0.499', 'test_acu=0.630', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[3200,5000]', 'loss=0.498', 'test_acu=0.633', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
['[3300,5000]', 'loss=0.498', 'test_acu=0.636', 'test_f1_score=0.039', 'test_acc=0.391', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.387', 'test_macc=0.479', 'test_g_mean=0.470']
['[3400,5000]', 'loss=0.498', 'test_acu=0.635', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[3500,5000]', 'loss=0.497', 'test_acu=0.634', 'test_f1_score=0.038', 'test_acc=0.385', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.381', 'test_macc=0.476', 'test_g_mean=0.466']
['[3600,5000]', 'loss=0.497', 'test_acu=0.635', 'test_f1_score=0.038', 'test_acc=0.385', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.381', 'test_macc=0.476', 'test_g_mean=0.466']
['[3700,5000]', 'loss=0.496', 'test_acu=0.637', 'test_f1_score=0.038', 'test_acc=0.382', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.377', 'test_macc=0.474', 'test_g_mean=0.464']
['[3800,5000]', 'loss=0.496', 'test_acu=0.635', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[3900,5000]', 'loss=0.496', 'test_acu=0.634', 'test_f1_score=0.038', 'test_acc=0.372', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.368', 'test_macc=0.470', 'test_g_mean=0.459']
['[4000,5000]', 'loss=0.495', 'test_acu=0.635', 'test_f1_score=0.038', 'test_acc=0.375', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.371', 'test_macc=0.471', 'test_g_mean=0.460']
['[4100,5000]', 'loss=0.495', 'test_acu=0.633', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[4200,5000]', 'loss=0.494', 'test_acu=0.631', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[4300,5000]', 'loss=0.494', 'test_acu=0.633', 'test_f1_score=0.038', 'test_acc=0.378', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.374', 'test_macc=0.473', 'test_g_mean=0.462']
['[4400,5000]', 'loss=0.494', 'test_acu=0.626', 'test_f1_score=0.039', 'test_acc=0.388', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.384', 'test_macc=0.478', 'test_g_mean=0.468']
['[4500,5000]', 'loss=0.493', 'test_acu=0.625', 'test_f1_score=0.039', 'test_acc=0.394', 'test_ppr=0.020', 'test_sen=0.571', 'test_spe=0.390', 'test_macc=0.481', 'test_g_mean=0.472']
