1 fold training
['[0,5000]', 'loss=0.026', 'test_acu=0.419', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.026', 'test_acu=0.310', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.026', 'test_acu=0.311', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.026', 'test_acu=0.316', 'test_f1_score=0.033', 'test_acc=0.076', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.061', 'test_macc=0.530', 'test_g_mean=0.247']
['[400,5000]', 'loss=0.026', 'test_acu=0.317', 'test_f1_score=0.035', 'test_acc=0.146', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.132', 'test_macc=0.566', 'test_g_mean=0.364']
['[500,5000]', 'loss=0.026', 'test_acu=0.317', 'test_f1_score=0.037', 'test_acc=0.198', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.185', 'test_macc=0.593', 'test_g_mean=0.430']
['[600,5000]', 'loss=0.026', 'test_acu=0.315', 'test_f1_score=0.038', 'test_acc=0.206', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.193', 'test_macc=0.597', 'test_g_mean=0.439']
['[700,5000]', 'loss=0.026', 'test_acu=0.314', 'test_f1_score=0.038', 'test_acc=0.219', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.206', 'test_macc=0.603', 'test_g_mean=0.454']
['[800,5000]', 'loss=0.026', 'test_acu=0.315', 'test_f1_score=0.039', 'test_acc=0.227', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.214', 'test_macc=0.607', 'test_g_mean=0.463']
['[900,5000]', 'loss=0.026', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.229', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.217', 'test_macc=0.608', 'test_g_mean=0.466']
['[1000,5000]', 'loss=0.026', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[1100,5000]', 'loss=0.026', 'test_acu=0.314', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[1200,5000]', 'loss=0.026', 'test_acu=0.314', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[1300,5000]', 'loss=0.026', 'test_acu=0.313', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[1400,5000]', 'loss=0.026', 'test_acu=0.313', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[1500,5000]', 'loss=0.026', 'test_acu=0.313', 'test_f1_score=0.039', 'test_acc=0.234', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
