1 fold training
['[0,5000]', 'loss=0.632', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.594', 'test_acu=0.314', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.561', 'test_acu=0.303', 'test_f1_score=0.031', 'test_acc=0.023', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.089']
['[300,5000]', 'loss=0.533', 'test_acu=0.319', 'test_f1_score=0.034', 'test_acc=0.112', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.098', 'test_macc=0.549', 'test_g_mean=0.313']
['[400,5000]', 'loss=0.510', 'test_acu=0.334', 'test_f1_score=0.037', 'test_acc=0.193', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.180', 'test_macc=0.590', 'test_g_mean=0.424']
['[500,5000]', 'loss=0.492', 'test_acu=0.327', 'test_f1_score=0.041', 'test_acc=0.263', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.251', 'test_macc=0.626', 'test_g_mean=0.501']
['[600,5000]', 'loss=0.479', 'test_acu=0.324', 'test_f1_score=0.046', 'test_acc=0.352', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.341', 'test_macc=0.671', 'test_g_mean=0.584']
['[700,5000]', 'loss=0.470', 'test_acu=0.324', 'test_f1_score=0.050', 'test_acc=0.401', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.392', 'test_macc=0.696', 'test_g_mean=0.626']
['[800,5000]', 'loss=0.464', 'test_acu=0.325', 'test_f1_score=0.054', 'test_acc=0.448', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.439', 'test_macc=0.720', 'test_g_mean=0.663']
['[900,5000]', 'loss=0.461', 'test_acu=0.329', 'test_f1_score=0.047', 'test_acc=0.477', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.471', 'test_macc=0.652', 'test_g_mean=0.626']
['[1000,5000]', 'loss=0.459', 'test_acu=0.326', 'test_f1_score=0.041', 'test_acc=0.508', 'test_ppr=0.021', 'test_sen=0.667', 'test_spe=0.505', 'test_macc=0.586', 'test_g_mean=0.580']
['[1100,5000]', 'loss=0.457', 'test_acu=0.321', 'test_f1_score=0.043', 'test_acc=0.542', 'test_ppr=0.022', 'test_sen=0.667', 'test_spe=0.540', 'test_macc=0.603', 'test_g_mean=0.600']
['[1200,5000]', 'loss=0.456', 'test_acu=0.310', 'test_f1_score=0.047', 'test_acc=0.576', 'test_ppr=0.024', 'test_sen=0.667', 'test_spe=0.574', 'test_macc=0.620', 'test_g_mean=0.619']
['[1300,5000]', 'loss=0.455', 'test_acu=0.305', 'test_f1_score=0.049', 'test_acc=0.594', 'test_ppr=0.025', 'test_sen=0.667', 'test_spe=0.593', 'test_macc=0.630', 'test_g_mean=0.629']
['[1400,5000]', 'loss=0.454', 'test_acu=0.304', 'test_f1_score=0.049', 'test_acc=0.596', 'test_ppr=0.025', 'test_sen=0.667', 'test_spe=0.595', 'test_macc=0.631', 'test_g_mean=0.630']
['[1500,5000]', 'loss=0.453', 'test_acu=0.302', 'test_f1_score=0.051', 'test_acc=0.609', 'test_ppr=0.026', 'test_sen=0.667', 'test_spe=0.608', 'test_macc=0.638', 'test_g_mean=0.637']
['[1600,5000]', 'loss=0.452', 'test_acu=0.302', 'test_f1_score=0.052', 'test_acc=0.620', 'test_ppr=0.027', 'test_sen=0.667', 'test_spe=0.619', 'test_macc=0.643', 'test_g_mean=0.642']
