1 fold training
['[0,5000]', 'loss=0.643', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.584', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.533', 'test_acu=0.307', 'test_f1_score=0.033', 'test_acc=0.094', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.079', 'test_macc=0.540', 'test_g_mean=0.282']
['[300,5000]', 'loss=0.495', 'test_acu=0.331', 'test_f1_score=0.037', 'test_acc=0.198', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.185', 'test_macc=0.593', 'test_g_mean=0.430']
['[400,5000]', 'loss=0.468', 'test_acu=0.332', 'test_f1_score=0.042', 'test_acc=0.286', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.275', 'test_macc=0.638', 'test_g_mean=0.525']
['[500,5000]', 'loss=0.450', 'test_acu=0.329', 'test_f1_score=0.048', 'test_acc=0.385', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.376', 'test_macc=0.688', 'test_g_mean=0.613']
['[600,5000]', 'loss=0.440', 'test_acu=0.328', 'test_f1_score=0.053', 'test_acc=0.445', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.437', 'test_macc=0.718', 'test_g_mean=0.661']
['[700,5000]', 'loss=0.433', 'test_acu=0.328', 'test_f1_score=0.048', 'test_acc=0.479', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.474', 'test_macc=0.653', 'test_g_mean=0.628']
['[800,5000]', 'loss=0.428', 'test_acu=0.327', 'test_f1_score=0.043', 'test_acc=0.534', 'test_ppr=0.022', 'test_sen=0.667', 'test_spe=0.532', 'test_macc=0.599', 'test_g_mean=0.595']
['[900,5000]', 'loss=0.424', 'test_acu=0.328', 'test_f1_score=0.047', 'test_acc=0.576', 'test_ppr=0.024', 'test_sen=0.667', 'test_spe=0.574', 'test_macc=0.620', 'test_g_mean=0.619']
['[1000,5000]', 'loss=0.421', 'test_acu=0.328', 'test_f1_score=0.049', 'test_acc=0.596', 'test_ppr=0.025', 'test_sen=0.667', 'test_spe=0.595', 'test_macc=0.631', 'test_g_mean=0.630']
['[1100,5000]', 'loss=0.417', 'test_acu=0.327', 'test_f1_score=0.053', 'test_acc=0.628', 'test_ppr=0.028', 'test_sen=0.667', 'test_spe=0.627', 'test_macc=0.647', 'test_g_mean=0.647']
['[1200,5000]', 'loss=0.415', 'test_acu=0.327', 'test_f1_score=0.054', 'test_acc=0.638', 'test_ppr=0.028', 'test_sen=0.667', 'test_spe=0.638', 'test_macc=0.652', 'test_g_mean=0.652']
['[1300,5000]', 'loss=0.412', 'test_acu=0.327', 'test_f1_score=0.058', 'test_acc=0.659', 'test_ppr=0.030', 'test_sen=0.667', 'test_spe=0.659', 'test_macc=0.663', 'test_g_mean=0.663']
['[1400,5000]', 'loss=0.409', 'test_acu=0.328', 'test_f1_score=0.060', 'test_acc=0.674', 'test_ppr=0.031', 'test_sen=0.667', 'test_spe=0.675', 'test_macc=0.671', 'test_g_mean=0.671']
['[1500,5000]', 'loss=0.406', 'test_acu=0.328', 'test_f1_score=0.062', 'test_acc=0.685', 'test_ppr=0.033', 'test_sen=0.667', 'test_spe=0.685', 'test_macc=0.676', 'test_g_mean=0.676']
['[1600,5000]', 'loss=0.403', 'test_acu=0.328', 'test_f1_score=0.062', 'test_acc=0.688', 'test_ppr=0.033', 'test_sen=0.667', 'test_spe=0.688', 'test_macc=0.677', 'test_g_mean=0.677']
['[1700,5000]', 'loss=0.400', 'test_acu=0.330', 'test_f1_score=0.062', 'test_acc=0.688', 'test_ppr=0.033', 'test_sen=0.667', 'test_spe=0.688', 'test_macc=0.677', 'test_g_mean=0.677']
['[1800,5000]', 'loss=0.398', 'test_acu=0.331', 'test_f1_score=0.063', 'test_acc=0.693', 'test_ppr=0.033', 'test_sen=0.667', 'test_spe=0.693', 'test_macc=0.680', 'test_g_mean=0.680']
['[1900,5000]', 'loss=0.395', 'test_acu=0.332', 'test_f1_score=0.065', 'test_acc=0.701', 'test_ppr=0.034', 'test_sen=0.667', 'test_spe=0.701', 'test_macc=0.684', 'test_g_mean=0.684']
['[2000,5000]', 'loss=0.392', 'test_acu=0.334', 'test_f1_score=0.066', 'test_acc=0.706', 'test_ppr=0.035', 'test_sen=0.667', 'test_spe=0.706', 'test_macc=0.687', 'test_g_mean=0.686']
['[2100,5000]', 'loss=0.389', 'test_acu=0.333', 'test_f1_score=0.066', 'test_acc=0.706', 'test_ppr=0.035', 'test_sen=0.667', 'test_spe=0.706', 'test_macc=0.687', 'test_g_mean=0.686']
['[2200,5000]', 'loss=0.387', 'test_acu=0.331', 'test_f1_score=0.051', 'test_acc=0.708', 'test_ppr=0.027', 'test_sen=0.500', 'test_spe=0.712', 'test_macc=0.606', 'test_g_mean=0.597']
['[2300,5000]', 'loss=0.384', 'test_acu=0.333', 'test_f1_score=0.052', 'test_acc=0.714', 'test_ppr=0.027', 'test_sen=0.500', 'test_spe=0.717', 'test_macc=0.608', 'test_g_mean=0.599']
['[2400,5000]', 'loss=0.381', 'test_acu=0.332', 'test_f1_score=0.053', 'test_acc=0.719', 'test_ppr=0.028', 'test_sen=0.500', 'test_spe=0.722', 'test_macc=0.611', 'test_g_mean=0.601']
['[2500,5000]', 'loss=0.378', 'test_acu=0.333', 'test_f1_score=0.053', 'test_acc=0.719', 'test_ppr=0.028', 'test_sen=0.500', 'test_spe=0.722', 'test_macc=0.611', 'test_g_mean=0.601']
['[2600,5000]', 'loss=0.376', 'test_acu=0.334', 'test_f1_score=0.053', 'test_acc=0.721', 'test_ppr=0.028', 'test_sen=0.500', 'test_spe=0.725', 'test_macc=0.612', 'test_g_mean=0.602']
['[2700,5000]', 'loss=0.373', 'test_acu=0.334', 'test_f1_score=0.036', 'test_acc=0.719', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.725', 'test_macc=0.529', 'test_g_mean=0.492']
['[2800,5000]', 'loss=0.370', 'test_acu=0.332', 'test_f1_score=0.036', 'test_acc=0.724', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.730', 'test_macc=0.532', 'test_g_mean=0.493']
['[2900,5000]', 'loss=0.368', 'test_acu=0.332', 'test_f1_score=0.037', 'test_acc=0.727', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.733', 'test_macc=0.533', 'test_g_mean=0.494']
['[3000,5000]', 'loss=0.365', 'test_acu=0.333', 'test_f1_score=0.037', 'test_acc=0.727', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.733', 'test_macc=0.533', 'test_g_mean=0.494']
['[3100,5000]', 'loss=0.363', 'test_acu=0.334', 'test_f1_score=0.037', 'test_acc=0.729', 'test_ppr=0.020', 'test_sen=0.333', 'test_spe=0.735', 'test_macc=0.534', 'test_g_mean=0.495']
['[3200,5000]', 'loss=0.360', 'test_acu=0.332', 'test_f1_score=0.037', 'test_acc=0.729', 'test_ppr=0.020', 'test_sen=0.333', 'test_spe=0.735', 'test_macc=0.534', 'test_g_mean=0.495']
['[3300,5000]', 'loss=0.357', 'test_acu=0.334', 'test_f1_score=0.038', 'test_acc=0.734', 'test_ppr=0.020', 'test_sen=0.333', 'test_spe=0.741', 'test_macc=0.537', 'test_g_mean=0.497']
['[3400,5000]', 'loss=0.355', 'test_acu=0.335', 'test_f1_score=0.038', 'test_acc=0.737', 'test_ppr=0.020', 'test_sen=0.333', 'test_spe=0.743', 'test_macc=0.538', 'test_g_mean=0.498']
['[3500,5000]', 'loss=0.353', 'test_acu=0.336', 'test_f1_score=0.039', 'test_acc=0.742', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.749', 'test_macc=0.541', 'test_g_mean=0.500']
['[3600,5000]', 'loss=0.350', 'test_acu=0.336', 'test_f1_score=0.039', 'test_acc=0.745', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.751', 'test_macc=0.542', 'test_g_mean=0.500']
['[3700,5000]', 'loss=0.348', 'test_acu=0.335', 'test_f1_score=0.039', 'test_acc=0.745', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.751', 'test_macc=0.542', 'test_g_mean=0.500']
['[3800,5000]', 'loss=0.345', 'test_acu=0.335', 'test_f1_score=0.039', 'test_acc=0.745', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.751', 'test_macc=0.542', 'test_g_mean=0.500']
['[3900,5000]', 'loss=0.343', 'test_acu=0.335', 'test_f1_score=0.039', 'test_acc=0.745', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.751', 'test_macc=0.542', 'test_g_mean=0.500']
['[4000,5000]', 'loss=0.341', 'test_acu=0.336', 'test_f1_score=0.040', 'test_acc=0.747', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.754', 'test_macc=0.544', 'test_g_mean=0.501']
['[4100,5000]', 'loss=0.339', 'test_acu=0.337', 'test_f1_score=0.040', 'test_acc=0.750', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.757', 'test_macc=0.545', 'test_g_mean=0.502']
['[4200,5000]', 'loss=0.336', 'test_acu=0.340', 'test_f1_score=0.040', 'test_acc=0.750', 'test_ppr=0.021', 'test_sen=0.333', 'test_spe=0.757', 'test_macc=0.545', 'test_g_mean=0.502']
['[4300,5000]', 'loss=0.334', 'test_acu=0.347', 'test_f1_score=0.040', 'test_acc=0.753', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.759', 'test_macc=0.546', 'test_g_mean=0.503']
['[4400,5000]', 'loss=0.332', 'test_acu=0.351', 'test_f1_score=0.040', 'test_acc=0.753', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.759', 'test_macc=0.546', 'test_g_mean=0.503']
['[4500,5000]', 'loss=0.330', 'test_acu=0.360', 'test_f1_score=0.040', 'test_acc=0.753', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.759', 'test_macc=0.546', 'test_g_mean=0.503']
['[4600,5000]', 'loss=0.328', 'test_acu=0.363', 'test_f1_score=0.040', 'test_acc=0.753', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.759', 'test_macc=0.546', 'test_g_mean=0.503']
['[4700,5000]', 'loss=0.326', 'test_acu=0.366', 'test_f1_score=0.041', 'test_acc=0.758', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.765', 'test_macc=0.549', 'test_g_mean=0.505']
['[4800,5000]', 'loss=0.324', 'test_acu=0.367', 'test_f1_score=0.041', 'test_acc=0.758', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.765', 'test_macc=0.549', 'test_g_mean=0.505']
['[4900,5000]', 'loss=0.322', 'test_acu=0.369', 'test_f1_score=0.041', 'test_acc=0.758', 'test_ppr=0.022', 'test_sen=0.333', 'test_spe=0.765', 'test_macc=0.549', 'test_g_mean=0.505']
2 fold training
['[0,5000]', 'loss=0.633', 'test_acu=0.335', 'test_f1_score=0.026', 'test_acc=0.013', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.576', 'test_acu=0.280', 'test_f1_score=0.026', 'test_acc=0.013', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.529', 'test_acu=0.210', 'test_f1_score=0.028', 'test_acc=0.084', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.071', 'test_macc=0.536', 'test_g_mean=0.267']
['[300,5000]', 'loss=0.493', 'test_acu=0.168', 'test_f1_score=0.031', 'test_acc=0.180', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.169', 'test_macc=0.585', 'test_g_mean=0.411']
['[400,5000]', 'loss=0.468', 'test_acu=0.160', 'test_f1_score=0.035', 'test_acc=0.272', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.262', 'test_macc=0.631', 'test_g_mean=0.512']
['[500,5000]', 'loss=0.452', 'test_acu=0.152', 'test_f1_score=0.038', 'test_acc=0.345', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.336', 'test_macc=0.668', 'test_g_mean=0.580']
['[600,5000]', 'loss=0.442', 'test_acu=0.144', 'test_f1_score=0.042', 'test_acc=0.399', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.392', 'test_macc=0.696', 'test_g_mean=0.626']
['[700,5000]', 'loss=0.435', 'test_acu=0.145', 'test_f1_score=0.045', 'test_acc=0.441', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.434', 'test_macc=0.717', 'test_g_mean=0.659']
['[800,5000]', 'loss=0.431', 'test_acu=0.144', 'test_f1_score=0.048', 'test_acc=0.478', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.471', 'test_macc=0.735', 'test_g_mean=0.686']
['[900,5000]', 'loss=0.427', 'test_acu=0.146', 'test_f1_score=0.049', 'test_acc=0.496', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.489', 'test_macc=0.745', 'test_g_mean=0.700']
['[1000,5000]', 'loss=0.424', 'test_acu=0.149', 'test_f1_score=0.050', 'test_acc=0.507', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.500', 'test_macc=0.750', 'test_g_mean=0.707']
['[1100,5000]', 'loss=0.421', 'test_acu=0.150', 'test_f1_score=0.051', 'test_acc=0.512', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.505', 'test_macc=0.753', 'test_g_mean=0.711']
['[1200,5000]', 'loss=0.419', 'test_acu=0.152', 'test_f1_score=0.053', 'test_acc=0.535', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.529', 'test_macc=0.765', 'test_g_mean=0.727']
['[1300,5000]', 'loss=0.417', 'test_acu=0.152', 'test_f1_score=0.055', 'test_acc=0.548', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.542', 'test_macc=0.771', 'test_g_mean=0.736']
['[1400,5000]', 'loss=0.414', 'test_acu=0.153', 'test_f1_score=0.056', 'test_acc=0.556', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1500,5000]', 'loss=0.412', 'test_acu=0.153', 'test_f1_score=0.056', 'test_acc=0.559', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.553', 'test_macc=0.776', 'test_g_mean=0.744']
['[1600,5000]', 'loss=0.409', 'test_acu=0.154', 'test_f1_score=0.058', 'test_acc=0.577', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.571', 'test_macc=0.786', 'test_g_mean=0.756']
['[1700,5000]', 'loss=0.407', 'test_acu=0.157', 'test_f1_score=0.060', 'test_acc=0.590', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.585', 'test_macc=0.792', 'test_g_mean=0.765']
['[1800,5000]', 'loss=0.405', 'test_acu=0.158', 'test_f1_score=0.060', 'test_acc=0.590', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.585', 'test_macc=0.792', 'test_g_mean=0.765']
['[1900,5000]', 'loss=0.403', 'test_acu=0.158', 'test_f1_score=0.060', 'test_acc=0.590', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.585', 'test_macc=0.792', 'test_g_mean=0.765']
['[2000,5000]', 'loss=0.400', 'test_acu=0.158', 'test_f1_score=0.061', 'test_acc=0.598', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.593', 'test_macc=0.796', 'test_g_mean=0.770']
['[2100,5000]', 'loss=0.398', 'test_acu=0.159', 'test_f1_score=0.061', 'test_acc=0.601', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.595', 'test_macc=0.798', 'test_g_mean=0.772']
['[2200,5000]', 'loss=0.396', 'test_acu=0.161', 'test_f1_score=0.062', 'test_acc=0.603', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.598', 'test_macc=0.799', 'test_g_mean=0.773']
['[2300,5000]', 'loss=0.394', 'test_acu=0.162', 'test_f1_score=0.062', 'test_acc=0.603', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.598', 'test_macc=0.799', 'test_g_mean=0.773']
['[2400,5000]', 'loss=0.392', 'test_acu=0.162', 'test_f1_score=0.062', 'test_acc=0.606', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.601', 'test_macc=0.800', 'test_g_mean=0.775']
