1 fold training
['[0,5000]', 'loss=0.586', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.546', 'test_acu=0.314', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.512', 'test_acu=0.306', 'test_f1_score=0.032', 'test_acc=0.060', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.045', 'test_macc=0.522', 'test_g_mean=0.212']
['[300,5000]', 'loss=0.483', 'test_acu=0.313', 'test_f1_score=0.035', 'test_acc=0.135', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.122', 'test_macc=0.561', 'test_g_mean=0.349']
['[400,5000]', 'loss=0.461', 'test_acu=0.330', 'test_f1_score=0.039', 'test_acc=0.227', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.214', 'test_macc=0.607', 'test_g_mean=0.463']
['[500,5000]', 'loss=0.443', 'test_acu=0.333', 'test_f1_score=0.042', 'test_acc=0.289', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.278', 'test_macc=0.639', 'test_g_mean=0.527']
['[600,5000]', 'loss=0.431', 'test_acu=0.331', 'test_f1_score=0.047', 'test_acc=0.370', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.360', 'test_macc=0.680', 'test_g_mean=0.600']
['[700,5000]', 'loss=0.422', 'test_acu=0.331', 'test_f1_score=0.051', 'test_acc=0.414', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.405', 'test_macc=0.702', 'test_g_mean=0.636']
['[800,5000]', 'loss=0.416', 'test_acu=0.328', 'test_f1_score=0.054', 'test_acc=0.453', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.444', 'test_macc=0.722', 'test_g_mean=0.667']
['[900,5000]', 'loss=0.412', 'test_acu=0.327', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[1000,5000]', 'loss=0.409', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.516', 'test_ppr=0.021', 'test_sen=0.667', 'test_spe=0.513', 'test_macc=0.590', 'test_g_mean=0.585']
