1 fold training
['[0,5000]', 'loss=0.430', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.406', 'test_acu=0.316', 'test_f1_score=0.032', 'test_acc=0.044', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.029', 'test_macc=0.515', 'test_g_mean=0.171']
['[200,5000]', 'loss=0.385', 'test_acu=0.314', 'test_f1_score=0.034', 'test_acc=0.112', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.098', 'test_macc=0.549', 'test_g_mean=0.313']
['[300,5000]', 'loss=0.367', 'test_acu=0.306', 'test_f1_score=0.036', 'test_acc=0.164', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.151', 'test_macc=0.575', 'test_g_mean=0.388']
['[400,5000]', 'loss=0.352', 'test_acu=0.303', 'test_f1_score=0.038', 'test_acc=0.214', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.201', 'test_macc=0.601', 'test_g_mean=0.448']
['[500,5000]', 'loss=0.340', 'test_acu=0.300', 'test_f1_score=0.040', 'test_acc=0.255', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.243', 'test_macc=0.622', 'test_g_mean=0.493']
['[600,5000]', 'loss=0.329', 'test_acu=0.299', 'test_f1_score=0.042', 'test_acc=0.289', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.278', 'test_macc=0.639', 'test_g_mean=0.527']
['[700,5000]', 'loss=0.320', 'test_acu=0.299', 'test_f1_score=0.045', 'test_acc=0.333', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.323', 'test_macc=0.661', 'test_g_mean=0.568']
['[800,5000]', 'loss=0.313', 'test_acu=0.297', 'test_f1_score=0.047', 'test_acc=0.367', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.357', 'test_macc=0.679', 'test_g_mean=0.598']
['[900,5000]', 'loss=0.306', 'test_acu=0.297', 'test_f1_score=0.049', 'test_acc=0.388', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.378', 'test_macc=0.689', 'test_g_mean=0.615']
['[1000,5000]', 'loss=0.300', 'test_acu=0.295', 'test_f1_score=0.050', 'test_acc=0.406', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.397', 'test_macc=0.698', 'test_g_mean=0.630']
['[1100,5000]', 'loss=0.295', 'test_acu=0.295', 'test_f1_score=0.052', 'test_acc=0.424', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.415', 'test_macc=0.708', 'test_g_mean=0.644']
['[1200,5000]', 'loss=0.291', 'test_acu=0.293', 'test_f1_score=0.052', 'test_acc=0.435', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.426', 'test_macc=0.713', 'test_g_mean=0.653']
['[1300,5000]', 'loss=0.286', 'test_acu=0.294', 'test_f1_score=0.053', 'test_acc=0.440', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.431', 'test_macc=0.716', 'test_g_mean=0.657']
['[1400,5000]', 'loss=0.283', 'test_acu=0.295', 'test_f1_score=0.054', 'test_acc=0.453', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.444', 'test_macc=0.722', 'test_g_mean=0.667']
['[1500,5000]', 'loss=0.279', 'test_acu=0.298', 'test_f1_score=0.047', 'test_acc=0.469', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.463', 'test_macc=0.648', 'test_g_mean=0.621']
['[1600,5000]', 'loss=0.276', 'test_acu=0.302', 'test_f1_score=0.047', 'test_acc=0.469', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.463', 'test_macc=0.648', 'test_g_mean=0.621']
['[1700,5000]', 'loss=0.272', 'test_acu=0.304', 'test_f1_score=0.047', 'test_acc=0.477', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.471', 'test_macc=0.652', 'test_g_mean=0.626']
['[1800,5000]', 'loss=0.270', 'test_acu=0.306', 'test_f1_score=0.048', 'test_acc=0.479', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.474', 'test_macc=0.653', 'test_g_mean=0.628']
['[1900,5000]', 'loss=0.267', 'test_acu=0.308', 'test_f1_score=0.048', 'test_acc=0.479', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.474', 'test_macc=0.653', 'test_g_mean=0.628']
['[2000,5000]', 'loss=0.264', 'test_acu=0.312', 'test_f1_score=0.048', 'test_acc=0.484', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.479', 'test_macc=0.656', 'test_g_mean=0.632']
['[2100,5000]', 'loss=0.262', 'test_acu=0.314', 'test_f1_score=0.048', 'test_acc=0.484', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.479', 'test_macc=0.656', 'test_g_mean=0.632']
['[2200,5000]', 'loss=0.259', 'test_acu=0.319', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[2300,5000]', 'loss=0.257', 'test_acu=0.324', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[2400,5000]', 'loss=0.255', 'test_acu=0.326', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[2500,5000]', 'loss=0.253', 'test_acu=0.328', 'test_f1_score=0.049', 'test_acc=0.490', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.484', 'test_macc=0.659', 'test_g_mean=0.635']
['[2600,5000]', 'loss=0.251', 'test_acu=0.332', 'test_f1_score=0.049', 'test_acc=0.490', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.484', 'test_macc=0.659', 'test_g_mean=0.635']
['[2700,5000]', 'loss=0.250', 'test_acu=0.336', 'test_f1_score=0.049', 'test_acc=0.490', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.484', 'test_macc=0.659', 'test_g_mean=0.635']
['[2800,5000]', 'loss=0.248', 'test_acu=0.341', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[2900,5000]', 'loss=0.246', 'test_acu=0.340', 'test_f1_score=0.048', 'test_acc=0.479', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.474', 'test_macc=0.653', 'test_g_mean=0.628']
['[3000,5000]', 'loss=0.245', 'test_acu=0.338', 'test_f1_score=0.047', 'test_acc=0.477', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.471', 'test_macc=0.652', 'test_g_mean=0.626']
['[3100,5000]', 'loss=0.243', 'test_acu=0.337', 'test_f1_score=0.047', 'test_acc=0.477', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.471', 'test_macc=0.652', 'test_g_mean=0.626']
['[3200,5000]', 'loss=0.242', 'test_acu=0.337', 'test_f1_score=0.047', 'test_acc=0.474', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.468', 'test_macc=0.651', 'test_g_mean=0.625']
['[3300,5000]', 'loss=0.241', 'test_acu=0.340', 'test_f1_score=0.047', 'test_acc=0.471', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.466', 'test_macc=0.649', 'test_g_mean=0.623']
['[3400,5000]', 'loss=0.239', 'test_acu=0.339', 'test_f1_score=0.047', 'test_acc=0.466', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.460', 'test_macc=0.647', 'test_g_mean=0.619']
['[3500,5000]', 'loss=0.238', 'test_acu=0.338', 'test_f1_score=0.046', 'test_acc=0.464', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.458', 'test_macc=0.646', 'test_g_mean=0.618']
