1 fold training
['[0,5000]', 'loss=0.590', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.553', 'test_acu=0.313', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.521', 'test_acu=0.306', 'test_f1_score=0.032', 'test_acc=0.068', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.053', 'test_macc=0.526', 'test_g_mean=0.230']
['[300,5000]', 'loss=0.494', 'test_acu=0.312', 'test_f1_score=0.035', 'test_acc=0.141', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.127', 'test_macc=0.563', 'test_g_mean=0.356']
['[400,5000]', 'loss=0.473', 'test_acu=0.329', 'test_f1_score=0.039', 'test_acc=0.224', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.460']
['[500,5000]', 'loss=0.457', 'test_acu=0.333', 'test_f1_score=0.042', 'test_acc=0.286', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.275', 'test_macc=0.638', 'test_g_mean=0.525']
['[600,5000]', 'loss=0.445', 'test_acu=0.332', 'test_f1_score=0.047', 'test_acc=0.367', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.357', 'test_macc=0.679', 'test_g_mean=0.598']
['[700,5000]', 'loss=0.437', 'test_acu=0.331', 'test_f1_score=0.050', 'test_acc=0.411', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.402', 'test_macc=0.701', 'test_g_mean=0.634']
['[800,5000]', 'loss=0.432', 'test_acu=0.331', 'test_f1_score=0.054', 'test_acc=0.453', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.444', 'test_macc=0.722', 'test_g_mean=0.667']
['[900,5000]', 'loss=0.428', 'test_acu=0.327', 'test_f1_score=0.047', 'test_acc=0.477', 'test_ppr=0.024', 'test_sen=0.833', 'test_spe=0.471', 'test_macc=0.652', 'test_g_mean=0.626']
['[1000,5000]', 'loss=0.425', 'test_acu=0.326', 'test_f1_score=0.041', 'test_acc=0.508', 'test_ppr=0.021', 'test_sen=0.667', 'test_spe=0.505', 'test_macc=0.586', 'test_g_mean=0.580']
['[1100,5000]', 'loss=0.423', 'test_acu=0.319', 'test_f1_score=0.043', 'test_acc=0.542', 'test_ppr=0.022', 'test_sen=0.667', 'test_spe=0.540', 'test_macc=0.603', 'test_g_mean=0.600']
['[1200,5000]', 'loss=0.420', 'test_acu=0.312', 'test_f1_score=0.046', 'test_acc=0.565', 'test_ppr=0.024', 'test_sen=0.667', 'test_spe=0.563', 'test_macc=0.615', 'test_g_mean=0.613']
['[1300,5000]', 'loss=0.419', 'test_acu=0.307', 'test_f1_score=0.049', 'test_acc=0.594', 'test_ppr=0.025', 'test_sen=0.667', 'test_spe=0.593', 'test_macc=0.630', 'test_g_mean=0.629']
['[1400,5000]', 'loss=0.417', 'test_acu=0.306', 'test_f1_score=0.049', 'test_acc=0.596', 'test_ppr=0.025', 'test_sen=0.667', 'test_spe=0.595', 'test_macc=0.631', 'test_g_mean=0.630']
['[1500,5000]', 'loss=0.415', 'test_acu=0.307', 'test_f1_score=0.050', 'test_acc=0.602', 'test_ppr=0.026', 'test_sen=0.667', 'test_spe=0.601', 'test_macc=0.634', 'test_g_mean=0.633']
['[1600,5000]', 'loss=0.413', 'test_acu=0.307', 'test_f1_score=0.051', 'test_acc=0.609', 'test_ppr=0.026', 'test_sen=0.667', 'test_spe=0.608', 'test_macc=0.638', 'test_g_mean=0.637']
