1 fold training
['[0,5000]', 'loss=0.569', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.530', 'test_acu=0.313', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.496', 'test_acu=0.306', 'test_f1_score=0.033', 'test_acc=0.094', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.079', 'test_macc=0.540', 'test_g_mean=0.282']
['[300,5000]', 'loss=0.469', 'test_acu=0.308', 'test_f1_score=0.036', 'test_acc=0.172', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.159', 'test_macc=0.579', 'test_g_mean=0.398']
['[400,5000]', 'loss=0.448', 'test_acu=0.321', 'test_f1_score=0.040', 'test_acc=0.247', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.235', 'test_macc=0.618', 'test_g_mean=0.485']
['[500,5000]', 'loss=0.432', 'test_acu=0.330', 'test_f1_score=0.044', 'test_acc=0.315', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.304', 'test_macc=0.652', 'test_g_mean=0.552']
['[600,5000]', 'loss=0.421', 'test_acu=0.332', 'test_f1_score=0.048', 'test_acc=0.380', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.370', 'test_macc=0.685', 'test_g_mean=0.609']
['[700,5000]', 'loss=0.413', 'test_acu=0.331', 'test_f1_score=0.051', 'test_acc=0.419', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.410', 'test_macc=0.705', 'test_g_mean=0.640']
['[800,5000]', 'loss=0.407', 'test_acu=0.329', 'test_f1_score=0.055', 'test_acc=0.461', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.452', 'test_macc=0.726', 'test_g_mean=0.673']
['[900,5000]', 'loss=0.402', 'test_acu=0.325', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[1000,5000]', 'loss=0.399', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.510', 'test_ppr=0.021', 'test_sen=0.667', 'test_spe=0.508', 'test_macc=0.587', 'test_g_mean=0.582']
