1 fold training
['[0,5000]', 'loss=0.587', 'test_acu=0.309', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.549', 'test_acu=0.313', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.516', 'test_acu=0.306', 'test_f1_score=0.033', 'test_acc=0.070', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.056', 'test_macc=0.528', 'test_g_mean=0.236']
['[300,5000]', 'loss=0.489', 'test_acu=0.312', 'test_f1_score=0.035', 'test_acc=0.146', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.132', 'test_macc=0.566', 'test_g_mean=0.364']
['[400,5000]', 'loss=0.468', 'test_acu=0.329', 'test_f1_score=0.039', 'test_acc=0.232', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.220', 'test_macc=0.610', 'test_g_mean=0.469']
['[500,5000]', 'loss=0.452', 'test_acu=0.334', 'test_f1_score=0.043', 'test_acc=0.302', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.291', 'test_macc=0.646', 'test_g_mean=0.539']
['[600,5000]', 'loss=0.440', 'test_acu=0.331', 'test_f1_score=0.047', 'test_acc=0.372', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.362', 'test_macc=0.681', 'test_g_mean=0.602']
['[700,5000]', 'loss=0.432', 'test_acu=0.332', 'test_f1_score=0.051', 'test_acc=0.417', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.407', 'test_macc=0.704', 'test_g_mean=0.638']
['[800,5000]', 'loss=0.426', 'test_acu=0.330', 'test_f1_score=0.055', 'test_acc=0.461', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.452', 'test_macc=0.726', 'test_g_mean=0.673']
['[900,5000]', 'loss=0.422', 'test_acu=0.327', 'test_f1_score=0.048', 'test_acc=0.487', 'test_ppr=0.025', 'test_sen=0.833', 'test_spe=0.481', 'test_macc=0.657', 'test_g_mean=0.633']
['[1000,5000]', 'loss=0.419', 'test_acu=0.325', 'test_f1_score=0.042', 'test_acc=0.523', 'test_ppr=0.022', 'test_sen=0.667', 'test_spe=0.521', 'test_macc=0.594', 'test_g_mean=0.589']
