1 fold training
set gamma = -0.5
['[0,5000]', 'loss=1.065', 'test_acu=0.421', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.414', 'test_acu=0.365', 'test_f1_score=0.090', 'test_acc=0.479', 'test_ppr=0.047', 'test_sen=1.000', 'test_spe=0.465', 'test_macc=0.732', 'test_g_mean=0.682']
['[200,5000]', 'loss=0.112', 'test_acu=0.614', 'test_f1_score=0.024', 'test_acc=0.299', 'test_ppr=0.012', 'test_sen=0.333', 'test_spe=0.298', 'test_macc=0.316', 'test_g_mean=0.315']
['[300,5000]', 'loss=0.046', 'test_acu=0.906', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.684', 'test_macc=0.342', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.045', 'test_acu=0.918', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.047', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.047', 'test_acu=0.939', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.047', 'test_acu=0.906', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.047', 'test_acu=0.661', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.047', 'test_acu=0.544', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.047', 'test_acu=0.567', 'test_f1_score=0.050', 'test_acc=0.026', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.047', 'test_acu=0.939', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.047', 'test_acu=0.965', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.047', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.047', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.047', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.047', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.047', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.047', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.047', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.047', 'test_acu=0.942', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.047', 'test_acu=0.939', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.047', 'test_acu=0.933', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.047', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.047', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.974', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
