1 fold training
['[0,5000]', 'loss=0.080', 'test_acu=0.836', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.080', 'test_acu=0.824', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.080', 'test_acu=0.811', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.080', 'test_acu=0.800', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.080', 'test_acu=0.791', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.080', 'test_acu=0.787', 'test_f1_score=0.078', 'test_acc=0.043', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.055']
['[600,5000]', 'loss=0.080', 'test_acu=0.779', 'test_f1_score=0.078', 'test_acc=0.043', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.055']
['[700,5000]', 'loss=0.080', 'test_acu=0.773', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[800,5000]', 'loss=0.080', 'test_acu=0.768', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[900,5000]', 'loss=0.080', 'test_acu=0.765', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1000,5000]', 'loss=0.080', 'test_acu=0.763', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1100,5000]', 'loss=0.080', 'test_acu=0.761', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1200,5000]', 'loss=0.080', 'test_acu=0.759', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1300,5000]', 'loss=0.080', 'test_acu=0.758', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1400,5000]', 'loss=0.080', 'test_acu=0.755', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1500,5000]', 'loss=0.080', 'test_acu=0.754', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1600,5000]', 'loss=0.080', 'test_acu=0.752', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1700,5000]', 'loss=0.080', 'test_acu=0.751', 'test_f1_score=0.078', 'test_acc=0.046', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.078']
['[1800,5000]', 'loss=0.080', 'test_acu=0.750', 'test_f1_score=0.078', 'test_acc=0.049', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.505', 'test_g_mean=0.095']
['[1900,5000]', 'loss=0.080', 'test_acu=0.748', 'test_f1_score=0.079', 'test_acc=0.055', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.015', 'test_macc=0.508', 'test_g_mean=0.123']
['[2000,5000]', 'loss=0.080', 'test_acu=0.747', 'test_f1_score=0.079', 'test_acc=0.055', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.015', 'test_macc=0.508', 'test_g_mean=0.123']
['[2100,5000]', 'loss=0.080', 'test_acu=0.746', 'test_f1_score=0.079', 'test_acc=0.058', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.018', 'test_macc=0.509', 'test_g_mean=0.134']
['[2200,5000]', 'loss=0.080', 'test_acu=0.745', 'test_f1_score=0.079', 'test_acc=0.058', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.018', 'test_macc=0.509', 'test_g_mean=0.134']
['[2300,5000]', 'loss=0.080', 'test_acu=0.745', 'test_f1_score=0.079', 'test_acc=0.061', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.021', 'test_macc=0.511', 'test_g_mean=0.145']
['[2400,5000]', 'loss=0.080', 'test_acu=0.745', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[2500,5000]', 'loss=0.080', 'test_acu=0.745', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[2600,5000]', 'loss=0.080', 'test_acu=0.745', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[2700,5000]', 'loss=0.080', 'test_acu=0.744', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[2800,5000]', 'loss=0.080', 'test_acu=0.744', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[2900,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[3000,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[3100,5000]', 'loss=0.080', 'test_acu=0.744', 'test_f1_score=0.080', 'test_acc=0.064', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[3200,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.080', 'test_acc=0.072', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.033', 'test_macc=0.517', 'test_g_mean=0.182']
['[3300,5000]', 'loss=0.080', 'test_acu=0.744', 'test_f1_score=0.080', 'test_acc=0.075', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.190']
['[3400,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.080', 'test_acc=0.075', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.190']
['[3500,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.081', 'test_acc=0.078', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.039', 'test_macc=0.520', 'test_g_mean=0.198']
['[3600,5000]', 'loss=0.080', 'test_acu=0.743', 'test_f1_score=0.081', 'test_acc=0.081', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.042', 'test_macc=0.521', 'test_g_mean=0.205']
