1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.987', 'test_acu=0.396', 'test_f1_score=0.084', 'test_acc=0.121', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.084', 'test_macc=0.542', 'test_g_mean=0.290']
['[100,5000]', 'loss=0.403', 'test_acu=0.514', 'test_f1_score=0.090', 'test_acc=0.471', 'test_ppr=0.048', 'test_sen=0.643', 'test_spe=0.464', 'test_macc=0.553', 'test_g_mean=0.546']
['[200,5000]', 'loss=0.115', 'test_acu=0.683', 'test_f1_score=0.000', 'test_acc=0.465', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.485', 'test_macc=0.242', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.075', 'test_acu=0.450', 'test_f1_score=0.113', 'test_acc=0.500', 'test_ppr=0.061', 'test_sen=0.786', 'test_spe=0.488', 'test_macc=0.637', 'test_g_mean=0.619']
['[400,5000]', 'loss=0.077', 'test_acu=0.547', 'test_f1_score=0.080', 'test_acc=0.468', 'test_ppr=0.043', 'test_sen=0.571', 'test_spe=0.464', 'test_macc=0.518', 'test_g_mean=0.515']
['[500,5000]', 'loss=0.079', 'test_acu=0.810', 'test_f1_score=0.000', 'test_acc=0.749', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.780', 'test_macc=0.390', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.079', 'test_acu=0.842', 'test_f1_score=0.000', 'test_acc=0.673', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.702', 'test_macc=0.351', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.080', 'test_acu=0.832', 'test_f1_score=0.000', 'test_acc=0.587', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.611', 'test_macc=0.306', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.080', 'test_acu=0.722', 'test_f1_score=0.010', 'test_acc=0.451', 'test_ppr=0.006', 'test_sen=0.071', 'test_spe=0.467', 'test_macc=0.269', 'test_g_mean=0.183']
['[900,5000]', 'loss=0.080', 'test_acu=0.703', 'test_f1_score=0.000', 'test_acc=0.731', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.762', 'test_macc=0.381', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.080', 'test_acu=0.706', 'test_f1_score=0.000', 'test_acc=0.517', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.539', 'test_macc=0.270', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.080', 'test_acu=0.768', 'test_f1_score=0.080', 'test_acc=0.205', 'test_ppr=0.042', 'test_sen=0.857', 'test_spe=0.178', 'test_macc=0.517', 'test_g_mean=0.390']
['[1200,5000]', 'loss=0.080', 'test_acu=0.863', 'test_f1_score=0.045', 'test_acc=0.150', 'test_ppr=0.024', 'test_sen=0.500', 'test_spe=0.136', 'test_macc=0.318', 'test_g_mean=0.260']
['[1300,5000]', 'loss=0.080', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.960', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.080', 'test_acu=0.053', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.080', 'test_acu=0.687', 'test_f1_score=0.079', 'test_acc=0.055', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.015', 'test_macc=0.508', 'test_g_mean=0.123']
['[1600,5000]', 'loss=0.080', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.960', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.080', 'test_acu=0.052', 'test_f1_score=0.078', 'test_acc=0.040', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.080', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.907', 'test_macc=0.453', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.080', 'test_acu=0.944', 'test_f1_score=0.024', 'test_acc=0.075', 'test_ppr=0.013', 'test_sen=0.286', 'test_spe=0.066', 'test_macc=0.176', 'test_g_mean=0.138']
