1 fold training
['[0,5000]', 'loss=0.547', 'test_acu=0.404', 'test_f1_score=0.080', 'test_acc=0.075', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.190']
['[100,5000]', 'loss=0.507', 'test_acu=0.374', 'test_f1_score=0.081', 'test_acc=0.081', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.042', 'test_macc=0.521', 'test_g_mean=0.205']
['[200,5000]', 'loss=0.474', 'test_acu=0.362', 'test_f1_score=0.084', 'test_acc=0.118', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.081', 'test_macc=0.541', 'test_g_mean=0.285']
['[300,5000]', 'loss=0.451', 'test_acu=0.365', 'test_f1_score=0.087', 'test_acc=0.153', 'test_ppr=0.046', 'test_sen=1.000', 'test_spe=0.117', 'test_macc=0.559', 'test_g_mean=0.343']
['[400,5000]', 'loss=0.435', 'test_acu=0.387', 'test_f1_score=0.097', 'test_acc=0.249', 'test_ppr=0.051', 'test_sen=1.000', 'test_spe=0.217', 'test_macc=0.608', 'test_g_mean=0.466']
['[500,5000]', 'loss=0.425', 'test_acu=0.414', 'test_f1_score=0.098', 'test_acc=0.306', 'test_ppr=0.052', 'test_sen=0.929', 'test_spe=0.280', 'test_macc=0.604', 'test_g_mean=0.510']
['[600,5000]', 'loss=0.417', 'test_acu=0.439', 'test_f1_score=0.092', 'test_acc=0.370', 'test_ppr=0.049', 'test_sen=0.786', 'test_spe=0.352', 'test_macc=0.569', 'test_g_mean=0.526']
['[700,5000]', 'loss=0.411', 'test_acu=0.465', 'test_f1_score=0.097', 'test_acc=0.408', 'test_ppr=0.052', 'test_sen=0.786', 'test_spe=0.392', 'test_macc=0.589', 'test_g_mean=0.555']
['[800,5000]', 'loss=0.406', 'test_acu=0.490', 'test_f1_score=0.084', 'test_acc=0.434', 'test_ppr=0.045', 'test_sen=0.643', 'test_spe=0.425', 'test_macc=0.534', 'test_g_mean=0.523']
['[900,5000]', 'loss=0.402', 'test_acu=0.508', 'test_f1_score=0.068', 'test_acc=0.448', 'test_ppr=0.037', 'test_sen=0.500', 'test_spe=0.446', 'test_macc=0.473', 'test_g_mean=0.472']
['[1000,5000]', 'loss=0.398', 'test_acu=0.522', 'test_f1_score=0.061', 'test_acc=0.468', 'test_ppr=0.033', 'test_sen=0.429', 'test_spe=0.470', 'test_macc=0.449', 'test_g_mean=0.449']
['[1100,5000]', 'loss=0.393', 'test_acu=0.535', 'test_f1_score=0.061', 'test_acc=0.468', 'test_ppr=0.033', 'test_sen=0.429', 'test_spe=0.470', 'test_macc=0.449', 'test_g_mean=0.449']
['[1200,5000]', 'loss=0.389', 'test_acu=0.552', 'test_f1_score=0.062', 'test_acc=0.471', 'test_ppr=0.033', 'test_sen=0.429', 'test_spe=0.473', 'test_macc=0.451', 'test_g_mean=0.450']
['[1300,5000]', 'loss=0.385', 'test_acu=0.565', 'test_f1_score=0.051', 'test_acc=0.460', 'test_ppr=0.027', 'test_sen=0.357', 'test_spe=0.464', 'test_macc=0.410', 'test_g_mean=0.407']
