1 fold training
['[0,5000]', 'loss=0.550', 'test_acu=0.404', 'test_f1_score=0.080', 'test_acc=0.075', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.190']
['[100,5000]', 'loss=0.511', 'test_acu=0.375', 'test_f1_score=0.081', 'test_acc=0.081', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.042', 'test_macc=0.521', 'test_g_mean=0.205']
['[200,5000]', 'loss=0.480', 'test_acu=0.363', 'test_f1_score=0.084', 'test_acc=0.118', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.081', 'test_macc=0.541', 'test_g_mean=0.285']
['[300,5000]', 'loss=0.457', 'test_acu=0.368', 'test_f1_score=0.087', 'test_acc=0.153', 'test_ppr=0.046', 'test_sen=1.000', 'test_spe=0.117', 'test_macc=0.559', 'test_g_mean=0.343']
['[400,5000]', 'loss=0.442', 'test_acu=0.387', 'test_f1_score=0.098', 'test_acc=0.251', 'test_ppr=0.051', 'test_sen=1.000', 'test_spe=0.220', 'test_macc=0.610', 'test_g_mean=0.469']
['[500,5000]', 'loss=0.431', 'test_acu=0.414', 'test_f1_score=0.098', 'test_acc=0.309', 'test_ppr=0.052', 'test_sen=0.929', 'test_spe=0.283', 'test_macc=0.606', 'test_g_mean=0.513']
['[600,5000]', 'loss=0.424', 'test_acu=0.439', 'test_f1_score=0.092', 'test_acc=0.373', 'test_ppr=0.049', 'test_sen=0.786', 'test_spe=0.355', 'test_macc=0.571', 'test_g_mean=0.528']
['[700,5000]', 'loss=0.418', 'test_acu=0.466', 'test_f1_score=0.096', 'test_acc=0.402', 'test_ppr=0.051', 'test_sen=0.786', 'test_spe=0.386', 'test_macc=0.586', 'test_g_mean=0.550']
['[800,5000]', 'loss=0.413', 'test_acu=0.493', 'test_f1_score=0.084', 'test_acc=0.434', 'test_ppr=0.045', 'test_sen=0.643', 'test_spe=0.425', 'test_macc=0.534', 'test_g_mean=0.523']
['[900,5000]', 'loss=0.409', 'test_acu=0.513', 'test_f1_score=0.060', 'test_acc=0.454', 'test_ppr=0.032', 'test_sen=0.429', 'test_spe=0.455', 'test_macc=0.442', 'test_g_mean=0.442']
['[1000,5000]', 'loss=0.404', 'test_acu=0.525', 'test_f1_score=0.061', 'test_acc=0.468', 'test_ppr=0.033', 'test_sen=0.429', 'test_spe=0.470', 'test_macc=0.449', 'test_g_mean=0.449']
['[1100,5000]', 'loss=0.400', 'test_acu=0.544', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.429', 'test_spe=0.476', 'test_macc=0.452', 'test_g_mean=0.452']
['[1200,5000]', 'loss=0.396', 'test_acu=0.561', 'test_f1_score=0.051', 'test_acc=0.462', 'test_ppr=0.027', 'test_sen=0.357', 'test_spe=0.467', 'test_macc=0.412', 'test_g_mean=0.408']
['[1300,5000]', 'loss=0.392', 'test_acu=0.572', 'test_f1_score=0.041', 'test_acc=0.457', 'test_ppr=0.022', 'test_sen=0.286', 'test_spe=0.464', 'test_macc=0.375', 'test_g_mean=0.364']
['[1400,5000]', 'loss=0.388', 'test_acu=0.587', 'test_f1_score=0.040', 'test_acc=0.448', 'test_ppr=0.022', 'test_sen=0.286', 'test_spe=0.455', 'test_macc=0.370', 'test_g_mean=0.360']
['[1500,5000]', 'loss=0.384', 'test_acu=0.597', 'test_f1_score=0.040', 'test_acc=0.445', 'test_ppr=0.022', 'test_sen=0.286', 'test_spe=0.452', 'test_macc=0.369', 'test_g_mean=0.359']
['[1600,5000]', 'loss=0.380', 'test_acu=0.603', 'test_f1_score=0.040', 'test_acc=0.442', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.449', 'test_macc=0.367', 'test_g_mean=0.358']
['[1700,5000]', 'loss=0.376', 'test_acu=0.613', 'test_f1_score=0.039', 'test_acc=0.436', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.443', 'test_macc=0.364', 'test_g_mean=0.356']
['[1800,5000]', 'loss=0.372', 'test_acu=0.621', 'test_f1_score=0.039', 'test_acc=0.431', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.437', 'test_macc=0.361', 'test_g_mean=0.353']
['[1900,5000]', 'loss=0.368', 'test_acu=0.628', 'test_f1_score=0.038', 'test_acc=0.422', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.428', 'test_macc=0.357', 'test_g_mean=0.350']
['[2000,5000]', 'loss=0.364', 'test_acu=0.635', 'test_f1_score=0.038', 'test_acc=0.419', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.425', 'test_macc=0.355', 'test_g_mean=0.348']
['[2100,5000]', 'loss=0.360', 'test_acu=0.640', 'test_f1_score=0.038', 'test_acc=0.422', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.428', 'test_macc=0.357', 'test_g_mean=0.350']
['[2200,5000]', 'loss=0.356', 'test_acu=0.649', 'test_f1_score=0.039', 'test_acc=0.428', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.434', 'test_macc=0.360', 'test_g_mean=0.352']
['[2300,5000]', 'loss=0.352', 'test_acu=0.655', 'test_f1_score=0.039', 'test_acc=0.425', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.431', 'test_macc=0.358', 'test_g_mean=0.351']
['[2400,5000]', 'loss=0.348', 'test_acu=0.660', 'test_f1_score=0.039', 'test_acc=0.425', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.431', 'test_macc=0.358', 'test_g_mean=0.351']
['[2500,5000]', 'loss=0.344', 'test_acu=0.663', 'test_f1_score=0.038', 'test_acc=0.422', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.428', 'test_macc=0.357', 'test_g_mean=0.350']
['[2600,5000]', 'loss=0.340', 'test_acu=0.669', 'test_f1_score=0.038', 'test_acc=0.419', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.425', 'test_macc=0.355', 'test_g_mean=0.348']
['[2700,5000]', 'loss=0.336', 'test_acu=0.670', 'test_f1_score=0.028', 'test_acc=0.408', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.416', 'test_macc=0.315', 'test_g_mean=0.298']
['[2800,5000]', 'loss=0.332', 'test_acu=0.675', 'test_f1_score=0.028', 'test_acc=0.405', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.413', 'test_macc=0.313', 'test_g_mean=0.297']
['[2900,5000]', 'loss=0.329', 'test_acu=0.679', 'test_f1_score=0.029', 'test_acc=0.413', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.422', 'test_macc=0.318', 'test_g_mean=0.301']
['[3000,5000]', 'loss=0.325', 'test_acu=0.685', 'test_f1_score=0.029', 'test_acc=0.413', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.422', 'test_macc=0.318', 'test_g_mean=0.301']
['[3100,5000]', 'loss=0.321', 'test_acu=0.686', 'test_f1_score=0.029', 'test_acc=0.413', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.422', 'test_macc=0.318', 'test_g_mean=0.301']
['[3200,5000]', 'loss=0.318', 'test_acu=0.691', 'test_f1_score=0.028', 'test_acc=0.408', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.416', 'test_macc=0.315', 'test_g_mean=0.298']
['[3300,5000]', 'loss=0.314', 'test_acu=0.692', 'test_f1_score=0.029', 'test_acc=0.413', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.422', 'test_macc=0.318', 'test_g_mean=0.301']
['[3400,5000]', 'loss=0.310', 'test_acu=0.698', 'test_f1_score=0.029', 'test_acc=0.413', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.422', 'test_macc=0.318', 'test_g_mean=0.301']
['[3500,5000]', 'loss=0.307', 'test_acu=0.699', 'test_f1_score=0.029', 'test_acc=0.422', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.431', 'test_macc=0.323', 'test_g_mean=0.304']
['[3600,5000]', 'loss=0.303', 'test_acu=0.703', 'test_f1_score=0.029', 'test_acc=0.422', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.431', 'test_macc=0.323', 'test_g_mean=0.304']
['[3700,5000]', 'loss=0.300', 'test_acu=0.704', 'test_f1_score=0.029', 'test_acc=0.422', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.431', 'test_macc=0.323', 'test_g_mean=0.304']
['[3800,5000]', 'loss=0.297', 'test_acu=0.706', 'test_f1_score=0.029', 'test_acc=0.422', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.431', 'test_macc=0.323', 'test_g_mean=0.304']
['[3900,5000]', 'loss=0.293', 'test_acu=0.708', 'test_f1_score=0.029', 'test_acc=0.422', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.431', 'test_macc=0.323', 'test_g_mean=0.304']
['[4000,5000]', 'loss=0.290', 'test_acu=0.708', 'test_f1_score=0.020', 'test_acc=0.425', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.437', 'test_macc=0.290', 'test_g_mean=0.250']
['[4100,5000]', 'loss=0.287', 'test_acu=0.708', 'test_f1_score=0.020', 'test_acc=0.425', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.437', 'test_macc=0.290', 'test_g_mean=0.250']
['[4200,5000]', 'loss=0.283', 'test_acu=0.710', 'test_f1_score=0.020', 'test_acc=0.422', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.434', 'test_macc=0.288', 'test_g_mean=0.249']
['[4300,5000]', 'loss=0.280', 'test_acu=0.708', 'test_f1_score=0.019', 'test_acc=0.413', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.425', 'test_macc=0.284', 'test_g_mean=0.246']
['[4400,5000]', 'loss=0.277', 'test_acu=0.706', 'test_f1_score=0.020', 'test_acc=0.419', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.431', 'test_macc=0.287', 'test_g_mean=0.248']
['[4500,5000]', 'loss=0.274', 'test_acu=0.708', 'test_f1_score=0.020', 'test_acc=0.428', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.440', 'test_macc=0.291', 'test_g_mean=0.251']
['[4600,5000]', 'loss=0.271', 'test_acu=0.710', 'test_f1_score=0.020', 'test_acc=0.439', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.452', 'test_macc=0.297', 'test_g_mean=0.254']
['[4700,5000]', 'loss=0.268', 'test_acu=0.708', 'test_f1_score=0.020', 'test_acc=0.445', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.458', 'test_macc=0.300', 'test_g_mean=0.256']
['[4800,5000]', 'loss=0.265', 'test_acu=0.710', 'test_f1_score=0.020', 'test_acc=0.445', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.458', 'test_macc=0.300', 'test_g_mean=0.256']
['[4900,5000]', 'loss=0.262', 'test_acu=0.708', 'test_f1_score=0.020', 'test_acc=0.439', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.452', 'test_macc=0.297', 'test_g_mean=0.254']
2 fold training
['[0,5000]', 'loss=0.550', 'test_acu=0.491', 'test_f1_score=0.081', 'test_acc=0.078', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.039', 'test_macc=0.520', 'test_g_mean=0.198']
['[100,5000]', 'loss=0.511', 'test_acu=0.468', 'test_f1_score=0.081', 'test_acc=0.087', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.048', 'test_macc=0.524', 'test_g_mean=0.220']
['[200,5000]', 'loss=0.480', 'test_acu=0.454', 'test_f1_score=0.083', 'test_acc=0.107', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[300,5000]', 'loss=0.458', 'test_acu=0.462', 'test_f1_score=0.087', 'test_acc=0.156', 'test_ppr=0.046', 'test_sen=1.000', 'test_spe=0.120', 'test_macc=0.560', 'test_g_mean=0.347']
['[400,5000]', 'loss=0.442', 'test_acu=0.483', 'test_f1_score=0.093', 'test_acc=0.208', 'test_ppr=0.049', 'test_sen=1.000', 'test_spe=0.175', 'test_macc=0.587', 'test_g_mean=0.418']
['[500,5000]', 'loss=0.432', 'test_acu=0.506', 'test_f1_score=0.093', 'test_acc=0.263', 'test_ppr=0.049', 'test_sen=0.929', 'test_spe=0.235', 'test_macc=0.582', 'test_g_mean=0.467']
['[600,5000]', 'loss=0.424', 'test_acu=0.536', 'test_f1_score=0.093', 'test_acc=0.327', 'test_ppr=0.049', 'test_sen=0.857', 'test_spe=0.304', 'test_macc=0.581', 'test_g_mean=0.511']
['[700,5000]', 'loss=0.418', 'test_acu=0.561', 'test_f1_score=0.085', 'test_acc=0.379', 'test_ppr=0.045', 'test_sen=0.714', 'test_spe=0.364', 'test_macc=0.539', 'test_g_mean=0.510']
['[800,5000]', 'loss=0.413', 'test_acu=0.588', 'test_f1_score=0.054', 'test_acc=0.390', 'test_ppr=0.029', 'test_sen=0.429', 'test_spe=0.389', 'test_macc=0.409', 'test_g_mean=0.408']
['[900,5000]', 'loss=0.409', 'test_acu=0.608', 'test_f1_score=0.048', 'test_acc=0.422', 'test_ppr=0.026', 'test_sen=0.357', 'test_spe=0.425', 'test_macc=0.391', 'test_g_mean=0.389']
['[1000,5000]', 'loss=0.405', 'test_acu=0.627', 'test_f1_score=0.048', 'test_acc=0.431', 'test_ppr=0.026', 'test_sen=0.357', 'test_spe=0.434', 'test_macc=0.395', 'test_g_mean=0.394']
['[1100,5000]', 'loss=0.400', 'test_acu=0.642', 'test_f1_score=0.040', 'test_acc=0.439', 'test_ppr=0.021', 'test_sen=0.286', 'test_spe=0.446', 'test_macc=0.366', 'test_g_mean=0.357']
['[1200,5000]', 'loss=0.396', 'test_acu=0.656', 'test_f1_score=0.030', 'test_acc=0.436', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.446', 'test_macc=0.330', 'test_g_mean=0.309']
['[1300,5000]', 'loss=0.392', 'test_acu=0.669', 'test_f1_score=0.020', 'test_acc=0.439', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.452', 'test_macc=0.297', 'test_g_mean=0.254']
['[1400,5000]', 'loss=0.388', 'test_acu=0.677', 'test_f1_score=0.020', 'test_acc=0.431', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.443', 'test_macc=0.293', 'test_g_mean=0.252']
['[1500,5000]', 'loss=0.384', 'test_acu=0.686', 'test_f1_score=0.020', 'test_acc=0.428', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.440', 'test_macc=0.291', 'test_g_mean=0.251']
['[1600,5000]', 'loss=0.380', 'test_acu=0.693', 'test_f1_score=0.020', 'test_acc=0.422', 'test_ppr=0.011', 'test_sen=0.143', 'test_spe=0.434', 'test_macc=0.288', 'test_g_mean=0.249']
['[1700,5000]', 'loss=0.376', 'test_acu=0.699', 'test_f1_score=0.029', 'test_acc=0.419', 'test_ppr=0.016', 'test_sen=0.214', 'test_spe=0.428', 'test_macc=0.321', 'test_g_mean=0.303']
['[1800,5000]', 'loss=0.372', 'test_acu=0.708', 'test_f1_score=0.028', 'test_acc=0.408', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.416', 'test_macc=0.315', 'test_g_mean=0.298']
['[1900,5000]', 'loss=0.368', 'test_acu=0.711', 'test_f1_score=0.028', 'test_acc=0.393', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.401', 'test_macc=0.307', 'test_g_mean=0.293']
['[2000,5000]', 'loss=0.364', 'test_acu=0.715', 'test_f1_score=0.028', 'test_acc=0.387', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.395', 'test_macc=0.304', 'test_g_mean=0.291']
['[2100,5000]', 'loss=0.360', 'test_acu=0.715', 'test_f1_score=0.028', 'test_acc=0.387', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.395', 'test_macc=0.304', 'test_g_mean=0.291']
['[2200,5000]', 'loss=0.356', 'test_acu=0.719', 'test_f1_score=0.027', 'test_acc=0.384', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.392', 'test_macc=0.303', 'test_g_mean=0.290']
['[2300,5000]', 'loss=0.352', 'test_acu=0.724', 'test_f1_score=0.027', 'test_acc=0.382', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.389', 'test_macc=0.301', 'test_g_mean=0.289']
['[2400,5000]', 'loss=0.348', 'test_acu=0.726', 'test_f1_score=0.027', 'test_acc=0.376', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.383', 'test_macc=0.298', 'test_g_mean=0.286']
['[2500,5000]', 'loss=0.344', 'test_acu=0.728', 'test_f1_score=0.027', 'test_acc=0.382', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.389', 'test_macc=0.301', 'test_g_mean=0.289']
['[2600,5000]', 'loss=0.341', 'test_acu=0.729', 'test_f1_score=0.027', 'test_acc=0.364', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.370', 'test_macc=0.292', 'test_g_mean=0.282']
['[2700,5000]', 'loss=0.337', 'test_acu=0.729', 'test_f1_score=0.026', 'test_acc=0.358', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.364', 'test_macc=0.289', 'test_g_mean=0.279']
['[2800,5000]', 'loss=0.333', 'test_acu=0.731', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[2900,5000]', 'loss=0.329', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.353', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.358', 'test_macc=0.286', 'test_g_mean=0.277']
['[3000,5000]', 'loss=0.326', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.358', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.364', 'test_macc=0.289', 'test_g_mean=0.279']
['[3100,5000]', 'loss=0.322', 'test_acu=0.729', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[3200,5000]', 'loss=0.318', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[3300,5000]', 'loss=0.315', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[3400,5000]', 'loss=0.311', 'test_acu=0.731', 'test_f1_score=0.026', 'test_acc=0.353', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.358', 'test_macc=0.286', 'test_g_mean=0.277']
['[3500,5000]', 'loss=0.308', 'test_acu=0.729', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[3600,5000]', 'loss=0.305', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.353', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.358', 'test_macc=0.286', 'test_g_mean=0.277']
['[3700,5000]', 'loss=0.301', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.355', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.361', 'test_macc=0.288', 'test_g_mean=0.278']
['[3800,5000]', 'loss=0.298', 'test_acu=0.730', 'test_f1_score=0.026', 'test_acc=0.361', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.367', 'test_macc=0.291', 'test_g_mean=0.281']
['[3900,5000]', 'loss=0.295', 'test_acu=0.728', 'test_f1_score=0.027', 'test_acc=0.364', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.370', 'test_macc=0.292', 'test_g_mean=0.282']
['[4000,5000]', 'loss=0.291', 'test_acu=0.726', 'test_f1_score=0.027', 'test_acc=0.370', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.377', 'test_macc=0.295', 'test_g_mean=0.284']
['[4100,5000]', 'loss=0.288', 'test_acu=0.725', 'test_f1_score=0.027', 'test_acc=0.373', 'test_ppr=0.014', 'test_sen=0.214', 'test_spe=0.380', 'test_macc=0.297', 'test_g_mean=0.285']
['[4200,5000]', 'loss=0.285', 'test_acu=0.723', 'test_f1_score=0.018', 'test_acc=0.376', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.386', 'test_macc=0.264', 'test_g_mean=0.235']
['[4300,5000]', 'loss=0.282', 'test_acu=0.721', 'test_f1_score=0.018', 'test_acc=0.382', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.392', 'test_macc=0.267', 'test_g_mean=0.237']
['[4400,5000]', 'loss=0.279', 'test_acu=0.719', 'test_f1_score=0.018', 'test_acc=0.382', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.392', 'test_macc=0.267', 'test_g_mean=0.237']
['[4500,5000]', 'loss=0.276', 'test_acu=0.718', 'test_f1_score=0.018', 'test_acc=0.379', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.389', 'test_macc=0.266', 'test_g_mean=0.236']
['[4600,5000]', 'loss=0.273', 'test_acu=0.717', 'test_f1_score=0.019', 'test_acc=0.387', 'test_ppr=0.010', 'test_sen=0.143', 'test_spe=0.398', 'test_macc=0.270', 'test_g_mean=0.238']
['[4700,5000]', 'loss=0.270', 'test_acu=0.714', 'test_f1_score=0.028', 'test_acc=0.399', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.407', 'test_macc=0.310', 'test_g_mean=0.295']
['[4800,5000]', 'loss=0.267', 'test_acu=0.711', 'test_f1_score=0.028', 'test_acc=0.402', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.410', 'test_macc=0.312', 'test_g_mean=0.296']
['[4900,5000]', 'loss=0.264', 'test_acu=0.707', 'test_f1_score=0.028', 'test_acc=0.405', 'test_ppr=0.015', 'test_sen=0.214', 'test_spe=0.413', 'test_macc=0.313', 'test_g_mean=0.297']
3 fold training
['[0,5000]', 'loss=0.550', 'test_acu=0.380', 'test_f1_score=0.080', 'test_acc=0.072', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.033', 'test_macc=0.517', 'test_g_mean=0.182']
['[100,5000]', 'loss=0.511', 'test_acu=0.347', 'test_f1_score=0.080', 'test_acc=0.075', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.190']
['[200,5000]', 'loss=0.479', 'test_acu=0.333', 'test_f1_score=0.083', 'test_acc=0.101', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.063', 'test_macc=0.532', 'test_g_mean=0.252']
['[300,5000]', 'loss=0.457', 'test_acu=0.338', 'test_f1_score=0.087', 'test_acc=0.147', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.111', 'test_macc=0.556', 'test_g_mean=0.334']
