1 fold training
['[0,5000]', 'loss=0.075', 'test_acu=0.835', 'test_f1_score=0.072', 'test_acc=0.038', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.075', 'test_acu=0.826', 'test_f1_score=0.072', 'test_acc=0.038', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.075', 'test_acu=0.817', 'test_f1_score=0.072', 'test_acc=0.038', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.075', 'test_acu=0.807', 'test_f1_score=0.072', 'test_acc=0.038', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.075', 'test_acu=0.795', 'test_f1_score=0.073', 'test_acc=0.043', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[500,5000]', 'loss=0.075', 'test_acu=0.786', 'test_f1_score=0.073', 'test_acc=0.046', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.505', 'test_g_mean=0.095']
['[600,5000]', 'loss=0.075', 'test_acu=0.782', 'test_f1_score=0.073', 'test_acc=0.046', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.505', 'test_g_mean=0.095']
['[700,5000]', 'loss=0.075', 'test_acu=0.776', 'test_f1_score=0.073', 'test_acc=0.049', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.110']
['[800,5000]', 'loss=0.075', 'test_acu=0.773', 'test_f1_score=0.073', 'test_acc=0.049', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.110']
['[900,5000]', 'loss=0.075', 'test_acu=0.770', 'test_f1_score=0.073', 'test_acc=0.049', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.110']
['[1000,5000]', 'loss=0.075', 'test_acu=0.770', 'test_f1_score=0.073', 'test_acc=0.049', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.110']
