1 fold training
['[0,5000]', 'loss=0.550', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.513', 'test_acu=0.538', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.484', 'test_acu=0.535', 'test_f1_score=0.079', 'test_acc=0.121', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.087', 'test_macc=0.544', 'test_g_mean=0.295']
['[300,5000]', 'loss=0.462', 'test_acu=0.540', 'test_f1_score=0.080', 'test_acc=0.142', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.108', 'test_macc=0.554', 'test_g_mean=0.329']
['[400,5000]', 'loss=0.448', 'test_acu=0.554', 'test_f1_score=0.085', 'test_acc=0.191', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.159', 'test_macc=0.580', 'test_g_mean=0.399']
['[500,5000]', 'loss=0.438', 'test_acu=0.584', 'test_f1_score=0.081', 'test_acc=0.214', 'test_ppr=0.042', 'test_sen=0.923', 'test_spe=0.186', 'test_macc=0.555', 'test_g_mean=0.415']
['[600,5000]', 'loss=0.431', 'test_acu=0.604', 'test_f1_score=0.078', 'test_acc=0.251', 'test_ppr=0.041', 'test_sen=0.846', 'test_spe=0.228', 'test_macc=0.537', 'test_g_mean=0.439']
['[700,5000]', 'loss=0.426', 'test_acu=0.621', 'test_f1_score=0.072', 'test_acc=0.257', 'test_ppr=0.038', 'test_sen=0.769', 'test_spe=0.237', 'test_macc=0.503', 'test_g_mean=0.427']
['[800,5000]', 'loss=0.422', 'test_acu=0.641', 'test_f1_score=0.061', 'test_acc=0.292', 'test_ppr=0.032', 'test_sen=0.615', 'test_spe=0.279', 'test_macc=0.447', 'test_g_mean=0.415']
['[900,5000]', 'loss=0.418', 'test_acu=0.654', 'test_f1_score=0.054', 'test_acc=0.292', 'test_ppr=0.028', 'test_sen=0.538', 'test_spe=0.282', 'test_macc=0.410', 'test_g_mean=0.390']
['[1000,5000]', 'loss=0.414', 'test_acu=0.669', 'test_f1_score=0.056', 'test_acc=0.324', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.315', 'test_macc=0.427', 'test_g_mean=0.412']
['[1100,5000]', 'loss=0.411', 'test_acu=0.686', 'test_f1_score=0.049', 'test_acc=0.324', 'test_ppr=0.026', 'test_sen=0.462', 'test_spe=0.318', 'test_macc=0.390', 'test_g_mean=0.383']
['[1200,5000]', 'loss=0.407', 'test_acu=0.696', 'test_f1_score=0.033', 'test_acc=0.321', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.321', 'test_macc=0.315', 'test_g_mean=0.314']
['[1300,5000]', 'loss=0.404', 'test_acu=0.710', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1400,5000]', 'loss=0.401', 'test_acu=0.724', 'test_f1_score=0.033', 'test_acc=0.318', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.318', 'test_macc=0.313', 'test_g_mean=0.313']
['[1500,5000]', 'loss=0.397', 'test_acu=0.734', 'test_f1_score=0.033', 'test_acc=0.312', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.312', 'test_macc=0.310', 'test_g_mean=0.310']
['[1600,5000]', 'loss=0.394', 'test_acu=0.744', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1700,5000]', 'loss=0.390', 'test_acu=0.753', 'test_f1_score=0.032', 'test_acc=0.306', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.306', 'test_macc=0.307', 'test_g_mean=0.307']
['[1800,5000]', 'loss=0.387', 'test_acu=0.757', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[1900,5000]', 'loss=0.383', 'test_acu=0.762', 'test_f1_score=0.032', 'test_acc=0.292', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.291', 'test_macc=0.299', 'test_g_mean=0.299']
