1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.992', 'test_acu=0.547', 'test_f1_score=0.079', 'test_acc=0.127', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.093', 'test_macc=0.547', 'test_g_mean=0.305']
['[100,5000]', 'loss=0.399', 'test_acu=0.675', 'test_f1_score=0.019', 'test_acc=0.402', 'test_ppr=0.010', 'test_sen=0.154', 'test_spe=0.411', 'test_macc=0.283', 'test_g_mean=0.252']
['[200,5000]', 'loss=0.116', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.468', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.486', 'test_macc=0.243', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.069', 'test_acu=0.825', 'test_f1_score=0.000', 'test_acc=0.425', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.441', 'test_macc=0.221', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.072', 'test_acu=0.908', 'test_f1_score=0.000', 'test_acc=0.604', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.628', 'test_macc=0.314', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.075', 'test_acu=0.900', 'test_f1_score=0.000', 'test_acc=0.746', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.775', 'test_macc=0.387', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.075', 'test_acu=0.851', 'test_f1_score=0.000', 'test_acc=0.731', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.760', 'test_macc=0.380', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.075', 'test_acu=0.850', 'test_f1_score=0.000', 'test_acc=0.775', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.805', 'test_macc=0.402', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.075', 'test_acu=0.850', 'test_f1_score=0.000', 'test_acc=0.514', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.535', 'test_macc=0.267', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.075', 'test_acu=0.850', 'test_f1_score=0.000', 'test_acc=0.928', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.964', 'test_macc=0.482', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.075', 'test_acu=0.853', 'test_f1_score=0.000', 'test_acc=0.806', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.838', 'test_macc=0.419', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.075', 'test_acu=0.895', 'test_f1_score=0.000', 'test_acc=0.488', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.508', 'test_macc=0.254', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.075', 'test_acu=0.940', 'test_f1_score=0.000', 'test_acc=0.572', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.595', 'test_macc=0.297', 'test_g_mean=0.000']
