1 fold training
['[0,5000]', 'loss=0.553', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.514', 'test_acu=0.537', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.482', 'test_acu=0.530', 'test_f1_score=0.079', 'test_acc=0.121', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.087', 'test_macc=0.544', 'test_g_mean=0.295']
['[300,5000]', 'loss=0.459', 'test_acu=0.536', 'test_f1_score=0.080', 'test_acc=0.142', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.108', 'test_macc=0.554', 'test_g_mean=0.329']
['[400,5000]', 'loss=0.443', 'test_acu=0.551', 'test_f1_score=0.084', 'test_acc=0.185', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.153', 'test_macc=0.577', 'test_g_mean=0.391']
['[500,5000]', 'loss=0.433', 'test_acu=0.580', 'test_f1_score=0.075', 'test_acc=0.220', 'test_ppr=0.039', 'test_sen=0.846', 'test_spe=0.195', 'test_macc=0.521', 'test_g_mean=0.406']
['[600,5000]', 'loss=0.426', 'test_acu=0.608', 'test_f1_score=0.079', 'test_acc=0.254', 'test_ppr=0.041', 'test_sen=0.846', 'test_spe=0.231', 'test_macc=0.539', 'test_g_mean=0.442']
['[700,5000]', 'loss=0.420', 'test_acu=0.624', 'test_f1_score=0.074', 'test_acc=0.275', 'test_ppr=0.039', 'test_sen=0.769', 'test_spe=0.255', 'test_macc=0.512', 'test_g_mean=0.443']
['[800,5000]', 'loss=0.415', 'test_acu=0.646', 'test_f1_score=0.055', 'test_acc=0.309', 'test_ppr=0.029', 'test_sen=0.538', 'test_spe=0.300', 'test_macc=0.419', 'test_g_mean=0.402']
['[900,5000]', 'loss=0.411', 'test_acu=0.660', 'test_f1_score=0.057', 'test_acc=0.332', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.324', 'test_macc=0.431', 'test_g_mean=0.418']
['[1000,5000]', 'loss=0.407', 'test_acu=0.676', 'test_f1_score=0.033', 'test_acc=0.329', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.330', 'test_macc=0.319', 'test_g_mean=0.319']
['[1100,5000]', 'loss=0.403', 'test_acu=0.692', 'test_f1_score=0.033', 'test_acc=0.332', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.333', 'test_macc=0.321', 'test_g_mean=0.320']
['[1200,5000]', 'loss=0.400', 'test_acu=0.703', 'test_f1_score=0.033', 'test_acc=0.332', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.333', 'test_macc=0.321', 'test_g_mean=0.320']
['[1300,5000]', 'loss=0.396', 'test_acu=0.718', 'test_f1_score=0.033', 'test_acc=0.327', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.327', 'test_macc=0.318', 'test_g_mean=0.317']
['[1400,5000]', 'loss=0.392', 'test_acu=0.731', 'test_f1_score=0.033', 'test_acc=0.327', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.327', 'test_macc=0.318', 'test_g_mean=0.317']
['[1500,5000]', 'loss=0.388', 'test_acu=0.740', 'test_f1_score=0.025', 'test_acc=0.318', 'test_ppr=0.013', 'test_sen=0.231', 'test_spe=0.321', 'test_macc=0.276', 'test_g_mean=0.272']
['[1600,5000]', 'loss=0.384', 'test_acu=0.754', 'test_f1_score=0.025', 'test_acc=0.315', 'test_ppr=0.013', 'test_sen=0.231', 'test_spe=0.318', 'test_macc=0.275', 'test_g_mean=0.271']
