1 fold training
['[0,5000]', 'loss=0.548', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.511', 'test_acu=0.535', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.481', 'test_acu=0.529', 'test_f1_score=0.079', 'test_acc=0.127', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.093', 'test_macc=0.547', 'test_g_mean=0.305']
['[300,5000]', 'loss=0.459', 'test_acu=0.531', 'test_f1_score=0.081', 'test_acc=0.147', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.114', 'test_macc=0.557', 'test_g_mean=0.338']
['[400,5000]', 'loss=0.444', 'test_acu=0.540', 'test_f1_score=0.087', 'test_acc=0.208', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.177', 'test_macc=0.589', 'test_g_mean=0.421']
['[500,5000]', 'loss=0.434', 'test_acu=0.558', 'test_f1_score=0.077', 'test_acc=0.240', 'test_ppr=0.040', 'test_sen=0.846', 'test_spe=0.216', 'test_macc=0.531', 'test_g_mean=0.428']
['[600,5000]', 'loss=0.427', 'test_acu=0.573', 'test_f1_score=0.079', 'test_acc=0.263', 'test_ppr=0.042', 'test_sen=0.846', 'test_spe=0.240', 'test_macc=0.543', 'test_g_mean=0.451']
['[700,5000]', 'loss=0.421', 'test_acu=0.592', 'test_f1_score=0.074', 'test_acc=0.277', 'test_ppr=0.039', 'test_sen=0.769', 'test_spe=0.258', 'test_macc=0.514', 'test_g_mean=0.446']
['[800,5000]', 'loss=0.416', 'test_acu=0.608', 'test_f1_score=0.063', 'test_acc=0.312', 'test_ppr=0.033', 'test_sen=0.615', 'test_spe=0.300', 'test_macc=0.458', 'test_g_mean=0.430']
['[900,5000]', 'loss=0.412', 'test_acu=0.621', 'test_f1_score=0.057', 'test_acc=0.327', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.318', 'test_macc=0.428', 'test_g_mean=0.414']
['[1000,5000]', 'loss=0.408', 'test_acu=0.628', 'test_f1_score=0.058', 'test_acc=0.341', 'test_ppr=0.031', 'test_sen=0.538', 'test_spe=0.333', 'test_macc=0.436', 'test_g_mean=0.424']
['[1100,5000]', 'loss=0.404', 'test_acu=0.632', 'test_f1_score=0.058', 'test_acc=0.344', 'test_ppr=0.031', 'test_sen=0.538', 'test_spe=0.336', 'test_macc=0.437', 'test_g_mean=0.426']
['[1200,5000]', 'loss=0.400', 'test_acu=0.642', 'test_f1_score=0.059', 'test_acc=0.353', 'test_ppr=0.031', 'test_sen=0.538', 'test_spe=0.345', 'test_macc=0.442', 'test_g_mean=0.431']
['[1300,5000]', 'loss=0.396', 'test_acu=0.652', 'test_f1_score=0.052', 'test_acc=0.367', 'test_ppr=0.028', 'test_sen=0.462', 'test_spe=0.363', 'test_macc=0.412', 'test_g_mean=0.410']
['[1400,5000]', 'loss=0.392', 'test_acu=0.663', 'test_f1_score=0.035', 'test_acc=0.358', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.360', 'test_macc=0.334', 'test_g_mean=0.333']
['[1500,5000]', 'loss=0.388', 'test_acu=0.671', 'test_f1_score=0.035', 'test_acc=0.361', 'test_ppr=0.019', 'test_sen=0.308', 'test_spe=0.363', 'test_macc=0.336', 'test_g_mean=0.334']
['[1600,5000]', 'loss=0.384', 'test_acu=0.678', 'test_f1_score=0.035', 'test_acc=0.367', 'test_ppr=0.019', 'test_sen=0.308', 'test_spe=0.369', 'test_macc=0.339', 'test_g_mean=0.337']
['[1700,5000]', 'loss=0.380', 'test_acu=0.684', 'test_f1_score=0.035', 'test_acc=0.361', 'test_ppr=0.019', 'test_sen=0.308', 'test_spe=0.363', 'test_macc=0.336', 'test_g_mean=0.334']
['[1800,5000]', 'loss=0.375', 'test_acu=0.693', 'test_f1_score=0.035', 'test_acc=0.361', 'test_ppr=0.019', 'test_sen=0.308', 'test_spe=0.363', 'test_macc=0.336', 'test_g_mean=0.334']
['[1900,5000]', 'loss=0.371', 'test_acu=0.699', 'test_f1_score=0.035', 'test_acc=0.355', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.357', 'test_macc=0.333', 'test_g_mean=0.332']
['[2000,5000]', 'loss=0.367', 'test_acu=0.704', 'test_f1_score=0.035', 'test_acc=0.358', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.360', 'test_macc=0.334', 'test_g_mean=0.333']
['[2100,5000]', 'loss=0.363', 'test_acu=0.707', 'test_f1_score=0.035', 'test_acc=0.355', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.357', 'test_macc=0.333', 'test_g_mean=0.332']
['[2200,5000]', 'loss=0.358', 'test_acu=0.717', 'test_f1_score=0.034', 'test_acc=0.347', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.348', 'test_macc=0.328', 'test_g_mean=0.327']
['[2300,5000]', 'loss=0.354', 'test_acu=0.720', 'test_f1_score=0.034', 'test_acc=0.344', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.345', 'test_macc=0.327', 'test_g_mean=0.326']
['[2400,5000]', 'loss=0.349', 'test_acu=0.720', 'test_f1_score=0.034', 'test_acc=0.344', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.345', 'test_macc=0.327', 'test_g_mean=0.326']
['[2500,5000]', 'loss=0.345', 'test_acu=0.727', 'test_f1_score=0.034', 'test_acc=0.347', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.348', 'test_macc=0.328', 'test_g_mean=0.327']
