1 fold training
['[0,5000]', 'loss=0.555', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.517', 'test_acu=0.537', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.486', 'test_acu=0.531', 'test_f1_score=0.079', 'test_acc=0.118', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.084', 'test_macc=0.542', 'test_g_mean=0.290']
['[300,5000]', 'loss=0.464', 'test_acu=0.535', 'test_f1_score=0.080', 'test_acc=0.139', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.105', 'test_macc=0.553', 'test_g_mean=0.324']
['[400,5000]', 'loss=0.448', 'test_acu=0.548', 'test_f1_score=0.084', 'test_acc=0.182', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[500,5000]', 'loss=0.437', 'test_acu=0.575', 'test_f1_score=0.081', 'test_acc=0.214', 'test_ppr=0.042', 'test_sen=0.923', 'test_spe=0.186', 'test_macc=0.555', 'test_g_mean=0.415']
['[600,5000]', 'loss=0.430', 'test_acu=0.603', 'test_f1_score=0.078', 'test_acc=0.251', 'test_ppr=0.041', 'test_sen=0.846', 'test_spe=0.228', 'test_macc=0.537', 'test_g_mean=0.439']
['[700,5000]', 'loss=0.424', 'test_acu=0.619', 'test_f1_score=0.073', 'test_acc=0.263', 'test_ppr=0.038', 'test_sen=0.769', 'test_spe=0.243', 'test_macc=0.506', 'test_g_mean=0.433']
['[800,5000]', 'loss=0.420', 'test_acu=0.638', 'test_f1_score=0.061', 'test_acc=0.289', 'test_ppr=0.032', 'test_sen=0.615', 'test_spe=0.276', 'test_macc=0.446', 'test_g_mean=0.412']
['[900,5000]', 'loss=0.416', 'test_acu=0.657', 'test_f1_score=0.056', 'test_acc=0.318', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.309', 'test_macc=0.424', 'test_g_mean=0.408']
['[1000,5000]', 'loss=0.412', 'test_acu=0.675', 'test_f1_score=0.057', 'test_acc=0.332', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.324', 'test_macc=0.431', 'test_g_mean=0.418']
['[1100,5000]', 'loss=0.408', 'test_acu=0.688', 'test_f1_score=0.033', 'test_acc=0.327', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.327', 'test_macc=0.318', 'test_g_mean=0.317']
['[1200,5000]', 'loss=0.404', 'test_acu=0.699', 'test_f1_score=0.033', 'test_acc=0.312', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.312', 'test_macc=0.310', 'test_g_mean=0.310']
['[1300,5000]', 'loss=0.401', 'test_acu=0.719', 'test_f1_score=0.033', 'test_acc=0.318', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.318', 'test_macc=0.313', 'test_g_mean=0.313']
['[1400,5000]', 'loss=0.397', 'test_acu=0.729', 'test_f1_score=0.033', 'test_acc=0.318', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.318', 'test_macc=0.313', 'test_g_mean=0.313']
['[1500,5000]', 'loss=0.393', 'test_acu=0.742', 'test_f1_score=0.033', 'test_acc=0.318', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.318', 'test_macc=0.313', 'test_g_mean=0.313']
['[1600,5000]', 'loss=0.389', 'test_acu=0.748', 'test_f1_score=0.033', 'test_acc=0.312', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.312', 'test_macc=0.310', 'test_g_mean=0.310']
['[1700,5000]', 'loss=0.385', 'test_acu=0.756', 'test_f1_score=0.032', 'test_acc=0.306', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.306', 'test_macc=0.307', 'test_g_mean=0.307']
['[1800,5000]', 'loss=0.382', 'test_acu=0.765', 'test_f1_score=0.032', 'test_acc=0.303', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.303', 'test_macc=0.305', 'test_g_mean=0.305']
['[1900,5000]', 'loss=0.378', 'test_acu=0.773', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[2000,5000]', 'loss=0.374', 'test_acu=0.779', 'test_f1_score=0.024', 'test_acc=0.303', 'test_ppr=0.013', 'test_sen=0.231', 'test_spe=0.306', 'test_macc=0.269', 'test_g_mean=0.266']
['[2100,5000]', 'loss=0.370', 'test_acu=0.786', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
