1 fold training
['[0,5000]', 'loss=0.528', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.492', 'test_acu=0.540', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.463', 'test_acu=0.536', 'test_f1_score=0.079', 'test_acc=0.121', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.087', 'test_macc=0.544', 'test_g_mean=0.295']
['[300,5000]', 'loss=0.442', 'test_acu=0.542', 'test_f1_score=0.080', 'test_acc=0.142', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.108', 'test_macc=0.554', 'test_g_mean=0.329']
['[400,5000]', 'loss=0.427', 'test_acu=0.559', 'test_f1_score=0.085', 'test_acc=0.191', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.159', 'test_macc=0.580', 'test_g_mean=0.399']
['[500,5000]', 'loss=0.416', 'test_acu=0.583', 'test_f1_score=0.082', 'test_acc=0.228', 'test_ppr=0.043', 'test_sen=0.923', 'test_spe=0.201', 'test_macc=0.562', 'test_g_mean=0.431']
['[600,5000]', 'loss=0.407', 'test_acu=0.606', 'test_f1_score=0.079', 'test_acc=0.254', 'test_ppr=0.041', 'test_sen=0.846', 'test_spe=0.231', 'test_macc=0.539', 'test_g_mean=0.442']
['[700,5000]', 'loss=0.400', 'test_acu=0.622', 'test_f1_score=0.074', 'test_acc=0.275', 'test_ppr=0.039', 'test_sen=0.769', 'test_spe=0.255', 'test_macc=0.512', 'test_g_mean=0.443']
['[800,5000]', 'loss=0.395', 'test_acu=0.637', 'test_f1_score=0.062', 'test_acc=0.301', 'test_ppr=0.033', 'test_sen=0.615', 'test_spe=0.288', 'test_macc=0.452', 'test_g_mean=0.421']
['[900,5000]', 'loss=0.389', 'test_acu=0.656', 'test_f1_score=0.058', 'test_acc=0.338', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.330', 'test_macc=0.434', 'test_g_mean=0.422']
['[1000,5000]', 'loss=0.384', 'test_acu=0.670', 'test_f1_score=0.033', 'test_acc=0.332', 'test_ppr=0.018', 'test_sen=0.308', 'test_spe=0.333', 'test_macc=0.321', 'test_g_mean=0.320']
