1 fold training
['[0,5000]', 'loss=0.556', 'test_acu=0.554', 'test_f1_score=0.077', 'test_acc=0.101', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[100,5000]', 'loss=0.518', 'test_acu=0.538', 'test_f1_score=0.077', 'test_acc=0.104', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.069', 'test_macc=0.535', 'test_g_mean=0.263']
['[200,5000]', 'loss=0.487', 'test_acu=0.531', 'test_f1_score=0.079', 'test_acc=0.118', 'test_ppr=0.041', 'test_sen=1.000', 'test_spe=0.084', 'test_macc=0.542', 'test_g_mean=0.290']
['[300,5000]', 'loss=0.464', 'test_acu=0.535', 'test_f1_score=0.080', 'test_acc=0.139', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.105', 'test_macc=0.553', 'test_g_mean=0.324']
['[400,5000]', 'loss=0.448', 'test_acu=0.550', 'test_f1_score=0.084', 'test_acc=0.176', 'test_ppr=0.044', 'test_sen=1.000', 'test_spe=0.144', 'test_macc=0.572', 'test_g_mean=0.380']
['[500,5000]', 'loss=0.438', 'test_acu=0.577', 'test_f1_score=0.081', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.923', 'test_spe=0.180', 'test_macc=0.552', 'test_g_mean=0.408']
['[600,5000]', 'loss=0.430', 'test_acu=0.604', 'test_f1_score=0.077', 'test_acc=0.243', 'test_ppr=0.041', 'test_sen=0.846', 'test_spe=0.219', 'test_macc=0.533', 'test_g_mean=0.431']
['[700,5000]', 'loss=0.425', 'test_acu=0.620', 'test_f1_score=0.079', 'test_acc=0.263', 'test_ppr=0.042', 'test_sen=0.846', 'test_spe=0.240', 'test_macc=0.543', 'test_g_mean=0.451']
['[800,5000]', 'loss=0.420', 'test_acu=0.640', 'test_f1_score=0.060', 'test_acc=0.280', 'test_ppr=0.032', 'test_sen=0.615', 'test_spe=0.267', 'test_macc=0.441', 'test_g_mean=0.406']
['[900,5000]', 'loss=0.416', 'test_acu=0.661', 'test_f1_score=0.056', 'test_acc=0.315', 'test_ppr=0.029', 'test_sen=0.538', 'test_spe=0.306', 'test_macc=0.422', 'test_g_mean=0.406']
['[1000,5000]', 'loss=0.412', 'test_acu=0.678', 'test_f1_score=0.056', 'test_acc=0.321', 'test_ppr=0.030', 'test_sen=0.538', 'test_spe=0.312', 'test_macc=0.425', 'test_g_mean=0.410']
['[1100,5000]', 'loss=0.408', 'test_acu=0.689', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1200,5000]', 'loss=0.404', 'test_acu=0.707', 'test_f1_score=0.033', 'test_acc=0.312', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.312', 'test_macc=0.310', 'test_g_mean=0.310']
['[1300,5000]', 'loss=0.400', 'test_acu=0.720', 'test_f1_score=0.033', 'test_acc=0.318', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.318', 'test_macc=0.313', 'test_g_mean=0.313']
['[1400,5000]', 'loss=0.396', 'test_acu=0.735', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1500,5000]', 'loss=0.392', 'test_acu=0.744', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1600,5000]', 'loss=0.388', 'test_acu=0.753', 'test_f1_score=0.033', 'test_acc=0.315', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.315', 'test_macc=0.312', 'test_g_mean=0.311']
['[1700,5000]', 'loss=0.384', 'test_acu=0.761', 'test_f1_score=0.032', 'test_acc=0.301', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.300', 'test_macc=0.304', 'test_g_mean=0.304']
['[1800,5000]', 'loss=0.380', 'test_acu=0.769', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[1900,5000]', 'loss=0.376', 'test_acu=0.776', 'test_f1_score=0.032', 'test_acc=0.303', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.303', 'test_macc=0.305', 'test_g_mean=0.305']
['[2000,5000]', 'loss=0.372', 'test_acu=0.785', 'test_f1_score=0.016', 'test_acc=0.295', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.300', 'test_macc=0.227', 'test_g_mean=0.215']
['[2100,5000]', 'loss=0.368', 'test_acu=0.785', 'test_f1_score=0.016', 'test_acc=0.295', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.300', 'test_macc=0.227', 'test_g_mean=0.215']
['[2200,5000]', 'loss=0.364', 'test_acu=0.790', 'test_f1_score=0.016', 'test_acc=0.292', 'test_ppr=0.008', 'test_sen=0.154', 'test_spe=0.297', 'test_macc=0.226', 'test_g_mean=0.214']
['[2300,5000]', 'loss=0.359', 'test_acu=0.794', 'test_f1_score=0.016', 'test_acc=0.286', 'test_ppr=0.008', 'test_sen=0.154', 'test_spe=0.291', 'test_macc=0.223', 'test_g_mean=0.212']
['[2400,5000]', 'loss=0.355', 'test_acu=0.798', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[2500,5000]', 'loss=0.351', 'test_acu=0.804', 'test_f1_score=0.008', 'test_acc=0.286', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.294', 'test_macc=0.186', 'test_g_mean=0.150']
['[2600,5000]', 'loss=0.347', 'test_acu=0.805', 'test_f1_score=0.008', 'test_acc=0.286', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.294', 'test_macc=0.186', 'test_g_mean=0.150']
['[2700,5000]', 'loss=0.342', 'test_acu=0.805', 'test_f1_score=0.008', 'test_acc=0.286', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.294', 'test_macc=0.186', 'test_g_mean=0.150']
['[2800,5000]', 'loss=0.338', 'test_acu=0.805', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[2900,5000]', 'loss=0.334', 'test_acu=0.804', 'test_f1_score=0.008', 'test_acc=0.292', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.300', 'test_macc=0.189', 'test_g_mean=0.152']
['[3000,5000]', 'loss=0.330', 'test_acu=0.809', 'test_f1_score=0.008', 'test_acc=0.283', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.291', 'test_macc=0.184', 'test_g_mean=0.150']
['[3100,5000]', 'loss=0.326', 'test_acu=0.810', 'test_f1_score=0.008', 'test_acc=0.283', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.291', 'test_macc=0.184', 'test_g_mean=0.150']
['[3200,5000]', 'loss=0.321', 'test_acu=0.811', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[3300,5000]', 'loss=0.317', 'test_acu=0.812', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[3400,5000]', 'loss=0.313', 'test_acu=0.813', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[3500,5000]', 'loss=0.309', 'test_acu=0.813', 'test_f1_score=0.008', 'test_acc=0.289', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.297', 'test_macc=0.187', 'test_g_mean=0.151']
['[3600,5000]', 'loss=0.305', 'test_acu=0.814', 'test_f1_score=0.008', 'test_acc=0.286', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.294', 'test_macc=0.186', 'test_g_mean=0.150']
['[3700,5000]', 'loss=0.301', 'test_acu=0.816', 'test_f1_score=0.008', 'test_acc=0.295', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.303', 'test_macc=0.190', 'test_g_mean=0.153']
['[3800,5000]', 'loss=0.297', 'test_acu=0.816', 'test_f1_score=0.008', 'test_acc=0.295', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.303', 'test_macc=0.190', 'test_g_mean=0.153']
['[3900,5000]', 'loss=0.293', 'test_acu=0.815', 'test_f1_score=0.008', 'test_acc=0.298', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.306', 'test_macc=0.192', 'test_g_mean=0.153']
['[4000,5000]', 'loss=0.289', 'test_acu=0.817', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
['[4100,5000]', 'loss=0.285', 'test_acu=0.816', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
['[4200,5000]', 'loss=0.281', 'test_acu=0.818', 'test_f1_score=0.008', 'test_acc=0.301', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.309', 'test_macc=0.193', 'test_g_mean=0.154']
['[4300,5000]', 'loss=0.278', 'test_acu=0.816', 'test_f1_score=0.008', 'test_acc=0.301', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.309', 'test_macc=0.193', 'test_g_mean=0.154']
['[4400,5000]', 'loss=0.274', 'test_acu=0.817', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
['[4500,5000]', 'loss=0.270', 'test_acu=0.816', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
['[4600,5000]', 'loss=0.267', 'test_acu=0.818', 'test_f1_score=0.008', 'test_acc=0.309', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.318', 'test_macc=0.198', 'test_g_mean=0.156']
['[4700,5000]', 'loss=0.263', 'test_acu=0.819', 'test_f1_score=0.008', 'test_acc=0.309', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.318', 'test_macc=0.198', 'test_g_mean=0.156']
['[4800,5000]', 'loss=0.260', 'test_acu=0.818', 'test_f1_score=0.008', 'test_acc=0.309', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.318', 'test_macc=0.198', 'test_g_mean=0.156']
['[4900,5000]', 'loss=0.256', 'test_acu=0.817', 'test_f1_score=0.008', 'test_acc=0.303', 'test_ppr=0.004', 'test_sen=0.077', 'test_spe=0.312', 'test_macc=0.195', 'test_g_mean=0.155']
2 fold training
['[0,5000]', 'loss=0.551', 'test_acu=0.549', 'test_f1_score=0.074', 'test_acc=0.064', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.027', 'test_macc=0.514', 'test_g_mean=0.164']
['[100,5000]', 'loss=0.512', 'test_acu=0.545', 'test_f1_score=0.075', 'test_acc=0.069', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.033', 'test_macc=0.517', 'test_g_mean=0.182']
['[200,5000]', 'loss=0.480', 'test_acu=0.547', 'test_f1_score=0.076', 'test_acc=0.084', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.048', 'test_macc=0.524', 'test_g_mean=0.219']
['[300,5000]', 'loss=0.456', 'test_acu=0.557', 'test_f1_score=0.078', 'test_acc=0.110', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.075', 'test_macc=0.538', 'test_g_mean=0.274']
['[400,5000]', 'loss=0.440', 'test_acu=0.574', 'test_f1_score=0.081', 'test_acc=0.147', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.114', 'test_macc=0.557', 'test_g_mean=0.338']
['[500,5000]', 'loss=0.429', 'test_acu=0.598', 'test_f1_score=0.067', 'test_acc=0.191', 'test_ppr=0.035', 'test_sen=0.769', 'test_spe=0.168', 'test_macc=0.469', 'test_g_mean=0.360']
['[600,5000]', 'loss=0.421', 'test_acu=0.621', 'test_f1_score=0.069', 'test_acc=0.217', 'test_ppr=0.036', 'test_sen=0.769', 'test_spe=0.195', 'test_macc=0.482', 'test_g_mean=0.387']
['[700,5000]', 'loss=0.415', 'test_acu=0.644', 'test_f1_score=0.064', 'test_acc=0.234', 'test_ppr=0.033', 'test_sen=0.692', 'test_spe=0.216', 'test_macc=0.454', 'test_g_mean=0.387']
['[800,5000]', 'loss=0.410', 'test_acu=0.663', 'test_f1_score=0.066', 'test_acc=0.266', 'test_ppr=0.035', 'test_sen=0.692', 'test_spe=0.249', 'test_macc=0.471', 'test_g_mean=0.415']
['[900,5000]', 'loss=0.406', 'test_acu=0.680', 'test_f1_score=0.068', 'test_acc=0.286', 'test_ppr=0.036', 'test_sen=0.692', 'test_spe=0.270', 'test_macc=0.481', 'test_g_mean=0.433']
['[1000,5000]', 'loss=0.401', 'test_acu=0.695', 'test_f1_score=0.039', 'test_acc=0.295', 'test_ppr=0.021', 'test_sen=0.385', 'test_spe=0.291', 'test_macc=0.338', 'test_g_mean=0.335']
['[1100,5000]', 'loss=0.397', 'test_acu=0.709', 'test_f1_score=0.032', 'test_acc=0.309', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.309', 'test_macc=0.309', 'test_g_mean=0.308']
['[1200,5000]', 'loss=0.393', 'test_acu=0.720', 'test_f1_score=0.032', 'test_acc=0.306', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.306', 'test_macc=0.307', 'test_g_mean=0.307']
['[1300,5000]', 'loss=0.389', 'test_acu=0.734', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[1400,5000]', 'loss=0.384', 'test_acu=0.745', 'test_f1_score=0.032', 'test_acc=0.301', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.300', 'test_macc=0.304', 'test_g_mean=0.304']
['[1500,5000]', 'loss=0.380', 'test_acu=0.758', 'test_f1_score=0.032', 'test_acc=0.301', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.300', 'test_macc=0.304', 'test_g_mean=0.304']
['[1600,5000]', 'loss=0.376', 'test_acu=0.765', 'test_f1_score=0.032', 'test_acc=0.303', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.303', 'test_macc=0.305', 'test_g_mean=0.305']
['[1700,5000]', 'loss=0.371', 'test_acu=0.775', 'test_f1_score=0.032', 'test_acc=0.303', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.303', 'test_macc=0.305', 'test_g_mean=0.305']
['[1800,5000]', 'loss=0.367', 'test_acu=0.784', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[1900,5000]', 'loss=0.363', 'test_acu=0.790', 'test_f1_score=0.032', 'test_acc=0.301', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.300', 'test_macc=0.304', 'test_g_mean=0.304']
['[2000,5000]', 'loss=0.358', 'test_acu=0.796', 'test_f1_score=0.032', 'test_acc=0.298', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.297', 'test_macc=0.302', 'test_g_mean=0.302']
['[2100,5000]', 'loss=0.354', 'test_acu=0.802', 'test_f1_score=0.032', 'test_acc=0.301', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.300', 'test_macc=0.304', 'test_g_mean=0.304']
['[2200,5000]', 'loss=0.350', 'test_acu=0.808', 'test_f1_score=0.032', 'test_acc=0.306', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.306', 'test_macc=0.307', 'test_g_mean=0.307']
['[2300,5000]', 'loss=0.345', 'test_acu=0.810', 'test_f1_score=0.033', 'test_acc=0.321', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.321', 'test_macc=0.315', 'test_g_mean=0.314']
['[2400,5000]', 'loss=0.341', 'test_acu=0.815', 'test_f1_score=0.033', 'test_acc=0.321', 'test_ppr=0.017', 'test_sen=0.308', 'test_spe=0.321', 'test_macc=0.315', 'test_g_mean=0.314']
['[2500,5000]', 'loss=0.337', 'test_acu=0.815', 'test_f1_score=0.025', 'test_acc=0.318', 'test_ppr=0.013', 'test_sen=0.231', 'test_spe=0.321', 'test_macc=0.276', 'test_g_mean=0.272']
['[2600,5000]', 'loss=0.332', 'test_acu=0.818', 'test_f1_score=0.025', 'test_acc=0.315', 'test_ppr=0.013', 'test_sen=0.231', 'test_spe=0.318', 'test_macc=0.275', 'test_g_mean=0.271']
['[2700,5000]', 'loss=0.328', 'test_acu=0.819', 'test_f1_score=0.017', 'test_acc=0.321', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.327', 'test_macc=0.241', 'test_g_mean=0.224']
['[2800,5000]', 'loss=0.324', 'test_acu=0.822', 'test_f1_score=0.017', 'test_acc=0.327', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.333', 'test_macc=0.244', 'test_g_mean=0.226']
['[2900,5000]', 'loss=0.319', 'test_acu=0.824', 'test_f1_score=0.017', 'test_acc=0.327', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.333', 'test_macc=0.244', 'test_g_mean=0.226']
['[3000,5000]', 'loss=0.315', 'test_acu=0.827', 'test_f1_score=0.017', 'test_acc=0.327', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.333', 'test_macc=0.244', 'test_g_mean=0.226']
['[3100,5000]', 'loss=0.311', 'test_acu=0.832', 'test_f1_score=0.017', 'test_acc=0.327', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.333', 'test_macc=0.244', 'test_g_mean=0.226']
['[3200,5000]', 'loss=0.307', 'test_acu=0.834', 'test_f1_score=0.017', 'test_acc=0.329', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.336', 'test_macc=0.245', 'test_g_mean=0.227']
['[3300,5000]', 'loss=0.303', 'test_acu=0.833', 'test_f1_score=0.017', 'test_acc=0.329', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.336', 'test_macc=0.245', 'test_g_mean=0.227']
['[3400,5000]', 'loss=0.299', 'test_acu=0.836', 'test_f1_score=0.017', 'test_acc=0.324', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.330', 'test_macc=0.242', 'test_g_mean=0.225']
['[3500,5000]', 'loss=0.295', 'test_acu=0.838', 'test_f1_score=0.017', 'test_acc=0.315', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.321', 'test_macc=0.238', 'test_g_mean=0.222']
['[3600,5000]', 'loss=0.291', 'test_acu=0.840', 'test_f1_score=0.017', 'test_acc=0.312', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.318', 'test_macc=0.236', 'test_g_mean=0.221']
['[3700,5000]', 'loss=0.287', 'test_acu=0.840', 'test_f1_score=0.017', 'test_acc=0.315', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.321', 'test_macc=0.238', 'test_g_mean=0.222']
['[3800,5000]', 'loss=0.283', 'test_acu=0.840', 'test_f1_score=0.017', 'test_acc=0.318', 'test_ppr=0.009', 'test_sen=0.154', 'test_spe=0.324', 'test_macc=0.239', 'test_g_mean=0.223']
