1 fold training
['[0,5000]', 'loss=0.271', 'test_acu=0.897', 'test_f1_score=0.105', 'test_acc=0.056', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.106', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.108', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.108', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.109', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.109', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.109', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.109', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.109', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.109', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.110', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
