1 fold training
['[0,5000]', 'loss=0.684', 'test_acu=0.993', 'test_f1_score=0.054', 'test_acc=0.028', 'test_ppr=0.029', 'test_sen=0.500', 'test_spe=0.000', 'test_macc=0.250', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.603', 'test_acu=0.993', 'test_f1_score=0.054', 'test_acc=0.028', 'test_ppr=0.029', 'test_sen=0.500', 'test_spe=0.000', 'test_macc=0.250', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.548', 'test_acu=0.989', 'test_f1_score=0.055', 'test_acc=0.042', 'test_ppr=0.029', 'test_sen=0.500', 'test_spe=0.015', 'test_macc=0.257', 'test_g_mean=0.086']
['[300,5000]', 'loss=0.522', 'test_acu=0.985', 'test_f1_score=0.028', 'test_acc=0.028', 'test_ppr=0.015', 'test_sen=0.250', 'test_spe=0.015', 'test_macc=0.132', 'test_g_mean=0.061']
['[400,5000]', 'loss=0.510', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.503', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.069', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.074', 'test_macc=0.037', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.499', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.097', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.103', 'test_macc=0.051', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.496', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.097', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.103', 'test_macc=0.051', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.494', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.132', 'test_macc=0.066', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.493', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.132', 'test_macc=0.066', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.491', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.490', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.489', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.488', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.487', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.487', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.083', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.486', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.083', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.485', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.069', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.074', 'test_macc=0.037', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.485', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.069', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.074', 'test_macc=0.037', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.484', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.069', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.074', 'test_macc=0.037', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.484', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.042', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.044', 'test_macc=0.022', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.483', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.483', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.482', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.481', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.481', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.480', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.480', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.479', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.479', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.478', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.477', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.477', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.476', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.475', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.475', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.474', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.473', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.472', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.471', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.471', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.470', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.469', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.468', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.466', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.465', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.464', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
['[4700,5000]', 'loss=0.463', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.059', 'test_macc=0.029', 'test_g_mean=0.000']
