1 fold training
set gamma = -0.5
['[0,5000]', 'loss=1.036', 'test_acu=0.993', 'test_f1_score=0.080', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=0.750', 'test_spe=0.000', 'test_macc=0.375', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.337', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.389', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.412', 'test_macc=0.206', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.132', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.389', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.412', 'test_macc=0.206', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.091', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.102', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.109', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.111', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.112', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.112', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.112', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.944', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.112', 'test_acu=1.000', 'test_f1_score=0.080', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=0.750', 'test_spe=0.000', 'test_macc=0.375', 'test_g_mean=0.000']
