1 fold training
['[0,5000]', 'loss=0.660', 'test_acu=0.993', 'test_f1_score=0.054', 'test_acc=0.028', 'test_ppr=0.029', 'test_sen=0.500', 'test_spe=0.000', 'test_macc=0.250', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.574', 'test_acu=0.993', 'test_f1_score=0.054', 'test_acc=0.028', 'test_ppr=0.029', 'test_sen=0.500', 'test_spe=0.000', 'test_macc=0.250', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.504', 'test_acu=0.989', 'test_f1_score=0.028', 'test_acc=0.028', 'test_ppr=0.015', 'test_sen=0.250', 'test_spe=0.015', 'test_macc=0.132', 'test_g_mean=0.061']
['[300,5000]', 'loss=0.468', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.097', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.103', 'test_macc=0.051', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.452', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.140', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.444', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.403', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.426', 'test_macc=0.213', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.438', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.486', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.515', 'test_macc=0.257', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.434', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.556', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.588', 'test_macc=0.294', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.430', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.625', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.662', 'test_macc=0.331', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.427', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.639', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.676', 'test_macc=0.338', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.423', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.420', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.417', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.414', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.708', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.410', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.708', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.407', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.722', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.765', 'test_macc=0.382', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.403', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.722', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.765', 'test_macc=0.382', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.399', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.722', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.765', 'test_macc=0.382', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.396', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.722', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.765', 'test_macc=0.382', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.392', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.722', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.765', 'test_macc=0.382', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.388', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.708', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.384', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.379', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.375', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.371', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.694', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.735', 'test_macc=0.368', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.366', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.706', 'test_macc=0.353', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.361', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.356', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.352', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.653', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.691', 'test_macc=0.346', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.346', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.639', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.676', 'test_macc=0.338', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.341', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.639', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.676', 'test_macc=0.338', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.336', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.611', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.647', 'test_macc=0.324', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.331', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.597', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.632', 'test_macc=0.316', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.325', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.583', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.618', 'test_macc=0.309', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.320', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.569', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.603', 'test_macc=0.301', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.314', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.556', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.588', 'test_macc=0.294', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.309', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.514', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.544', 'test_macc=0.272', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.303', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.486', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.515', 'test_macc=0.257', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.298', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.472', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.292', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.444', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.471', 'test_macc=0.235', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.286', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.417', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.441', 'test_macc=0.221', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.280', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.417', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.441', 'test_macc=0.221', 'test_g_mean=0.000']
