1 fold training
['[0,5000]', 'loss=0.083', 'test_acu=0.532', 'test_f1_score=0.056', 'test_acc=0.061', 'test_ppr=0.029', 'test_sen=0.667', 'test_spe=0.034', 'test_macc=0.350', 'test_g_mean=0.151']
['[100,5000]', 'loss=0.079', 'test_acu=0.776', 'test_f1_score=0.057', 'test_acc=0.065', 'test_ppr=0.030', 'test_sen=0.667', 'test_spe=0.039', 'test_macc=0.353', 'test_g_mean=0.161']
['[200,5000]', 'loss=0.079', 'test_acu=0.799', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[300,5000]', 'loss=0.079', 'test_acu=0.814', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[400,5000]', 'loss=0.079', 'test_acu=0.815', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[500,5000]', 'loss=0.079', 'test_acu=0.816', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[600,5000]', 'loss=0.079', 'test_acu=0.825', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[700,5000]', 'loss=0.079', 'test_acu=0.825', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[800,5000]', 'loss=0.079', 'test_acu=0.825', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[900,5000]', 'loss=0.079', 'test_acu=0.825', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[1000,5000]', 'loss=0.079', 'test_acu=0.830', 'test_f1_score=0.048', 'test_acc=0.065', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.044', 'test_macc=0.300', 'test_g_mean=0.156']
['[1100,5000]', 'loss=0.079', 'test_acu=0.831', 'test_f1_score=0.048', 'test_acc=0.070', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.049', 'test_macc=0.302', 'test_g_mean=0.165']
['[1200,5000]', 'loss=0.079', 'test_acu=0.839', 'test_f1_score=0.048', 'test_acc=0.070', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.049', 'test_macc=0.302', 'test_g_mean=0.165']
['[1300,5000]', 'loss=0.079', 'test_acu=0.840', 'test_f1_score=0.048', 'test_acc=0.070', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.049', 'test_macc=0.302', 'test_g_mean=0.165']
['[1400,5000]', 'loss=0.079', 'test_acu=0.840', 'test_f1_score=0.048', 'test_acc=0.070', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.049', 'test_macc=0.302', 'test_g_mean=0.165']
['[1500,5000]', 'loss=0.079', 'test_acu=0.840', 'test_f1_score=0.048', 'test_acc=0.075', 'test_ppr=0.025', 'test_sen=0.556', 'test_spe=0.054', 'test_macc=0.305', 'test_g_mean=0.173']
['[1600,5000]', 'loss=0.079', 'test_acu=0.840', 'test_f1_score=0.039', 'test_acc=0.070', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.054', 'test_macc=0.249', 'test_g_mean=0.154']
['[1700,5000]', 'loss=0.079', 'test_acu=0.844', 'test_f1_score=0.039', 'test_acc=0.070', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.054', 'test_macc=0.249', 'test_g_mean=0.154']
['[1800,5000]', 'loss=0.079', 'test_acu=0.844', 'test_f1_score=0.039', 'test_acc=0.070', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.054', 'test_macc=0.249', 'test_g_mean=0.154']
['[1900,5000]', 'loss=0.079', 'test_acu=0.844', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2000,5000]', 'loss=0.080', 'test_acu=0.844', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2100,5000]', 'loss=0.080', 'test_acu=0.845', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2200,5000]', 'loss=0.080', 'test_acu=0.853', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2300,5000]', 'loss=0.080', 'test_acu=0.853', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2400,5000]', 'loss=0.080', 'test_acu=0.853', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2500,5000]', 'loss=0.080', 'test_acu=0.856', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2600,5000]', 'loss=0.080', 'test_acu=0.856', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[2700,5000]', 'loss=0.080', 'test_acu=0.856', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
