1 fold training
['[0,5000]', 'loss=0.525', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.504', 'test_acu=0.824', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.489', 'test_acu=0.825', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.480', 'test_acu=0.827', 'test_f1_score=0.038', 'test_acc=0.051', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.034', 'test_macc=0.239', 'test_g_mean=0.123']
['[400,5000]', 'loss=0.474', 'test_acu=0.824', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[500,5000]', 'loss=0.470', 'test_acu=0.824', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[600,5000]', 'loss=0.467', 'test_acu=0.824', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[700,5000]', 'loss=0.465', 'test_acu=0.833', 'test_f1_score=0.041', 'test_acc=0.121', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.107', 'test_macc=0.276', 'test_g_mean=0.218']
['[800,5000]', 'loss=0.463', 'test_acu=0.833', 'test_f1_score=0.031', 'test_acc=0.126', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.117', 'test_macc=0.225', 'test_g_mean=0.198']
['[900,5000]', 'loss=0.462', 'test_acu=0.833', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[1000,5000]', 'loss=0.461', 'test_acu=0.831', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[1100,5000]', 'loss=0.460', 'test_acu=0.831', 'test_f1_score=0.033', 'test_acc=0.168', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.161', 'test_macc=0.247', 'test_g_mean=0.232']
['[1200,5000]', 'loss=0.459', 'test_acu=0.824', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
['[1300,5000]', 'loss=0.458', 'test_acu=0.835', 'test_f1_score=0.033', 'test_acc=0.178', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.171', 'test_macc=0.252', 'test_g_mean=0.239']
