1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.839', 'test_acu=0.815', 'test_f1_score=0.056', 'test_acc=0.047', 'test_ppr=0.029', 'test_sen=0.667', 'test_spe=0.020', 'test_macc=0.343', 'test_g_mean=0.114']
['[100,5000]', 'loss=0.315', 'test_acu=0.693', 'test_f1_score=0.056', 'test_acc=0.369', 'test_ppr=0.030', 'test_sen=0.444', 'test_spe=0.366', 'test_macc=0.405', 'test_g_mean=0.403']
['[200,5000]', 'loss=0.098', 'test_acu=0.844', 'test_f1_score=0.043', 'test_acc=0.168', 'test_ppr=0.023', 'test_sen=0.444', 'test_spe=0.156', 'test_macc=0.300', 'test_g_mean=0.263']
['[300,5000]', 'loss=0.075', 'test_acu=0.743', 'test_f1_score=0.042', 'test_acc=0.150', 'test_ppr=0.022', 'test_sen=0.444', 'test_spe=0.137', 'test_macc=0.291', 'test_g_mean=0.246']
['[400,5000]', 'loss=0.078', 'test_acu=0.438', 'test_f1_score=0.087', 'test_acc=0.121', 'test_ppr=0.046', 'test_sen=1.000', 'test_spe=0.083', 'test_macc=0.541', 'test_g_mean=0.288']
['[500,5000]', 'loss=0.079', 'test_acu=0.224', 'test_f1_score=0.083', 'test_acc=0.070', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.029', 'test_macc=0.515', 'test_g_mean=0.171']
['[600,5000]', 'loss=0.080', 'test_acu=0.052', 'test_f1_score=0.081', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.080', 'test_acu=0.521', 'test_f1_score=0.081', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.080', 'test_acu=0.120', 'test_f1_score=0.081', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.080', 'test_acu=0.595', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.080', 'test_acu=0.605', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.080', 'test_acu=0.596', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.080', 'test_acu=0.575', 'test_f1_score=0.081', 'test_acc=0.042', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.080', 'test_acu=0.565', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.080', 'test_acu=0.579', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.080', 'test_acu=0.589', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.080', 'test_acu=0.572', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.080', 'test_acu=0.570', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.080', 'test_acu=0.566', 'test_f1_score=0.000', 'test_acc=0.958', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
