1 fold training
['[0,5000]', 'loss=0.497', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.466', 'test_acu=0.820', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.445', 'test_acu=0.821', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.432', 'test_acu=0.821', 'test_f1_score=0.038', 'test_acc=0.065', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.049', 'test_macc=0.247', 'test_g_mean=0.147']
['[400,5000]', 'loss=0.422', 'test_acu=0.811', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[500,5000]', 'loss=0.414', 'test_acu=0.811', 'test_f1_score=0.040', 'test_acc=0.107', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.093', 'test_macc=0.269', 'test_g_mean=0.203']
['[600,5000]', 'loss=0.407', 'test_acu=0.809', 'test_f1_score=0.041', 'test_acc=0.131', 'test_ppr=0.022', 'test_sen=0.444', 'test_spe=0.117', 'test_macc=0.281', 'test_g_mean=0.228']
['[700,5000]', 'loss=0.401', 'test_acu=0.809', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[800,5000]', 'loss=0.395', 'test_acu=0.809', 'test_f1_score=0.022', 'test_acc=0.168', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.166', 'test_macc=0.194', 'test_g_mean=0.192']
['[900,5000]', 'loss=0.389', 'test_acu=0.806', 'test_f1_score=0.023', 'test_acc=0.210', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.210', 'test_macc=0.216', 'test_g_mean=0.216']
['[1000,5000]', 'loss=0.384', 'test_acu=0.787', 'test_f1_score=0.024', 'test_acc=0.234', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.234', 'test_macc=0.228', 'test_g_mean=0.228']
['[1100,5000]', 'loss=0.378', 'test_acu=0.782', 'test_f1_score=0.025', 'test_acc=0.271', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.273', 'test_macc=0.248', 'test_g_mean=0.246']
['[1200,5000]', 'loss=0.373', 'test_acu=0.779', 'test_f1_score=0.026', 'test_acc=0.313', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.317', 'test_macc=0.270', 'test_g_mean=0.265']
['[1300,5000]', 'loss=0.367', 'test_acu=0.772', 'test_f1_score=0.028', 'test_acc=0.350', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.356', 'test_macc=0.289', 'test_g_mean=0.281']
['[1400,5000]', 'loss=0.362', 'test_acu=0.769', 'test_f1_score=0.029', 'test_acc=0.369', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.376', 'test_macc=0.299', 'test_g_mean=0.289']
['[1500,5000]', 'loss=0.356', 'test_acu=0.768', 'test_f1_score=0.032', 'test_acc=0.435', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.444', 'test_macc=0.333', 'test_g_mean=0.314']
['[1600,5000]', 'loss=0.351', 'test_acu=0.769', 'test_f1_score=0.035', 'test_acc=0.481', 'test_ppr=0.019', 'test_sen=0.222', 'test_spe=0.493', 'test_macc=0.357', 'test_g_mean=0.331']
['[1700,5000]', 'loss=0.345', 'test_acu=0.760', 'test_f1_score=0.035', 'test_acc=0.481', 'test_ppr=0.019', 'test_sen=0.222', 'test_spe=0.493', 'test_macc=0.357', 'test_g_mean=0.331']
['[1800,5000]', 'loss=0.340', 'test_acu=0.754', 'test_f1_score=0.035', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.222', 'test_spe=0.498', 'test_macc=0.360', 'test_g_mean=0.333']
['[1900,5000]', 'loss=0.335', 'test_acu=0.752', 'test_f1_score=0.036', 'test_acc=0.495', 'test_ppr=0.019', 'test_sen=0.222', 'test_spe=0.507', 'test_macc=0.365', 'test_g_mean=0.336']
['[2000,5000]', 'loss=0.329', 'test_acu=0.739', 'test_f1_score=0.038', 'test_acc=0.523', 'test_ppr=0.021', 'test_sen=0.222', 'test_spe=0.537', 'test_macc=0.379', 'test_g_mean=0.345']
['[2100,5000]', 'loss=0.324', 'test_acu=0.743', 'test_f1_score=0.041', 'test_acc=0.565', 'test_ppr=0.023', 'test_sen=0.222', 'test_spe=0.580', 'test_macc=0.401', 'test_g_mean=0.359']
['[2200,5000]', 'loss=0.319', 'test_acu=0.739', 'test_f1_score=0.041', 'test_acc=0.565', 'test_ppr=0.023', 'test_sen=0.222', 'test_spe=0.580', 'test_macc=0.401', 'test_g_mean=0.359']
['[2300,5000]', 'loss=0.314', 'test_acu=0.740', 'test_f1_score=0.044', 'test_acc=0.593', 'test_ppr=0.024', 'test_sen=0.222', 'test_spe=0.610', 'test_macc=0.416', 'test_g_mean=0.368']
['[2400,5000]', 'loss=0.309', 'test_acu=0.739', 'test_f1_score=0.052', 'test_acc=0.659', 'test_ppr=0.029', 'test_sen=0.222', 'test_spe=0.678', 'test_macc=0.450', 'test_g_mean=0.388']
['[2500,5000]', 'loss=0.304', 'test_acu=0.741', 'test_f1_score=0.052', 'test_acc=0.659', 'test_ppr=0.029', 'test_sen=0.222', 'test_spe=0.678', 'test_macc=0.450', 'test_g_mean=0.388']
['[2600,5000]', 'loss=0.299', 'test_acu=0.736', 'test_f1_score=0.052', 'test_acc=0.659', 'test_ppr=0.029', 'test_sen=0.222', 'test_spe=0.678', 'test_macc=0.450', 'test_g_mean=0.388']
['[2700,5000]', 'loss=0.294', 'test_acu=0.738', 'test_f1_score=0.053', 'test_acc=0.664', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.683', 'test_macc=0.453', 'test_g_mean=0.390']
['[2800,5000]', 'loss=0.289', 'test_acu=0.739', 'test_f1_score=0.053', 'test_acc=0.664', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.683', 'test_macc=0.453', 'test_g_mean=0.390']
['[2900,5000]', 'loss=0.284', 'test_acu=0.728', 'test_f1_score=0.053', 'test_acc=0.664', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.683', 'test_macc=0.453', 'test_g_mean=0.390']
['[3000,5000]', 'loss=0.280', 'test_acu=0.727', 'test_f1_score=0.053', 'test_acc=0.664', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.683', 'test_macc=0.453', 'test_g_mean=0.390']
