1 fold training
['[0,5000]', 'loss=0.514', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.486', 'test_acu=0.822', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.468', 'test_acu=0.824', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.455', 'test_acu=0.825', 'test_f1_score=0.038', 'test_acc=0.051', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.034', 'test_macc=0.239', 'test_g_mean=0.123']
['[400,5000]', 'loss=0.447', 'test_acu=0.821', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[500,5000]', 'loss=0.442', 'test_acu=0.820', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[600,5000]', 'loss=0.437', 'test_acu=0.820', 'test_f1_score=0.040', 'test_acc=0.093', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.078', 'test_macc=0.261', 'test_g_mean=0.186']
['[700,5000]', 'loss=0.434', 'test_acu=0.825', 'test_f1_score=0.041', 'test_acc=0.126', 'test_ppr=0.022', 'test_sen=0.444', 'test_spe=0.112', 'test_macc=0.278', 'test_g_mean=0.223']
['[800,5000]', 'loss=0.431', 'test_acu=0.828', 'test_f1_score=0.031', 'test_acc=0.131', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.122', 'test_macc=0.228', 'test_g_mean=0.202']
['[900,5000]', 'loss=0.429', 'test_acu=0.827', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[1000,5000]', 'loss=0.426', 'test_acu=0.821', 'test_f1_score=0.033', 'test_acc=0.168', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.161', 'test_macc=0.247', 'test_g_mean=0.232']
['[1100,5000]', 'loss=0.424', 'test_acu=0.820', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
['[1200,5000]', 'loss=0.422', 'test_acu=0.817', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
['[1300,5000]', 'loss=0.419', 'test_acu=0.816', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
['[1400,5000]', 'loss=0.417', 'test_acu=0.811', 'test_f1_score=0.035', 'test_acc=0.220', 'test_ppr=0.018', 'test_sen=0.333', 'test_spe=0.215', 'test_macc=0.274', 'test_g_mean=0.267']
['[1500,5000]', 'loss=0.415', 'test_acu=0.811', 'test_f1_score=0.035', 'test_acc=0.220', 'test_ppr=0.018', 'test_sen=0.333', 'test_spe=0.215', 'test_macc=0.274', 'test_g_mean=0.267']
['[1600,5000]', 'loss=0.413', 'test_acu=0.810', 'test_f1_score=0.035', 'test_acc=0.220', 'test_ppr=0.018', 'test_sen=0.333', 'test_spe=0.215', 'test_macc=0.274', 'test_g_mean=0.267']
['[1700,5000]', 'loss=0.411', 'test_acu=0.807', 'test_f1_score=0.037', 'test_acc=0.262', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.259', 'test_macc=0.296', 'test_g_mean=0.294']
['[1800,5000]', 'loss=0.409', 'test_acu=0.801', 'test_f1_score=0.037', 'test_acc=0.266', 'test_ppr=0.019', 'test_sen=0.333', 'test_spe=0.263', 'test_macc=0.298', 'test_g_mean=0.296']
['[1900,5000]', 'loss=0.407', 'test_acu=0.793', 'test_f1_score=0.038', 'test_acc=0.285', 'test_ppr=0.020', 'test_sen=0.333', 'test_spe=0.283', 'test_macc=0.308', 'test_g_mean=0.307']
['[2000,5000]', 'loss=0.405', 'test_acu=0.792', 'test_f1_score=0.025', 'test_acc=0.285', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.288', 'test_macc=0.255', 'test_g_mean=0.253']
['[2100,5000]', 'loss=0.403', 'test_acu=0.789', 'test_f1_score=0.025', 'test_acc=0.285', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.288', 'test_macc=0.255', 'test_g_mean=0.253']
['[2200,5000]', 'loss=0.401', 'test_acu=0.784', 'test_f1_score=0.027', 'test_acc=0.318', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.322', 'test_macc=0.272', 'test_g_mean=0.267']
['[2300,5000]', 'loss=0.400', 'test_acu=0.773', 'test_f1_score=0.029', 'test_acc=0.383', 'test_ppr=0.016', 'test_sen=0.222', 'test_spe=0.390', 'test_macc=0.306', 'test_g_mean=0.294']
['[2400,5000]', 'loss=0.398', 'test_acu=0.773', 'test_f1_score=0.030', 'test_acc=0.388', 'test_ppr=0.016', 'test_sen=0.222', 'test_spe=0.395', 'test_macc=0.309', 'test_g_mean=0.296']
['[2500,5000]', 'loss=0.396', 'test_acu=0.751', 'test_f1_score=0.031', 'test_acc=0.411', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.420', 'test_macc=0.321', 'test_g_mean=0.305']
['[2600,5000]', 'loss=0.394', 'test_acu=0.741', 'test_f1_score=0.031', 'test_acc=0.411', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.420', 'test_macc=0.321', 'test_g_mean=0.305']
['[2700,5000]', 'loss=0.393', 'test_acu=0.736', 'test_f1_score=0.031', 'test_acc=0.411', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.420', 'test_macc=0.321', 'test_g_mean=0.305']
['[2800,5000]', 'loss=0.391', 'test_acu=0.733', 'test_f1_score=0.031', 'test_acc=0.411', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.420', 'test_macc=0.321', 'test_g_mean=0.305']
['[2900,5000]', 'loss=0.389', 'test_acu=0.733', 'test_f1_score=0.031', 'test_acc=0.421', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.429', 'test_macc=0.326', 'test_g_mean=0.309']
['[3000,5000]', 'loss=0.388', 'test_acu=0.733', 'test_f1_score=0.033', 'test_acc=0.458', 'test_ppr=0.018', 'test_sen=0.222', 'test_spe=0.468', 'test_macc=0.345', 'test_g_mean=0.323']
['[3100,5000]', 'loss=0.386', 'test_acu=0.727', 'test_f1_score=0.034', 'test_acc=0.467', 'test_ppr=0.018', 'test_sen=0.222', 'test_spe=0.478', 'test_macc=0.350', 'test_g_mean=0.326']
['[3200,5000]', 'loss=0.384', 'test_acu=0.720', 'test_f1_score=0.034', 'test_acc=0.467', 'test_ppr=0.018', 'test_sen=0.222', 'test_spe=0.478', 'test_macc=0.350', 'test_g_mean=0.326']
