1 fold training
['[0,5000]', 'loss=0.488', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.456', 'test_acu=0.822', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.434', 'test_acu=0.822', 'test_f1_score=0.037', 'test_acc=0.037', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.020', 'test_macc=0.232', 'test_g_mean=0.093']
['[300,5000]', 'loss=0.420', 'test_acu=0.822', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[400,5000]', 'loss=0.409', 'test_acu=0.813', 'test_f1_score=0.039', 'test_acc=0.089', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.073', 'test_macc=0.259', 'test_g_mean=0.180']
['[500,5000]', 'loss=0.399', 'test_acu=0.813', 'test_f1_score=0.040', 'test_acc=0.112', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.098', 'test_macc=0.271', 'test_g_mean=0.208']
['[600,5000]', 'loss=0.391', 'test_acu=0.811', 'test_f1_score=0.031', 'test_acc=0.136', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.127', 'test_macc=0.230', 'test_g_mean=0.206']
['[700,5000]', 'loss=0.384', 'test_acu=0.812', 'test_f1_score=0.022', 'test_acc=0.173', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.171', 'test_macc=0.196', 'test_g_mean=0.195']
['[800,5000]', 'loss=0.377', 'test_acu=0.811', 'test_f1_score=0.024', 'test_acc=0.229', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.229', 'test_macc=0.226', 'test_g_mean=0.226']
['[900,5000]', 'loss=0.370', 'test_acu=0.810', 'test_f1_score=0.024', 'test_acc=0.243', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.244', 'test_macc=0.233', 'test_g_mean=0.233']
['[1000,5000]', 'loss=0.363', 'test_acu=0.805', 'test_f1_score=0.026', 'test_acc=0.313', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.317', 'test_macc=0.270', 'test_g_mean=0.265']
['[1100,5000]', 'loss=0.356', 'test_acu=0.790', 'test_f1_score=0.027', 'test_acc=0.332', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.337', 'test_macc=0.279', 'test_g_mean=0.273']
['[1200,5000]', 'loss=0.350', 'test_acu=0.788', 'test_f1_score=0.028', 'test_acc=0.346', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.351', 'test_macc=0.287', 'test_g_mean=0.279']
['[1300,5000]', 'loss=0.343', 'test_acu=0.784', 'test_f1_score=0.029', 'test_acc=0.383', 'test_ppr=0.016', 'test_sen=0.222', 'test_spe=0.390', 'test_macc=0.306', 'test_g_mean=0.294']
['[1400,5000]', 'loss=0.337', 'test_acu=0.779', 'test_f1_score=0.035', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.222', 'test_spe=0.498', 'test_macc=0.360', 'test_g_mean=0.333']
['[1500,5000]', 'loss=0.330', 'test_acu=0.776', 'test_f1_score=0.037', 'test_acc=0.514', 'test_ppr=0.020', 'test_sen=0.222', 'test_spe=0.527', 'test_macc=0.375', 'test_g_mean=0.342']
['[1600,5000]', 'loss=0.324', 'test_acu=0.774', 'test_f1_score=0.037', 'test_acc=0.514', 'test_ppr=0.020', 'test_sen=0.222', 'test_spe=0.527', 'test_macc=0.375', 'test_g_mean=0.342']
['[1700,5000]', 'loss=0.317', 'test_acu=0.765', 'test_f1_score=0.040', 'test_acc=0.547', 'test_ppr=0.022', 'test_sen=0.222', 'test_spe=0.561', 'test_macc=0.392', 'test_g_mean=0.353']
['[1800,5000]', 'loss=0.311', 'test_acu=0.761', 'test_f1_score=0.040', 'test_acc=0.556', 'test_ppr=0.022', 'test_sen=0.222', 'test_spe=0.571', 'test_macc=0.396', 'test_g_mean=0.356']
['[1900,5000]', 'loss=0.305', 'test_acu=0.760', 'test_f1_score=0.043', 'test_acc=0.589', 'test_ppr=0.024', 'test_sen=0.222', 'test_spe=0.605', 'test_macc=0.414', 'test_g_mean=0.367']
['[2000,5000]', 'loss=0.299', 'test_acu=0.754', 'test_f1_score=0.044', 'test_acc=0.598', 'test_ppr=0.025', 'test_sen=0.222', 'test_spe=0.615', 'test_macc=0.418', 'test_g_mean=0.370']
['[2100,5000]', 'loss=0.293', 'test_acu=0.750', 'test_f1_score=0.044', 'test_acc=0.598', 'test_ppr=0.025', 'test_sen=0.222', 'test_spe=0.615', 'test_macc=0.418', 'test_g_mean=0.370']
['[2200,5000]', 'loss=0.287', 'test_acu=0.744', 'test_f1_score=0.044', 'test_acc=0.598', 'test_ppr=0.025', 'test_sen=0.222', 'test_spe=0.615', 'test_macc=0.418', 'test_g_mean=0.370']
['[2300,5000]', 'loss=0.282', 'test_acu=0.740', 'test_f1_score=0.053', 'test_acc=0.664', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.683', 'test_macc=0.453', 'test_g_mean=0.390']
['[2400,5000]', 'loss=0.276', 'test_acu=0.727', 'test_f1_score=0.053', 'test_acc=0.668', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.688', 'test_macc=0.455', 'test_g_mean=0.391']
['[2500,5000]', 'loss=0.271', 'test_acu=0.720', 'test_f1_score=0.053', 'test_acc=0.668', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.688', 'test_macc=0.455', 'test_g_mean=0.391']
['[2600,5000]', 'loss=0.266', 'test_acu=0.706', 'test_f1_score=0.053', 'test_acc=0.668', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.688', 'test_macc=0.455', 'test_g_mean=0.391']
['[2700,5000]', 'loss=0.261', 'test_acu=0.692', 'test_f1_score=0.053', 'test_acc=0.668', 'test_ppr=0.030', 'test_sen=0.222', 'test_spe=0.688', 'test_macc=0.455', 'test_g_mean=0.391']
['[2800,5000]', 'loss=0.256', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.673', 'test_ppr=0.031', 'test_sen=0.222', 'test_spe=0.693', 'test_macc=0.457', 'test_g_mean=0.392']
['[2900,5000]', 'loss=0.251', 'test_acu=0.665', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3000,5000]', 'loss=0.247', 'test_acu=0.651', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3100,5000]', 'loss=0.243', 'test_acu=0.633', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3200,5000]', 'loss=0.238', 'test_acu=0.625', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3300,5000]', 'loss=0.234', 'test_acu=0.590', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3400,5000]', 'loss=0.230', 'test_acu=0.579', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3500,5000]', 'loss=0.227', 'test_acu=0.576', 'test_f1_score=0.056', 'test_acc=0.682', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.702', 'test_macc=0.462', 'test_g_mean=0.395']
['[3600,5000]', 'loss=0.223', 'test_acu=0.564', 'test_f1_score=0.056', 'test_acc=0.687', 'test_ppr=0.032', 'test_sen=0.222', 'test_spe=0.707', 'test_macc=0.465', 'test_g_mean=0.396']
['[3700,5000]', 'loss=0.220', 'test_acu=0.544', 'test_f1_score=0.058', 'test_acc=0.696', 'test_ppr=0.033', 'test_sen=0.222', 'test_spe=0.717', 'test_macc=0.470', 'test_g_mean=0.399']
