1 fold training
['[0,5000]', 'loss=0.521', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.495', 'test_acu=0.822', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.478', 'test_acu=0.824', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.467', 'test_acu=0.825', 'test_f1_score=0.038', 'test_acc=0.056', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.039', 'test_macc=0.242', 'test_g_mean=0.132']
['[400,5000]', 'loss=0.459', 'test_acu=0.825', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[500,5000]', 'loss=0.454', 'test_acu=0.826', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[600,5000]', 'loss=0.451', 'test_acu=0.825', 'test_f1_score=0.040', 'test_acc=0.112', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.098', 'test_macc=0.271', 'test_g_mean=0.208']
['[700,5000]', 'loss=0.448', 'test_acu=0.825', 'test_f1_score=0.031', 'test_acc=0.126', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.117', 'test_macc=0.225', 'test_g_mean=0.198']
['[800,5000]', 'loss=0.446', 'test_acu=0.825', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[900,5000]', 'loss=0.443', 'test_acu=0.824', 'test_f1_score=0.021', 'test_acc=0.140', 'test_ppr=0.011', 'test_sen=0.222', 'test_spe=0.137', 'test_macc=0.179', 'test_g_mean=0.174']
['[1000,5000]', 'loss=0.442', 'test_acu=0.824', 'test_f1_score=0.022', 'test_acc=0.168', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.166', 'test_macc=0.194', 'test_g_mean=0.192']
['[1100,5000]', 'loss=0.440', 'test_acu=0.830', 'test_f1_score=0.022', 'test_acc=0.173', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.171', 'test_macc=0.196', 'test_g_mean=0.195']
['[1200,5000]', 'loss=0.438', 'test_acu=0.828', 'test_f1_score=0.022', 'test_acc=0.178', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.176', 'test_macc=0.199', 'test_g_mean=0.198']
['[1300,5000]', 'loss=0.436', 'test_acu=0.829', 'test_f1_score=0.024', 'test_acc=0.224', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.224', 'test_macc=0.223', 'test_g_mean=0.223']
['[1400,5000]', 'loss=0.434', 'test_acu=0.821', 'test_f1_score=0.024', 'test_acc=0.224', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.224', 'test_macc=0.223', 'test_g_mean=0.223']
['[1500,5000]', 'loss=0.433', 'test_acu=0.820', 'test_f1_score=0.024', 'test_acc=0.229', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.229', 'test_macc=0.226', 'test_g_mean=0.226']
['[1600,5000]', 'loss=0.431', 'test_acu=0.817', 'test_f1_score=0.025', 'test_acc=0.266', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.268', 'test_macc=0.245', 'test_g_mean=0.244']
['[1700,5000]', 'loss=0.429', 'test_acu=0.817', 'test_f1_score=0.025', 'test_acc=0.276', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.278', 'test_macc=0.250', 'test_g_mean=0.249']
['[1800,5000]', 'loss=0.427', 'test_acu=0.812', 'test_f1_score=0.025', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.283', 'test_macc=0.253', 'test_g_mean=0.251']
