1 fold training
['[0,5000]', 'loss=0.516', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.491', 'test_acu=0.822', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.474', 'test_acu=0.822', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.462', 'test_acu=0.825', 'test_f1_score=0.038', 'test_acc=0.051', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.034', 'test_macc=0.239', 'test_g_mean=0.123']
['[400,5000]', 'loss=0.455', 'test_acu=0.825', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[500,5000]', 'loss=0.450', 'test_acu=0.821', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[600,5000]', 'loss=0.446', 'test_acu=0.821', 'test_f1_score=0.040', 'test_acc=0.093', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.078', 'test_macc=0.261', 'test_g_mean=0.186']
['[700,5000]', 'loss=0.443', 'test_acu=0.820', 'test_f1_score=0.040', 'test_acc=0.112', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.098', 'test_macc=0.271', 'test_g_mean=0.208']
['[800,5000]', 'loss=0.441', 'test_acu=0.825', 'test_f1_score=0.031', 'test_acc=0.131', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.122', 'test_macc=0.228', 'test_g_mean=0.202']
['[900,5000]', 'loss=0.439', 'test_acu=0.824', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[1000,5000]', 'loss=0.437', 'test_acu=0.825', 'test_f1_score=0.032', 'test_acc=0.164', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.156', 'test_macc=0.245', 'test_g_mean=0.228']
['[1100,5000]', 'loss=0.435', 'test_acu=0.827', 'test_f1_score=0.033', 'test_acc=0.168', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.161', 'test_macc=0.247', 'test_g_mean=0.232']
['[1200,5000]', 'loss=0.433', 'test_acu=0.820', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
['[1300,5000]', 'loss=0.432', 'test_acu=0.817', 'test_f1_score=0.033', 'test_acc=0.173', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.166', 'test_macc=0.250', 'test_g_mean=0.235']
