1 fold training
['[0,5000]', 'loss=0.513', 'test_acu=0.815', 'test_f1_score=0.072', 'test_acc=0.042', 'test_ppr=0.038', 'test_sen=0.889', 'test_spe=0.005', 'test_macc=0.447', 'test_g_mean=0.066']
['[100,5000]', 'loss=0.486', 'test_acu=0.823', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[200,5000]', 'loss=0.468', 'test_acu=0.824', 'test_f1_score=0.047', 'test_acc=0.042', 'test_ppr=0.024', 'test_sen=0.556', 'test_spe=0.020', 'test_macc=0.288', 'test_g_mean=0.104']
['[300,5000]', 'loss=0.456', 'test_acu=0.825', 'test_f1_score=0.038', 'test_acc=0.056', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.039', 'test_macc=0.242', 'test_g_mean=0.132']
['[400,5000]', 'loss=0.448', 'test_acu=0.826', 'test_f1_score=0.039', 'test_acc=0.075', 'test_ppr=0.020', 'test_sen=0.444', 'test_spe=0.059', 'test_macc=0.251', 'test_g_mean=0.161']
['[500,5000]', 'loss=0.443', 'test_acu=0.825', 'test_f1_score=0.039', 'test_acc=0.084', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.068', 'test_macc=0.256', 'test_g_mean=0.174']
['[600,5000]', 'loss=0.439', 'test_acu=0.825', 'test_f1_score=0.040', 'test_acc=0.112', 'test_ppr=0.021', 'test_sen=0.444', 'test_spe=0.098', 'test_macc=0.271', 'test_g_mean=0.208']
['[700,5000]', 'loss=0.435', 'test_acu=0.825', 'test_f1_score=0.031', 'test_acc=0.126', 'test_ppr=0.016', 'test_sen=0.333', 'test_spe=0.117', 'test_macc=0.225', 'test_g_mean=0.198']
['[800,5000]', 'loss=0.432', 'test_acu=0.825', 'test_f1_score=0.032', 'test_acc=0.140', 'test_ppr=0.017', 'test_sen=0.333', 'test_spe=0.132', 'test_macc=0.233', 'test_g_mean=0.210']
['[900,5000]', 'loss=0.429', 'test_acu=0.825', 'test_f1_score=0.021', 'test_acc=0.145', 'test_ppr=0.011', 'test_sen=0.222', 'test_spe=0.141', 'test_macc=0.182', 'test_g_mean=0.177']
['[1000,5000]', 'loss=0.427', 'test_acu=0.825', 'test_f1_score=0.022', 'test_acc=0.168', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.166', 'test_macc=0.194', 'test_g_mean=0.192']
['[1100,5000]', 'loss=0.424', 'test_acu=0.824', 'test_f1_score=0.022', 'test_acc=0.182', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.180', 'test_macc=0.201', 'test_g_mean=0.200']
['[1200,5000]', 'loss=0.421', 'test_acu=0.824', 'test_f1_score=0.022', 'test_acc=0.187', 'test_ppr=0.012', 'test_sen=0.222', 'test_spe=0.185', 'test_macc=0.204', 'test_g_mean=0.203']
['[1300,5000]', 'loss=0.419', 'test_acu=0.823', 'test_f1_score=0.024', 'test_acc=0.234', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.234', 'test_macc=0.228', 'test_g_mean=0.228']
['[1400,5000]', 'loss=0.416', 'test_acu=0.824', 'test_f1_score=0.025', 'test_acc=0.257', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.259', 'test_macc=0.240', 'test_g_mean=0.240']
['[1500,5000]', 'loss=0.414', 'test_acu=0.823', 'test_f1_score=0.025', 'test_acc=0.266', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.268', 'test_macc=0.245', 'test_g_mean=0.244']
['[1600,5000]', 'loss=0.411', 'test_acu=0.822', 'test_f1_score=0.025', 'test_acc=0.266', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.268', 'test_macc=0.245', 'test_g_mean=0.244']
['[1700,5000]', 'loss=0.409', 'test_acu=0.813', 'test_f1_score=0.025', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.222', 'test_spe=0.283', 'test_macc=0.253', 'test_g_mean=0.251']
['[1800,5000]', 'loss=0.406', 'test_acu=0.808', 'test_f1_score=0.027', 'test_acc=0.322', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.327', 'test_macc=0.275', 'test_g_mean=0.269']
['[1900,5000]', 'loss=0.404', 'test_acu=0.812', 'test_f1_score=0.027', 'test_acc=0.327', 'test_ppr=0.014', 'test_sen=0.222', 'test_spe=0.332', 'test_macc=0.277', 'test_g_mean=0.272']
['[2000,5000]', 'loss=0.401', 'test_acu=0.807', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2100,5000]', 'loss=0.399', 'test_acu=0.800', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2200,5000]', 'loss=0.396', 'test_acu=0.793', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2300,5000]', 'loss=0.394', 'test_acu=0.790', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2400,5000]', 'loss=0.392', 'test_acu=0.784', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2500,5000]', 'loss=0.389', 'test_acu=0.776', 'test_f1_score=0.028', 'test_acc=0.341', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.346', 'test_macc=0.284', 'test_g_mean=0.277']
['[2600,5000]', 'loss=0.387', 'test_acu=0.776', 'test_f1_score=0.028', 'test_acc=0.350', 'test_ppr=0.015', 'test_sen=0.222', 'test_spe=0.356', 'test_macc=0.289', 'test_g_mean=0.281']
['[2700,5000]', 'loss=0.384', 'test_acu=0.772', 'test_f1_score=0.031', 'test_acc=0.421', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.429', 'test_macc=0.326', 'test_g_mean=0.309']
['[2800,5000]', 'loss=0.382', 'test_acu=0.773', 'test_f1_score=0.031', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.424', 'test_macc=0.323', 'test_g_mean=0.307']
['[2900,5000]', 'loss=0.380', 'test_acu=0.769', 'test_f1_score=0.032', 'test_acc=0.430', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.439', 'test_macc=0.331', 'test_g_mean=0.312']
['[3000,5000]', 'loss=0.377', 'test_acu=0.757', 'test_f1_score=0.032', 'test_acc=0.430', 'test_ppr=0.017', 'test_sen=0.222', 'test_spe=0.439', 'test_macc=0.331', 'test_g_mean=0.312']
['[3100,5000]', 'loss=0.375', 'test_acu=0.754', 'test_f1_score=0.048', 'test_acc=0.444', 'test_ppr=0.026', 'test_sen=0.333', 'test_spe=0.449', 'test_macc=0.391', 'test_g_mean=0.387']
['[3200,5000]', 'loss=0.373', 'test_acu=0.749', 'test_f1_score=0.048', 'test_acc=0.444', 'test_ppr=0.026', 'test_sen=0.333', 'test_spe=0.449', 'test_macc=0.391', 'test_g_mean=0.387']
['[3300,5000]', 'loss=0.371', 'test_acu=0.744', 'test_f1_score=0.052', 'test_acc=0.491', 'test_ppr=0.028', 'test_sen=0.333', 'test_spe=0.498', 'test_macc=0.415', 'test_g_mean=0.407']
['[3400,5000]', 'loss=0.368', 'test_acu=0.741', 'test_f1_score=0.052', 'test_acc=0.491', 'test_ppr=0.028', 'test_sen=0.333', 'test_spe=0.498', 'test_macc=0.415', 'test_g_mean=0.407']
['[3500,5000]', 'loss=0.366', 'test_acu=0.736', 'test_f1_score=0.055', 'test_acc=0.514', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.522', 'test_macc=0.428', 'test_g_mean=0.417']
['[3600,5000]', 'loss=0.364', 'test_acu=0.732', 'test_f1_score=0.055', 'test_acc=0.514', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.522', 'test_macc=0.428', 'test_g_mean=0.417']
['[3700,5000]', 'loss=0.362', 'test_acu=0.725', 'test_f1_score=0.055', 'test_acc=0.514', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.522', 'test_macc=0.428', 'test_g_mean=0.417']
['[3800,5000]', 'loss=0.360', 'test_acu=0.721', 'test_f1_score=0.055', 'test_acc=0.514', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.522', 'test_macc=0.428', 'test_g_mean=0.417']
['[3900,5000]', 'loss=0.358', 'test_acu=0.719', 'test_f1_score=0.055', 'test_acc=0.514', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.522', 'test_macc=0.428', 'test_g_mean=0.417']
['[4000,5000]', 'loss=0.356', 'test_acu=0.704', 'test_f1_score=0.055', 'test_acc=0.519', 'test_ppr=0.030', 'test_sen=0.333', 'test_spe=0.527', 'test_macc=0.430', 'test_g_mean=0.419']
['[4100,5000]', 'loss=0.354', 'test_acu=0.694', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4200,5000]', 'loss=0.352', 'test_acu=0.671', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4300,5000]', 'loss=0.350', 'test_acu=0.659', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4400,5000]', 'loss=0.348', 'test_acu=0.649', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4500,5000]', 'loss=0.347', 'test_acu=0.642', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4600,5000]', 'loss=0.345', 'test_acu=0.632', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4700,5000]', 'loss=0.343', 'test_acu=0.625', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4800,5000]', 'loss=0.341', 'test_acu=0.618', 'test_f1_score=0.058', 'test_acc=0.542', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.551', 'test_macc=0.442', 'test_g_mean=0.429']
['[4900,5000]', 'loss=0.340', 'test_acu=0.612', 'test_f1_score=0.058', 'test_acc=0.547', 'test_ppr=0.032', 'test_sen=0.333', 'test_spe=0.556', 'test_macc=0.445', 'test_g_mean=0.431']
2 fold training
['[0,5000]', 'loss=0.506', 'test_acu=0.654', 'test_f1_score=0.075', 'test_acc=0.070', 'test_ppr=0.039', 'test_sen=0.889', 'test_spe=0.034', 'test_macc=0.462', 'test_g_mean=0.175']
