1 fold training
['[0,5000]', 'loss=0.717', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.987', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.602', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.987', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.548', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.987', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.524', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.987', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.514', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.987', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.509', 'test_acu=0.005', 'test_f1_score=0.250', 'test_acc=0.987', 'test_ppr=0.500', 'test_sen=0.167', 'test_spe=0.998', 'test_macc=0.582', 'test_g_mean=0.408']
['[600,5000]', 'loss=0.505', 'test_acu=0.425', 'test_f1_score=0.073', 'test_acc=0.886', 'test_ppr=0.041', 'test_sen=0.333', 'test_spe=0.893', 'test_macc=0.613', 'test_g_mean=0.546']
['[700,5000]', 'loss=0.503', 'test_acu=0.997', 'test_f1_score=0.009', 'test_acc=0.007', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.002', 'test_macc=0.168', 'test_g_mean=0.027']
['[800,5000]', 'loss=0.501', 'test_acu=0.998', 'test_f1_score=0.009', 'test_acc=0.007', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.002', 'test_macc=0.168', 'test_g_mean=0.027']
['[900,5000]', 'loss=0.500', 'test_acu=0.998', 'test_f1_score=0.009', 'test_acc=0.007', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.002', 'test_macc=0.168', 'test_g_mean=0.027']
['[1000,5000]', 'loss=0.499', 'test_acu=0.999', 'test_f1_score=0.004', 'test_acc=0.004', 'test_ppr=0.002', 'test_sen=0.167', 'test_spe=0.002', 'test_macc=0.084', 'test_g_mean=0.019']
['[1100,5000]', 'loss=0.498', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.002', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.002', 'test_macc=0.001', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.497', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.497', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.496', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.496', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
