1 fold training
['[0,5000]', 'loss=0.639', 'test_acu=0.015', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.594', 'test_acu=0.016', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.563', 'test_acu=0.059', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.542', 'test_acu=0.126', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.526', 'test_acu=0.676', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.991', 'test_macc=0.495', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.513', 'test_acu=0.906', 'test_f1_score=0.000', 'test_acc=0.954', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.987', 'test_macc=0.494', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.499', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.951', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.984', 'test_macc=0.492', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.484', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.951', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.984', 'test_macc=0.492', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.468', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.888', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.918', 'test_macc=0.459', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.450', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.052', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.053', 'test_macc=0.027', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.430', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.024', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.025', 'test_macc=0.013', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.411', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.024', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.025', 'test_macc=0.013', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.392', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.018', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.019', 'test_macc=0.009', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.374', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.009', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.009', 'test_macc=0.005', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.358', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.343', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.329', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.316', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.304', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.292', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.281', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.000', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.000', 'test_macc=0.000', 'test_g_mean=0.000']
