1 fold training
['[0,5000]', 'loss=0.711', 'test_acu=0.015', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.533', 'test_acu=0.025', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.485', 'test_acu=0.611', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.463', 'test_acu=0.932', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.991', 'test_macc=0.495', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.446', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.954', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.987', 'test_macc=0.494', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.430', 'test_acu=0.979', 'test_f1_score=0.000', 'test_acc=0.164', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.170', 'test_macc=0.085', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.411', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.146', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.151', 'test_macc=0.075', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.389', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.143', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.148', 'test_macc=0.074', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.364', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.140', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.145', 'test_macc=0.072', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.338', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.134', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.138', 'test_macc=0.069', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.313', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.119', 'test_macc=0.060', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.289', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.061', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.063', 'test_macc=0.031', 'test_g_mean=0.000']
