1 fold training
['[0,5000]', 'loss=0.722', 'test_acu=0.015', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.528', 'test_acu=0.027', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.481', 'test_acu=0.681', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.459', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.991', 'test_macc=0.495', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.442', 'test_acu=0.957', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.991', 'test_macc=0.495', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.425', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.167', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.173', 'test_macc=0.086', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.405', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.149', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.154', 'test_macc=0.077', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.382', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.143', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.148', 'test_macc=0.074', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.357', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.140', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.145', 'test_macc=0.072', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.331', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.140', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.145', 'test_macc=0.072', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.306', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.131', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.135', 'test_macc=0.068', 'test_g_mean=0.000']
