1 fold training
['[0,5000]', 'loss=0.695', 'test_acu=0.015', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.539', 'test_acu=0.023', 'test_f1_score=0.000', 'test_acc=0.967', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.492', 'test_acu=0.611', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.471', 'test_acu=0.935', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.991', 'test_macc=0.495', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.455', 'test_acu=0.965', 'test_f1_score=0.000', 'test_acc=0.954', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.987', 'test_macc=0.494', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.439', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.164', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.170', 'test_macc=0.085', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.421', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.146', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.151', 'test_macc=0.075', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.401', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.140', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.145', 'test_macc=0.072', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.377', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.134', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.138', 'test_macc=0.069', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.352', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.097', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.101', 'test_macc=0.050', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.326', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.040', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.041', 'test_macc=0.020', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.303', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.024', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.025', 'test_macc=0.013', 'test_g_mean=0.000']
