1 fold training
['[0,5000]', 'loss=0.769', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.708', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.662', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.628', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.599', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.572', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.546', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.522', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[800,5000]', 'loss=0.498', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[900,5000]', 'loss=0.476', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1000,5000]', 'loss=0.455', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1100,5000]', 'loss=0.437', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1200,5000]', 'loss=0.420', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1300,5000]', 'loss=0.405', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1400,5000]', 'loss=0.392', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
