1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.978', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.210', 'test_acu=0.000', 'test_f1_score=0.135', 'test_acc=0.801', 'test_ppr=0.072', 'test_sen=1.000', 'test_spe=0.798', 'test_macc=0.899', 'test_g_mean=0.893']
['[200,5000]', 'loss=0.045', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.025', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.009', 'test_macc=0.505', 'test_g_mean=0.097']
['[300,5000]', 'loss=0.020', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.021', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.024', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.025', 'test_acu=0.000', 'test_f1_score=0.031', 'test_acc=0.016', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
