1 fold training
['[0,5000]', 'loss=0.764', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.578', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.535', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.520', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[400,5000]', 'loss=0.512', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[500,5000]', 'loss=0.507', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[600,5000]', 'loss=0.503', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[700,5000]', 'loss=0.499', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[800,5000]', 'loss=0.495', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[900,5000]', 'loss=0.488', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[1000,5000]', 'loss=0.477', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
