1 fold training
['[0,5000]', 'loss=0.713', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.561', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.519', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[300,5000]', 'loss=0.505', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[400,5000]', 'loss=0.497', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[500,5000]', 'loss=0.492', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[600,5000]', 'loss=0.489', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[700,5000]', 'loss=0.487', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[800,5000]', 'loss=0.484', 'test_acu=0.000', 'test_f1_score=0.385', 'test_acc=0.950', 'test_ppr=0.238', 'test_sen=1.000', 'test_spe=0.950', 'test_macc=0.975', 'test_g_mean=0.974']
['[900,5000]', 'loss=0.482', 'test_acu=0.000', 'test_f1_score=0.303', 'test_acc=0.929', 'test_ppr=0.179', 'test_sen=1.000', 'test_spe=0.927', 'test_macc=0.964', 'test_g_mean=0.963']
['[1000,5000]', 'loss=0.481', 'test_acu=0.000', 'test_f1_score=0.278', 'test_acc=0.919', 'test_ppr=0.161', 'test_sen=1.000', 'test_spe=0.918', 'test_macc=0.959', 'test_g_mean=0.958']
['[1100,5000]', 'loss=0.479', 'test_acu=0.000', 'test_f1_score=0.256', 'test_acc=0.910', 'test_ppr=0.147', 'test_sen=1.000', 'test_spe=0.909', 'test_macc=0.954', 'test_g_mean=0.953']
['[1200,5000]', 'loss=0.477', 'test_acu=0.000', 'test_f1_score=0.256', 'test_acc=0.910', 'test_ppr=0.147', 'test_sen=1.000', 'test_spe=0.909', 'test_macc=0.954', 'test_g_mean=0.953']
['[1300,5000]', 'loss=0.474', 'test_acu=0.000', 'test_f1_score=0.250', 'test_acc=0.907', 'test_ppr=0.143', 'test_sen=1.000', 'test_spe=0.905', 'test_macc=0.953', 'test_g_mean=0.952']
['[1400,5000]', 'loss=0.471', 'test_acu=0.000', 'test_f1_score=0.244', 'test_acc=0.904', 'test_ppr=0.139', 'test_sen=1.000', 'test_spe=0.902', 'test_macc=0.951', 'test_g_mean=0.950']
['[1500,5000]', 'loss=0.467', 'test_acu=0.000', 'test_f1_score=0.250', 'test_acc=0.907', 'test_ppr=0.143', 'test_sen=1.000', 'test_spe=0.905', 'test_macc=0.953', 'test_g_mean=0.952']
['[1600,5000]', 'loss=0.461', 'test_acu=0.000', 'test_f1_score=0.286', 'test_acc=0.922', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.921', 'test_macc=0.961', 'test_g_mean=0.960']
['[1700,5000]', 'loss=0.453', 'test_acu=0.000', 'test_f1_score=0.294', 'test_acc=0.925', 'test_ppr=0.172', 'test_sen=1.000', 'test_spe=0.924', 'test_macc=0.962', 'test_g_mean=0.961']
['[1800,5000]', 'loss=0.441', 'test_acu=0.000', 'test_f1_score=0.312', 'test_acc=0.932', 'test_ppr=0.185', 'test_sen=1.000', 'test_spe=0.931', 'test_macc=0.965', 'test_g_mean=0.965']
['[1900,5000]', 'loss=0.428', 'test_acu=0.000', 'test_f1_score=0.312', 'test_acc=0.932', 'test_ppr=0.185', 'test_sen=1.000', 'test_spe=0.931', 'test_macc=0.965', 'test_g_mean=0.965']
['[2000,5000]', 'loss=0.415', 'test_acu=0.000', 'test_f1_score=0.263', 'test_acc=0.913', 'test_ppr=0.152', 'test_sen=1.000', 'test_spe=0.912', 'test_macc=0.956', 'test_g_mean=0.955']
['[2100,5000]', 'loss=0.401', 'test_acu=0.000', 'test_f1_score=0.217', 'test_acc=0.888', 'test_ppr=0.122', 'test_sen=1.000', 'test_spe=0.886', 'test_macc=0.943', 'test_g_mean=0.942']
['[2200,5000]', 'loss=0.389', 'test_acu=0.000', 'test_f1_score=0.189', 'test_acc=0.866', 'test_ppr=0.104', 'test_sen=1.000', 'test_spe=0.864', 'test_macc=0.932', 'test_g_mean=0.930']
['[2300,5000]', 'loss=0.377', 'test_acu=0.000', 'test_f1_score=0.172', 'test_acc=0.851', 'test_ppr=0.094', 'test_sen=1.000', 'test_spe=0.849', 'test_macc=0.924', 'test_g_mean=0.921']
['[2400,5000]', 'loss=0.366', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[2500,5000]', 'loss=0.355', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[2600,5000]', 'loss=0.345', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[2700,5000]', 'loss=0.335', 'test_acu=0.000', 'test_f1_score=0.161', 'test_acc=0.839', 'test_ppr=0.088', 'test_sen=1.000', 'test_spe=0.836', 'test_macc=0.918', 'test_g_mean=0.914']
['[2800,5000]', 'loss=0.325', 'test_acu=0.000', 'test_f1_score=0.161', 'test_acc=0.839', 'test_ppr=0.088', 'test_sen=1.000', 'test_spe=0.836', 'test_macc=0.918', 'test_g_mean=0.914']
['[2900,5000]', 'loss=0.316', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[3000,5000]', 'loss=0.307', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[3100,5000]', 'loss=0.299', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[3200,5000]', 'loss=0.291', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[3300,5000]', 'loss=0.283', 'test_acu=0.000', 'test_f1_score=0.164', 'test_acc=0.842', 'test_ppr=0.089', 'test_sen=1.000', 'test_spe=0.839', 'test_macc=0.920', 'test_g_mean=0.916']
['[3400,5000]', 'loss=0.275', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[3500,5000]', 'loss=0.268', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[3600,5000]', 'loss=0.261', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[3700,5000]', 'loss=0.254', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[3800,5000]', 'loss=0.247', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[3900,5000]', 'loss=0.241', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4000,5000]', 'loss=0.235', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4100,5000]', 'loss=0.229', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4200,5000]', 'loss=0.223', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4300,5000]', 'loss=0.217', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4400,5000]', 'loss=0.211', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4500,5000]', 'loss=0.206', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4600,5000]', 'loss=0.200', 'test_acu=0.000', 'test_f1_score=0.167', 'test_acc=0.845', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.842', 'test_macc=0.921', 'test_g_mean=0.918']
['[4700,5000]', 'loss=0.195', 'test_acu=0.000', 'test_f1_score=0.169', 'test_acc=0.848', 'test_ppr=0.093', 'test_sen=1.000', 'test_spe=0.845', 'test_macc=0.923', 'test_g_mean=0.919']
['[4800,5000]', 'loss=0.190', 'test_acu=0.000', 'test_f1_score=0.172', 'test_acc=0.851', 'test_ppr=0.094', 'test_sen=1.000', 'test_spe=0.849', 'test_macc=0.924', 'test_g_mean=0.921']
['[4900,5000]', 'loss=0.185', 'test_acu=0.000', 'test_f1_score=0.172', 'test_acc=0.851', 'test_ppr=0.094', 'test_sen=1.000', 'test_spe=0.849', 'test_macc=0.924', 'test_g_mean=0.921']
2 fold training
['[0,5000]', 'loss=0.715', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.988', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.561', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.988', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.519', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[300,5000]', 'loss=0.505', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[400,5000]', 'loss=0.497', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[500,5000]', 'loss=0.492', 'test_acu=0.000', 'test_f1_score=0.889', 'test_acc=0.997', 'test_ppr=0.800', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[600,5000]', 'loss=0.489', 'test_acu=0.000', 'test_f1_score=0.889', 'test_acc=0.997', 'test_ppr=0.800', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[700,5000]', 'loss=0.487', 'test_acu=0.000', 'test_f1_score=0.889', 'test_acc=0.997', 'test_ppr=0.800', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[800,5000]', 'loss=0.484', 'test_acu=0.000', 'test_f1_score=0.444', 'test_acc=0.969', 'test_ppr=0.286', 'test_sen=1.000', 'test_spe=0.969', 'test_macc=0.984', 'test_g_mean=0.984']
['[900,5000]', 'loss=0.482', 'test_acu=0.000', 'test_f1_score=0.400', 'test_acc=0.963', 'test_ppr=0.250', 'test_sen=1.000', 'test_spe=0.962', 'test_macc=0.981', 'test_g_mean=0.981']
['[1000,5000]', 'loss=0.481', 'test_acu=0.000', 'test_f1_score=0.364', 'test_acc=0.957', 'test_ppr=0.222', 'test_sen=1.000', 'test_spe=0.956', 'test_macc=0.978', 'test_g_mean=0.978']
['[1100,5000]', 'loss=0.479', 'test_acu=0.000', 'test_f1_score=0.333', 'test_acc=0.950', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.950', 'test_macc=0.975', 'test_g_mean=0.975']
['[1200,5000]', 'loss=0.476', 'test_acu=0.000', 'test_f1_score=0.296', 'test_acc=0.941', 'test_ppr=0.174', 'test_sen=1.000', 'test_spe=0.940', 'test_macc=0.970', 'test_g_mean=0.970']
['[1300,5000]', 'loss=0.474', 'test_acu=0.000', 'test_f1_score=0.286', 'test_acc=0.938', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.937', 'test_macc=0.969', 'test_g_mean=0.968']
['[1400,5000]', 'loss=0.470', 'test_acu=0.000', 'test_f1_score=0.276', 'test_acc=0.935', 'test_ppr=0.160', 'test_sen=1.000', 'test_spe=0.934', 'test_macc=0.967', 'test_g_mean=0.966']
['[1500,5000]', 'loss=0.465', 'test_acu=0.000', 'test_f1_score=0.286', 'test_acc=0.938', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.937', 'test_macc=0.969', 'test_g_mean=0.968']
['[1600,5000]', 'loss=0.458', 'test_acu=0.000', 'test_f1_score=0.286', 'test_acc=0.938', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.937', 'test_macc=0.969', 'test_g_mean=0.968']
['[1700,5000]', 'loss=0.448', 'test_acu=0.000', 'test_f1_score=0.296', 'test_acc=0.941', 'test_ppr=0.174', 'test_sen=1.000', 'test_spe=0.940', 'test_macc=0.970', 'test_g_mean=0.970']
['[1800,5000]', 'loss=0.435', 'test_acu=0.000', 'test_f1_score=0.320', 'test_acc=0.947', 'test_ppr=0.190', 'test_sen=1.000', 'test_spe=0.947', 'test_macc=0.973', 'test_g_mean=0.973']
['[1900,5000]', 'loss=0.422', 'test_acu=0.000', 'test_f1_score=0.320', 'test_acc=0.947', 'test_ppr=0.190', 'test_sen=1.000', 'test_spe=0.947', 'test_macc=0.973', 'test_g_mean=0.973']
