1 fold training
['[0,5000]', 'loss=0.770', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.575', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.533', 'test_acu=0.000', 'test_f1_score=0.000', 'test_acc=0.984', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.519', 'test_acu=0.000', 'test_f1_score=1.000', 'test_acc=1.000', 'test_ppr=1.000', 'test_sen=1.000', 'test_spe=1.000', 'test_macc=1.000', 'test_g_mean=1.000']
['[400,5000]', 'loss=0.511', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[500,5000]', 'loss=0.506', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[600,5000]', 'loss=0.501', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[700,5000]', 'loss=0.496', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[800,5000]', 'loss=0.490', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[900,5000]', 'loss=0.479', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[1000,5000]', 'loss=0.462', 'test_acu=0.000', 'test_f1_score=0.909', 'test_acc=0.997', 'test_ppr=0.833', 'test_sen=1.000', 'test_spe=0.997', 'test_macc=0.998', 'test_g_mean=0.998']
['[1100,5000]', 'loss=0.441', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1200,5000]', 'loss=0.419', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1300,5000]', 'loss=0.399', 'test_acu=0.000', 'test_f1_score=0.833', 'test_acc=0.994', 'test_ppr=0.714', 'test_sen=1.000', 'test_spe=0.994', 'test_macc=0.997', 'test_g_mean=0.997']
['[1400,5000]', 'loss=0.380', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1500,5000]', 'loss=0.362', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1600,5000]', 'loss=0.346', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1700,5000]', 'loss=0.331', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1800,5000]', 'loss=0.317', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[1900,5000]', 'loss=0.303', 'test_acu=0.000', 'test_f1_score=0.667', 'test_acc=0.984', 'test_ppr=0.500', 'test_sen=1.000', 'test_spe=0.984', 'test_macc=0.992', 'test_g_mean=0.992']
['[2000,5000]', 'loss=0.291', 'test_acu=0.000', 'test_f1_score=0.588', 'test_acc=0.978', 'test_ppr=0.417', 'test_sen=1.000', 'test_spe=0.978', 'test_macc=0.989', 'test_g_mean=0.989']
['[2100,5000]', 'loss=0.279', 'test_acu=0.000', 'test_f1_score=0.588', 'test_acc=0.978', 'test_ppr=0.417', 'test_sen=1.000', 'test_spe=0.978', 'test_macc=0.989', 'test_g_mean=0.989']
['[2200,5000]', 'loss=0.267', 'test_acu=0.000', 'test_f1_score=0.588', 'test_acc=0.978', 'test_ppr=0.417', 'test_sen=1.000', 'test_spe=0.978', 'test_macc=0.989', 'test_g_mean=0.989']
['[2300,5000]', 'loss=0.257', 'test_acu=0.000', 'test_f1_score=0.625', 'test_acc=0.981', 'test_ppr=0.455', 'test_sen=1.000', 'test_spe=0.981', 'test_macc=0.991', 'test_g_mean=0.990']
['[2400,5000]', 'loss=0.247', 'test_acu=0.000', 'test_f1_score=0.667', 'test_acc=0.984', 'test_ppr=0.500', 'test_sen=1.000', 'test_spe=0.984', 'test_macc=0.992', 'test_g_mean=0.992']
['[2500,5000]', 'loss=0.237', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[2600,5000]', 'loss=0.228', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[2700,5000]', 'loss=0.220', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
['[2800,5000]', 'loss=0.212', 'test_acu=0.000', 'test_f1_score=0.769', 'test_acc=0.991', 'test_ppr=0.625', 'test_sen=1.000', 'test_spe=0.991', 'test_macc=0.995', 'test_g_mean=0.995']
