1 fold training
['[0,5000]', 'loss=0.068', 'test_acu=0.590', 'test_f1_score=0.069', 'test_acc=0.036', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.068', 'test_acu=0.625', 'test_f1_score=0.069', 'test_acc=0.036', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.069', 'test_acu=0.651', 'test_f1_score=0.069', 'test_acc=0.036', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.069', 'test_acu=0.675', 'test_f1_score=0.069', 'test_acc=0.038', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.002', 'test_macc=0.501', 'test_g_mean=0.048']
['[400,5000]', 'loss=0.069', 'test_acu=0.693', 'test_f1_score=0.070', 'test_acc=0.047', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.107']
['[500,5000]', 'loss=0.069', 'test_acu=0.711', 'test_f1_score=0.071', 'test_acc=0.065', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.030', 'test_macc=0.515', 'test_g_mean=0.173']
['[600,5000]', 'loss=0.069', 'test_acu=0.726', 'test_f1_score=0.072', 'test_acc=0.082', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.048', 'test_macc=0.524', 'test_g_mean=0.220']
['[700,5000]', 'loss=0.069', 'test_acu=0.740', 'test_f1_score=0.073', 'test_acc=0.091', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.058', 'test_macc=0.529', 'test_g_mean=0.240']
['[800,5000]', 'loss=0.069', 'test_acu=0.757', 'test_f1_score=0.073', 'test_acc=0.098', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.065', 'test_macc=0.532', 'test_g_mean=0.254']
['[900,5000]', 'loss=0.069', 'test_acu=0.770', 'test_f1_score=0.065', 'test_acc=0.107', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.079', 'test_macc=0.477', 'test_g_mean=0.262']
['[1000,5000]', 'loss=0.069', 'test_acu=0.780', 'test_f1_score=0.066', 'test_acc=0.111', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.083', 'test_macc=0.479', 'test_g_mean=0.270']
['[1100,5000]', 'loss=0.069', 'test_acu=0.794', 'test_f1_score=0.066', 'test_acc=0.116', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.088', 'test_macc=0.481', 'test_g_mean=0.277']
['[1200,5000]', 'loss=0.069', 'test_acu=0.804', 'test_f1_score=0.066', 'test_acc=0.118', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.090', 'test_macc=0.483', 'test_g_mean=0.281']
['[1300,5000]', 'loss=0.069', 'test_acu=0.812', 'test_f1_score=0.062', 'test_acc=0.118', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.092', 'test_macc=0.452', 'test_g_mean=0.274']
['[1400,5000]', 'loss=0.069', 'test_acu=0.822', 'test_f1_score=0.057', 'test_acc=0.116', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.092', 'test_macc=0.421', 'test_g_mean=0.263']
['[1500,5000]', 'loss=0.069', 'test_acu=0.830', 'test_f1_score=0.057', 'test_acc=0.120', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.097', 'test_macc=0.423', 'test_g_mean=0.270']
['[1600,5000]', 'loss=0.069', 'test_acu=0.836', 'test_f1_score=0.053', 'test_acc=0.122', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.102', 'test_macc=0.395', 'test_g_mean=0.264']
['[1700,5000]', 'loss=0.069', 'test_acu=0.844', 'test_f1_score=0.053', 'test_acc=0.125', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.104', 'test_macc=0.396', 'test_g_mean=0.267']
['[1800,5000]', 'loss=0.069', 'test_acu=0.852', 'test_f1_score=0.044', 'test_acc=0.120', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.104', 'test_macc=0.333', 'test_g_mean=0.242']
['[1900,5000]', 'loss=0.069', 'test_acu=0.859', 'test_f1_score=0.039', 'test_acc=0.118', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.104', 'test_macc=0.302', 'test_g_mean=0.228']
['[2000,5000]', 'loss=0.069', 'test_acu=0.862', 'test_f1_score=0.039', 'test_acc=0.122', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.109', 'test_macc=0.304', 'test_g_mean=0.233']
['[2100,5000]', 'loss=0.069', 'test_acu=0.866', 'test_f1_score=0.039', 'test_acc=0.125', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.111', 'test_macc=0.305', 'test_g_mean=0.235']
['[2200,5000]', 'loss=0.069', 'test_acu=0.872', 'test_f1_score=0.039', 'test_acc=0.125', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.111', 'test_macc=0.305', 'test_g_mean=0.235']
['[2300,5000]', 'loss=0.069', 'test_acu=0.875', 'test_f1_score=0.039', 'test_acc=0.125', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.111', 'test_macc=0.305', 'test_g_mean=0.235']
['[2400,5000]', 'loss=0.069', 'test_acu=0.879', 'test_f1_score=0.039', 'test_acc=0.122', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.109', 'test_macc=0.304', 'test_g_mean=0.233']
['[2500,5000]', 'loss=0.069', 'test_acu=0.883', 'test_f1_score=0.034', 'test_acc=0.122', 'test_ppr=0.018', 'test_sen=0.438', 'test_spe=0.111', 'test_macc=0.274', 'test_g_mean=0.220']
['[2600,5000]', 'loss=0.069', 'test_acu=0.887', 'test_f1_score=0.034', 'test_acc=0.125', 'test_ppr=0.018', 'test_sen=0.438', 'test_spe=0.113', 'test_macc=0.275', 'test_g_mean=0.223']
