1 fold training
['[0,5000]', 'loss=0.638', 'test_acu=0.527', 'test_f1_score=0.073', 'test_acc=0.096', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.250']
['[100,5000]', 'loss=0.611', 'test_acu=0.569', 'test_f1_score=0.073', 'test_acc=0.098', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.065', 'test_macc=0.532', 'test_g_mean=0.254']
['[200,5000]', 'loss=0.588', 'test_acu=0.607', 'test_f1_score=0.065', 'test_acc=0.100', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.072', 'test_macc=0.473', 'test_g_mean=0.250']
['[300,5000]', 'loss=0.568', 'test_acu=0.646', 'test_f1_score=0.061', 'test_acc=0.105', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.079', 'test_macc=0.446', 'test_g_mean=0.253']
['[400,5000]', 'loss=0.552', 'test_acu=0.678', 'test_f1_score=0.061', 'test_acc=0.111', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.085', 'test_macc=0.449', 'test_g_mean=0.263']
['[500,5000]', 'loss=0.539', 'test_acu=0.712', 'test_f1_score=0.053', 'test_acc=0.116', 'test_ppr=0.027', 'test_sen=0.688', 'test_spe=0.095', 'test_macc=0.391', 'test_g_mean=0.255']
['[600,5000]', 'loss=0.528', 'test_acu=0.745', 'test_f1_score=0.053', 'test_acc=0.122', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.102', 'test_macc=0.395', 'test_g_mean=0.264']
['[700,5000]', 'loss=0.519', 'test_acu=0.772', 'test_f1_score=0.044', 'test_acc=0.127', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.111', 'test_macc=0.337', 'test_g_mean=0.250']
['[800,5000]', 'loss=0.511', 'test_acu=0.808', 'test_f1_score=0.045', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.125', 'test_macc=0.344', 'test_g_mean=0.265']
['[900,5000]', 'loss=0.505', 'test_acu=0.841', 'test_f1_score=0.045', 'test_acc=0.147', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.132', 'test_macc=0.347', 'test_g_mean=0.272']
['[1000,5000]', 'loss=0.499', 'test_acu=0.868', 'test_f1_score=0.036', 'test_acc=0.156', 'test_ppr=0.019', 'test_sen=0.438', 'test_spe=0.145', 'test_macc=0.291', 'test_g_mean=0.252']
['[1100,5000]', 'loss=0.493', 'test_acu=0.894', 'test_f1_score=0.031', 'test_acc=0.158', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.150', 'test_macc=0.263', 'test_g_mean=0.237']
['[1200,5000]', 'loss=0.487', 'test_acu=0.916', 'test_f1_score=0.015', 'test_acc=0.147', 'test_ppr=0.008', 'test_sen=0.188', 'test_spe=0.145', 'test_macc=0.166', 'test_g_mean=0.165']
['[1300,5000]', 'loss=0.481', 'test_acu=0.937', 'test_f1_score=0.010', 'test_acc=0.140', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.141', 'test_macc=0.133', 'test_g_mean=0.133']
['[1400,5000]', 'loss=0.476', 'test_acu=0.956', 'test_f1_score=0.010', 'test_acc=0.145', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.145', 'test_macc=0.135', 'test_g_mean=0.135']
['[1500,5000]', 'loss=0.470', 'test_acu=0.968', 'test_f1_score=0.005', 'test_acc=0.138', 'test_ppr=0.003', 'test_sen=0.062', 'test_spe=0.141', 'test_macc=0.102', 'test_g_mean=0.094']
['[1600,5000]', 'loss=0.463', 'test_acu=0.977', 'test_f1_score=0.005', 'test_acc=0.129', 'test_ppr=0.003', 'test_sen=0.062', 'test_spe=0.132', 'test_macc=0.097', 'test_g_mean=0.091']
['[1700,5000]', 'loss=0.456', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.449', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.120', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.441', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.114', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
