1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.963', 'test_acu=0.542', 'test_f1_score=0.069', 'test_acc=0.163', 'test_ppr=0.036', 'test_sen=0.875', 'test_spe=0.136', 'test_macc=0.506', 'test_g_mean=0.345']
['[100,5000]', 'loss=0.359', 'test_acu=0.854', 'test_f1_score=0.027', 'test_acc=0.205', 'test_ppr=0.014', 'test_sen=0.312', 'test_spe=0.201', 'test_macc=0.257', 'test_g_mean=0.251']
['[200,5000]', 'loss=0.104', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.617', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.640', 'test_macc=0.320', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.054', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.942', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.488', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.059', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.065', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.068', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.069', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.069', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.069', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.069', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.068', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
