1 fold training
['[0,5000]', 'loss=0.623', 'test_acu=0.527', 'test_f1_score=0.073', 'test_acc=0.096', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.250']
['[100,5000]', 'loss=0.596', 'test_acu=0.567', 'test_f1_score=0.069', 'test_acc=0.102', 'test_ppr=0.036', 'test_sen=0.938', 'test_spe=0.072', 'test_macc=0.505', 'test_g_mean=0.259']
['[200,5000]', 'loss=0.572', 'test_acu=0.605', 'test_f1_score=0.065', 'test_acc=0.107', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.079', 'test_macc=0.477', 'test_g_mean=0.262']
['[300,5000]', 'loss=0.553', 'test_acu=0.643', 'test_f1_score=0.061', 'test_acc=0.116', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.090', 'test_macc=0.451', 'test_g_mean=0.271']
['[400,5000]', 'loss=0.537', 'test_acu=0.673', 'test_f1_score=0.053', 'test_acc=0.116', 'test_ppr=0.027', 'test_sen=0.688', 'test_spe=0.095', 'test_macc=0.391', 'test_g_mean=0.255']
['[500,5000]', 'loss=0.524', 'test_acu=0.705', 'test_f1_score=0.053', 'test_acc=0.131', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.111', 'test_macc=0.399', 'test_g_mean=0.276']
['[600,5000]', 'loss=0.514', 'test_acu=0.739', 'test_f1_score=0.050', 'test_acc=0.147', 'test_ppr=0.026', 'test_sen=0.625', 'test_spe=0.129', 'test_macc=0.377', 'test_g_mean=0.284']
['[700,5000]', 'loss=0.505', 'test_acu=0.768', 'test_f1_score=0.045', 'test_acc=0.149', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.134', 'test_macc=0.348', 'test_g_mean=0.274']
['[800,5000]', 'loss=0.498', 'test_acu=0.803', 'test_f1_score=0.045', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=0.562', 'test_spe=0.139', 'test_macc=0.351', 'test_g_mean=0.279']
['[900,5000]', 'loss=0.491', 'test_acu=0.833', 'test_f1_score=0.045', 'test_acc=0.156', 'test_ppr=0.024', 'test_sen=0.562', 'test_spe=0.141', 'test_macc=0.352', 'test_g_mean=0.282']
['[1000,5000]', 'loss=0.485', 'test_acu=0.864', 'test_f1_score=0.031', 'test_acc=0.156', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.148', 'test_macc=0.261', 'test_g_mean=0.235']
['[1100,5000]', 'loss=0.479', 'test_acu=0.890', 'test_f1_score=0.031', 'test_acc=0.158', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.150', 'test_macc=0.263', 'test_g_mean=0.237']
['[1200,5000]', 'loss=0.474', 'test_acu=0.915', 'test_f1_score=0.015', 'test_acc=0.149', 'test_ppr=0.008', 'test_sen=0.188', 'test_spe=0.148', 'test_macc=0.168', 'test_g_mean=0.166']
['[1300,5000]', 'loss=0.468', 'test_acu=0.932', 'test_f1_score=0.010', 'test_acc=0.145', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.145', 'test_macc=0.135', 'test_g_mean=0.135']
['[1400,5000]', 'loss=0.462', 'test_acu=0.953', 'test_f1_score=0.010', 'test_acc=0.140', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.141', 'test_macc=0.133', 'test_g_mean=0.133']
['[1500,5000]', 'loss=0.455', 'test_acu=0.966', 'test_f1_score=0.010', 'test_acc=0.140', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.141', 'test_macc=0.133', 'test_g_mean=0.133']
['[1600,5000]', 'loss=0.449', 'test_acu=0.975', 'test_f1_score=0.005', 'test_acc=0.131', 'test_ppr=0.003', 'test_sen=0.062', 'test_spe=0.134', 'test_macc=0.098', 'test_g_mean=0.091']
['[1700,5000]', 'loss=0.442', 'test_acu=0.984', 'test_f1_score=0.005', 'test_acc=0.127', 'test_ppr=0.003', 'test_sen=0.062', 'test_spe=0.129', 'test_macc=0.096', 'test_g_mean=0.090']
['[1800,5000]', 'loss=0.434', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.122', 'test_macc=0.061', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.426', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.418', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.102', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.409', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.091', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.095', 'test_macc=0.047', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.400', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.089', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.092', 'test_macc=0.046', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.391', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.085', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.381', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.080', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.083', 'test_macc=0.042', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.371', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.078', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.081', 'test_macc=0.040', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.360', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.076', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.079', 'test_macc=0.039', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.350', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.073', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.076', 'test_macc=0.038', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.339', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.065', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.067', 'test_macc=0.033', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.328', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.060', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.062', 'test_macc=0.031', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.318', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.307', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.297', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.058', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.060', 'test_macc=0.030', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.287', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.277', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.267', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.257', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.248', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.239', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.058', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.060', 'test_macc=0.030', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.231', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.058', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.060', 'test_macc=0.030', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.223', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.058', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.060', 'test_macc=0.030', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.215', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.056', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.058', 'test_macc=0.029', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.207', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.058', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.060', 'test_macc=0.030', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.200', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.060', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.062', 'test_macc=0.031', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.193', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.060', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.062', 'test_macc=0.031', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.186', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.060', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.062', 'test_macc=0.031', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.179', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.060', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.062', 'test_macc=0.031', 'test_g_mean=0.000']
['[4700,5000]', 'loss=0.173', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.062', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.065', 'test_macc=0.032', 'test_g_mean=0.000']
['[4800,5000]', 'loss=0.167', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.062', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.065', 'test_macc=0.032', 'test_g_mean=0.000']
['[4900,5000]', 'loss=0.162', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.062', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.065', 'test_macc=0.032', 'test_g_mean=0.000']
2 fold training
['[0,5000]', 'loss=0.616', 'test_acu=0.443', 'test_f1_score=0.074', 'test_acc=0.114', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.081', 'test_macc=0.540', 'test_g_mean=0.284']
['[100,5000]', 'loss=0.589', 'test_acu=0.488', 'test_f1_score=0.075', 'test_acc=0.120', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.088', 'test_macc=0.544', 'test_g_mean=0.296']
['[200,5000]', 'loss=0.566', 'test_acu=0.528', 'test_f1_score=0.075', 'test_acc=0.127', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.095', 'test_macc=0.547', 'test_g_mean=0.308']
['[300,5000]', 'loss=0.546', 'test_acu=0.566', 'test_f1_score=0.076', 'test_acc=0.129', 'test_ppr=0.039', 'test_sen=1.000', 'test_spe=0.097', 'test_macc=0.548', 'test_g_mean=0.311']
['[400,5000]', 'loss=0.531', 'test_acu=0.600', 'test_f1_score=0.071', 'test_acc=0.131', 'test_ppr=0.037', 'test_sen=0.938', 'test_spe=0.102', 'test_macc=0.520', 'test_g_mean=0.309']
['[500,5000]', 'loss=0.518', 'test_acu=0.632', 'test_f1_score=0.068', 'test_acc=0.147', 'test_ppr=0.035', 'test_sen=0.875', 'test_spe=0.120', 'test_macc=0.498', 'test_g_mean=0.324']
['[600,5000]', 'loss=0.508', 'test_acu=0.665', 'test_f1_score=0.068', 'test_acc=0.149', 'test_ppr=0.036', 'test_sen=0.875', 'test_spe=0.122', 'test_macc=0.499', 'test_g_mean=0.327']
['[700,5000]', 'loss=0.499', 'test_acu=0.696', 'test_f1_score=0.064', 'test_acc=0.151', 'test_ppr=0.033', 'test_sen=0.812', 'test_spe=0.127', 'test_macc=0.470', 'test_g_mean=0.321']
['[800,5000]', 'loss=0.492', 'test_acu=0.726', 'test_f1_score=0.064', 'test_acc=0.156', 'test_ppr=0.033', 'test_sen=0.812', 'test_spe=0.132', 'test_macc=0.472', 'test_g_mean=0.327']
['[900,5000]', 'loss=0.486', 'test_acu=0.758', 'test_f1_score=0.055', 'test_acc=0.151', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.132', 'test_macc=0.410', 'test_g_mean=0.301']
['[1000,5000]', 'loss=0.479', 'test_acu=0.793', 'test_f1_score=0.050', 'test_acc=0.149', 'test_ppr=0.026', 'test_sen=0.625', 'test_spe=0.132', 'test_macc=0.378', 'test_g_mean=0.287']
['[1100,5000]', 'loss=0.474', 'test_acu=0.830', 'test_f1_score=0.045', 'test_acc=0.149', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.134', 'test_macc=0.348', 'test_g_mean=0.274']
['[1200,5000]', 'loss=0.468', 'test_acu=0.855', 'test_f1_score=0.030', 'test_acc=0.140', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.132', 'test_macc=0.253', 'test_g_mean=0.222']
['[1300,5000]', 'loss=0.462', 'test_acu=0.884', 'test_f1_score=0.025', 'test_acc=0.145', 'test_ppr=0.013', 'test_sen=0.312', 'test_spe=0.139', 'test_macc=0.226', 'test_g_mean=0.208']
['[1400,5000]', 'loss=0.456', 'test_acu=0.911', 'test_f1_score=0.025', 'test_acc=0.145', 'test_ppr=0.013', 'test_sen=0.312', 'test_spe=0.139', 'test_macc=0.226', 'test_g_mean=0.208']
['[1500,5000]', 'loss=0.449', 'test_acu=0.935', 'test_f1_score=0.025', 'test_acc=0.138', 'test_ppr=0.013', 'test_sen=0.312', 'test_spe=0.132', 'test_macc=0.222', 'test_g_mean=0.203']
['[1600,5000]', 'loss=0.443', 'test_acu=0.955', 'test_f1_score=0.000', 'test_acc=0.120', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.436', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.120', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.428', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.122', 'test_macc=0.061', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.420', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.111', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.115', 'test_macc=0.058', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.412', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.102', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.404', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.395', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.102', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.386', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
