1 fold training
['[0,5000]', 'loss=0.645', 'test_acu=0.527', 'test_f1_score=0.073', 'test_acc=0.096', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.250']
['[100,5000]', 'loss=0.618', 'test_acu=0.567', 'test_f1_score=0.073', 'test_acc=0.100', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[200,5000]', 'loss=0.595', 'test_acu=0.605', 'test_f1_score=0.065', 'test_acc=0.105', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.076', 'test_macc=0.476', 'test_g_mean=0.258']
['[300,5000]', 'loss=0.574', 'test_acu=0.643', 'test_f1_score=0.061', 'test_acc=0.109', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.083', 'test_macc=0.448', 'test_g_mean=0.260']
['[400,5000]', 'loss=0.558', 'test_acu=0.675', 'test_f1_score=0.062', 'test_acc=0.118', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.092', 'test_macc=0.452', 'test_g_mean=0.274']
['[500,5000]', 'loss=0.544', 'test_acu=0.707', 'test_f1_score=0.053', 'test_acc=0.118', 'test_ppr=0.027', 'test_sen=0.688', 'test_spe=0.097', 'test_macc=0.392', 'test_g_mean=0.258']
['[600,5000]', 'loss=0.532', 'test_acu=0.741', 'test_f1_score=0.053', 'test_acc=0.129', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.109', 'test_macc=0.398', 'test_g_mean=0.273']
['[700,5000]', 'loss=0.523', 'test_acu=0.771', 'test_f1_score=0.044', 'test_acc=0.134', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.118', 'test_macc=0.340', 'test_g_mean=0.257']
['[800,5000]', 'loss=0.515', 'test_acu=0.807', 'test_f1_score=0.045', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.125', 'test_macc=0.344', 'test_g_mean=0.265']
['[900,5000]', 'loss=0.508', 'test_acu=0.841', 'test_f1_score=0.045', 'test_acc=0.149', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.134', 'test_macc=0.348', 'test_g_mean=0.274']
['[1000,5000]', 'loss=0.502', 'test_acu=0.869', 'test_f1_score=0.031', 'test_acc=0.154', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.145', 'test_macc=0.260', 'test_g_mean=0.234']
