1 fold training
['[0,5000]', 'loss=0.641', 'test_acu=0.527', 'test_f1_score=0.073', 'test_acc=0.096', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.250']
['[100,5000]', 'loss=0.614', 'test_acu=0.567', 'test_f1_score=0.073', 'test_acc=0.098', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.065', 'test_macc=0.532', 'test_g_mean=0.254']
['[200,5000]', 'loss=0.590', 'test_acu=0.605', 'test_f1_score=0.069', 'test_acc=0.105', 'test_ppr=0.036', 'test_sen=0.938', 'test_spe=0.074', 'test_macc=0.506', 'test_g_mean=0.263']
['[300,5000]', 'loss=0.569', 'test_acu=0.643', 'test_f1_score=0.061', 'test_acc=0.107', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.081', 'test_macc=0.447', 'test_g_mean=0.256']
['[400,5000]', 'loss=0.553', 'test_acu=0.676', 'test_f1_score=0.061', 'test_acc=0.109', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.083', 'test_macc=0.448', 'test_g_mean=0.260']
['[500,5000]', 'loss=0.539', 'test_acu=0.709', 'test_f1_score=0.053', 'test_acc=0.118', 'test_ppr=0.027', 'test_sen=0.688', 'test_spe=0.097', 'test_macc=0.392', 'test_g_mean=0.258']
['[600,5000]', 'loss=0.527', 'test_acu=0.741', 'test_f1_score=0.053', 'test_acc=0.127', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.106', 'test_macc=0.397', 'test_g_mean=0.270']
['[700,5000]', 'loss=0.518', 'test_acu=0.771', 'test_f1_score=0.044', 'test_acc=0.131', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.115', 'test_macc=0.339', 'test_g_mean=0.255']
['[800,5000]', 'loss=0.510', 'test_acu=0.806', 'test_f1_score=0.045', 'test_acc=0.147', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.132', 'test_macc=0.347', 'test_g_mean=0.272']
['[900,5000]', 'loss=0.503', 'test_acu=0.838', 'test_f1_score=0.045', 'test_acc=0.156', 'test_ppr=0.024', 'test_sen=0.562', 'test_spe=0.141', 'test_macc=0.352', 'test_g_mean=0.282']
['[1000,5000]', 'loss=0.497', 'test_acu=0.865', 'test_f1_score=0.036', 'test_acc=0.165', 'test_ppr=0.019', 'test_sen=0.438', 'test_spe=0.155', 'test_macc=0.296', 'test_g_mean=0.260']
