1 fold training
['[0,5000]', 'loss=0.645', 'test_acu=0.527', 'test_f1_score=0.073', 'test_acc=0.096', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.250']
['[100,5000]', 'loss=0.618', 'test_acu=0.568', 'test_f1_score=0.069', 'test_acc=0.098', 'test_ppr=0.036', 'test_sen=0.938', 'test_spe=0.067', 'test_macc=0.502', 'test_g_mean=0.251']
['[200,5000]', 'loss=0.595', 'test_acu=0.605', 'test_f1_score=0.065', 'test_acc=0.107', 'test_ppr=0.034', 'test_sen=0.875', 'test_spe=0.079', 'test_macc=0.477', 'test_g_mean=0.262']
['[300,5000]', 'loss=0.575', 'test_acu=0.644', 'test_f1_score=0.061', 'test_acc=0.111', 'test_ppr=0.032', 'test_sen=0.812', 'test_spe=0.085', 'test_macc=0.449', 'test_g_mean=0.263']
['[400,5000]', 'loss=0.558', 'test_acu=0.676', 'test_f1_score=0.057', 'test_acc=0.116', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.092', 'test_macc=0.421', 'test_g_mean=0.263']
['[500,5000]', 'loss=0.544', 'test_acu=0.709', 'test_f1_score=0.053', 'test_acc=0.118', 'test_ppr=0.027', 'test_sen=0.688', 'test_spe=0.097', 'test_macc=0.392', 'test_g_mean=0.258']
['[600,5000]', 'loss=0.533', 'test_acu=0.744', 'test_f1_score=0.053', 'test_acc=0.131', 'test_ppr=0.028', 'test_sen=0.688', 'test_spe=0.111', 'test_macc=0.399', 'test_g_mean=0.276']
['[700,5000]', 'loss=0.523', 'test_acu=0.773', 'test_f1_score=0.044', 'test_acc=0.136', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.120', 'test_macc=0.341', 'test_g_mean=0.260']
['[800,5000]', 'loss=0.515', 'test_acu=0.810', 'test_f1_score=0.045', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.125', 'test_macc=0.344', 'test_g_mean=0.265']
['[900,5000]', 'loss=0.508', 'test_acu=0.844', 'test_f1_score=0.045', 'test_acc=0.149', 'test_ppr=0.023', 'test_sen=0.562', 'test_spe=0.134', 'test_macc=0.348', 'test_g_mean=0.274']
['[1000,5000]', 'loss=0.501', 'test_acu=0.873', 'test_f1_score=0.031', 'test_acc=0.156', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.148', 'test_macc=0.261', 'test_g_mean=0.235']
['[1100,5000]', 'loss=0.495', 'test_acu=0.898', 'test_f1_score=0.031', 'test_acc=0.158', 'test_ppr=0.016', 'test_sen=0.375', 'test_spe=0.150', 'test_macc=0.263', 'test_g_mean=0.237']
['[1200,5000]', 'loss=0.489', 'test_acu=0.922', 'test_f1_score=0.015', 'test_acc=0.145', 'test_ppr=0.008', 'test_sen=0.188', 'test_spe=0.143', 'test_macc=0.165', 'test_g_mean=0.164']
['[1300,5000]', 'loss=0.483', 'test_acu=0.943', 'test_f1_score=0.010', 'test_acc=0.143', 'test_ppr=0.005', 'test_sen=0.125', 'test_spe=0.143', 'test_macc=0.134', 'test_g_mean=0.134']
