1 fold training
['[0,5000]', 'loss=0.682', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[100,5000]', 'loss=0.658', 'test_acu=0.712', 'test_f1_score=0.054', 'test_acc=0.104', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.081', 'test_macc=0.482', 'test_g_mean=0.267']
['[200,5000]', 'loss=0.634', 'test_acu=0.741', 'test_f1_score=0.054', 'test_acc=0.112', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.089', 'test_macc=0.486', 'test_g_mean=0.281']
['[300,5000]', 'loss=0.613', 'test_acu=0.764', 'test_f1_score=0.051', 'test_acc=0.114', 'test_ppr=0.026', 'test_sen=0.824', 'test_spe=0.093', 'test_macc=0.458', 'test_g_mean=0.277']
['[400,5000]', 'loss=0.593', 'test_acu=0.784', 'test_f1_score=0.045', 'test_acc=0.124', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.107', 'test_macc=0.406', 'test_g_mean=0.275']
['[500,5000]', 'loss=0.575', 'test_acu=0.800', 'test_f1_score=0.045', 'test_acc=0.135', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.118', 'test_macc=0.412', 'test_g_mean=0.288']
['[600,5000]', 'loss=0.560', 'test_acu=0.814', 'test_f1_score=0.038', 'test_acc=0.148', 'test_ppr=0.020', 'test_sen=0.588', 'test_spe=0.135', 'test_macc=0.362', 'test_g_mean=0.282']
['[700,5000]', 'loss=0.546', 'test_acu=0.828', 'test_f1_score=0.039', 'test_acc=0.167', 'test_ppr=0.020', 'test_sen=0.588', 'test_spe=0.154', 'test_macc=0.371', 'test_g_mean=0.301']
['[800,5000]', 'loss=0.534', 'test_acu=0.842', 'test_f1_score=0.032', 'test_acc=0.184', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.175', 'test_macc=0.323', 'test_g_mean=0.287']
['[900,5000]', 'loss=0.523', 'test_acu=0.852', 'test_f1_score=0.033', 'test_acc=0.198', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.189', 'test_macc=0.330', 'test_g_mean=0.299']
['[1000,5000]', 'loss=0.512', 'test_acu=0.862', 'test_f1_score=0.029', 'test_acc=0.215', 'test_ppr=0.015', 'test_sen=0.412', 'test_spe=0.209', 'test_macc=0.310', 'test_g_mean=0.293']
['[1100,5000]', 'loss=0.503', 'test_acu=0.871', 'test_f1_score=0.017', 'test_acc=0.223', 'test_ppr=0.009', 'test_sen=0.235', 'test_spe=0.223', 'test_macc=0.229', 'test_g_mean=0.229']
['[1200,5000]', 'loss=0.494', 'test_acu=0.880', 'test_f1_score=0.009', 'test_acc=0.227', 'test_ppr=0.005', 'test_sen=0.118', 'test_spe=0.230', 'test_macc=0.174', 'test_g_mean=0.164']
['[1300,5000]', 'loss=0.485', 'test_acu=0.888', 'test_f1_score=0.004', 'test_acc=0.237', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.242', 'test_macc=0.150', 'test_g_mean=0.119']
['[1400,5000]', 'loss=0.477', 'test_acu=0.894', 'test_f1_score=0.000', 'test_acc=0.245', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.253', 'test_macc=0.126', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.468', 'test_acu=0.902', 'test_f1_score=0.000', 'test_acc=0.252', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.260', 'test_macc=0.130', 'test_g_mean=0.000']
