1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.996', 'test_acu=0.700', 'test_f1_score=0.053', 'test_acc=0.140', 'test_ppr=0.027', 'test_sen=0.824', 'test_spe=0.119', 'test_macc=0.471', 'test_g_mean=0.313']
['[100,5000]', 'loss=0.380', 'test_acu=0.833', 'test_f1_score=0.005', 'test_acc=0.341', 'test_ppr=0.003', 'test_sen=0.059', 'test_spe=0.349', 'test_macc=0.204', 'test_g_mean=0.143']
['[200,5000]', 'loss=0.105', 'test_acu=0.941', 'test_f1_score=0.000', 'test_acc=0.588', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.605', 'test_macc=0.303', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.045', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.702', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.723', 'test_macc=0.361', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.047', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.954', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.982', 'test_macc=0.491', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.052', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.054', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.054', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.054', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.055', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.055', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.054', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.054', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.053', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.052', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.051', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.050', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.049', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.048', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.080', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.082', 'test_macc=0.041', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.047', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.053', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.054', 'test_macc=0.027', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.047', 'test_acu=0.996', 'test_f1_score=0.004', 'test_acc=0.032', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.032', 'test_macc=0.045', 'test_g_mean=0.043']
['[2100,5000]', 'loss=0.047', 'test_acu=0.995', 'test_f1_score=0.003', 'test_acc=0.029', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.028', 'test_macc=0.043', 'test_g_mean=0.041']
['[2200,5000]', 'loss=0.047', 'test_acu=0.994', 'test_f1_score=0.003', 'test_acc=0.027', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.026', 'test_macc=0.043', 'test_g_mean=0.039']
['[2300,5000]', 'loss=0.047', 'test_acu=0.994', 'test_f1_score=0.003', 'test_acc=0.029', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.028', 'test_macc=0.043', 'test_g_mean=0.041']
