1 fold training
['[0,5000]', 'loss=0.769', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[100,5000]', 'loss=0.718', 'test_acu=0.727', 'test_f1_score=0.054', 'test_acc=0.101', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.077', 'test_macc=0.480', 'test_g_mean=0.261']
['[200,5000]', 'loss=0.668', 'test_acu=0.768', 'test_f1_score=0.054', 'test_acc=0.101', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.077', 'test_macc=0.480', 'test_g_mean=0.261']
['[300,5000]', 'loss=0.623', 'test_acu=0.799', 'test_f1_score=0.043', 'test_acc=0.101', 'test_ppr=0.022', 'test_sen=0.706', 'test_spe=0.082', 'test_macc=0.394', 'test_g_mean=0.241']
['[400,5000]', 'loss=0.586', 'test_acu=0.820', 'test_f1_score=0.044', 'test_acc=0.111', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.093', 'test_macc=0.399', 'test_g_mean=0.256']
['[500,5000]', 'loss=0.555', 'test_acu=0.841', 'test_f1_score=0.038', 'test_acc=0.129', 'test_ppr=0.019', 'test_sen=0.588', 'test_spe=0.116', 'test_macc=0.352', 'test_g_mean=0.261']
['[600,5000]', 'loss=0.530', 'test_acu=0.857', 'test_f1_score=0.035', 'test_acc=0.155', 'test_ppr=0.018', 'test_sen=0.529', 'test_spe=0.144', 'test_macc=0.337', 'test_g_mean=0.276']
['[700,5000]', 'loss=0.508', 'test_acu=0.867', 'test_f1_score=0.033', 'test_acc=0.193', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.184', 'test_macc=0.327', 'test_g_mean=0.294']
['[800,5000]', 'loss=0.490', 'test_acu=0.879', 'test_f1_score=0.009', 'test_acc=0.210', 'test_ppr=0.004', 'test_sen=0.118', 'test_spe=0.212', 'test_macc=0.165', 'test_g_mean=0.158']
['[900,5000]', 'loss=0.473', 'test_acu=0.889', 'test_f1_score=0.000', 'test_acc=0.233', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.240', 'test_macc=0.120', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.456', 'test_acu=0.905', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.268', 'test_macc=0.134', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.440', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.286', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.424', 'test_acu=0.927', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.309', 'test_macc=0.154', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.408', 'test_acu=0.933', 'test_f1_score=0.000', 'test_acc=0.319', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.328', 'test_macc=0.164', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.392', 'test_acu=0.939', 'test_f1_score=0.000', 'test_acc=0.334', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.344', 'test_macc=0.172', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.375', 'test_acu=0.944', 'test_f1_score=0.000', 'test_acc=0.342', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.353', 'test_macc=0.176', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.358', 'test_acu=0.947', 'test_f1_score=0.000', 'test_acc=0.361', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.372', 'test_macc=0.186', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.340', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.363', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.374', 'test_macc=0.187', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.323', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.363', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.374', 'test_macc=0.187', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.306', 'test_acu=0.955', 'test_f1_score=0.000', 'test_acc=0.359', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.370', 'test_macc=0.185', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.289', 'test_acu=0.957', 'test_f1_score=0.000', 'test_acc=0.354', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.365', 'test_macc=0.182', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.273', 'test_acu=0.958', 'test_f1_score=0.000', 'test_acc=0.346', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.356', 'test_macc=0.178', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.257', 'test_acu=0.959', 'test_f1_score=0.000', 'test_acc=0.341', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.351', 'test_macc=0.175', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.242', 'test_acu=0.961', 'test_f1_score=0.000', 'test_acc=0.332', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.342', 'test_macc=0.171', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.227', 'test_acu=0.962', 'test_f1_score=0.000', 'test_acc=0.324', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.333', 'test_macc=0.167', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.213', 'test_acu=0.963', 'test_f1_score=0.000', 'test_acc=0.322', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.332', 'test_macc=0.166', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.200', 'test_acu=0.963', 'test_f1_score=0.000', 'test_acc=0.322', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.332', 'test_macc=0.166', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.188', 'test_acu=0.963', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.162', 'test_g_mean=0.000']
