1 fold training
['[0,5000]', 'loss=0.695', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[100,5000]', 'loss=0.667', 'test_acu=0.715', 'test_f1_score=0.054', 'test_acc=0.104', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.081', 'test_macc=0.482', 'test_g_mean=0.267']
['[200,5000]', 'loss=0.640', 'test_acu=0.746', 'test_f1_score=0.054', 'test_acc=0.111', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.088', 'test_macc=0.485', 'test_g_mean=0.278']
['[300,5000]', 'loss=0.615', 'test_acu=0.770', 'test_f1_score=0.051', 'test_acc=0.114', 'test_ppr=0.026', 'test_sen=0.824', 'test_spe=0.093', 'test_macc=0.458', 'test_g_mean=0.277']
['[400,5000]', 'loss=0.592', 'test_acu=0.791', 'test_f1_score=0.044', 'test_acc=0.121', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.104', 'test_macc=0.405', 'test_g_mean=0.270']
['[500,5000]', 'loss=0.572', 'test_acu=0.807', 'test_f1_score=0.045', 'test_acc=0.135', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.118', 'test_macc=0.412', 'test_g_mean=0.288']
['[600,5000]', 'loss=0.555', 'test_acu=0.822', 'test_f1_score=0.039', 'test_acc=0.162', 'test_ppr=0.020', 'test_sen=0.588', 'test_spe=0.149', 'test_macc=0.369', 'test_g_mean=0.296']
['[700,5000]', 'loss=0.540', 'test_acu=0.837', 'test_f1_score=0.036', 'test_acc=0.169', 'test_ppr=0.018', 'test_sen=0.529', 'test_spe=0.158', 'test_macc=0.344', 'test_g_mean=0.289']
['[800,5000]', 'loss=0.528', 'test_acu=0.850', 'test_f1_score=0.033', 'test_acc=0.189', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.181', 'test_macc=0.326', 'test_g_mean=0.292']
['[900,5000]', 'loss=0.516', 'test_acu=0.863', 'test_f1_score=0.029', 'test_acc=0.204', 'test_ppr=0.015', 'test_sen=0.412', 'test_spe=0.198', 'test_macc=0.305', 'test_g_mean=0.286']
['[1000,5000]', 'loss=0.506', 'test_acu=0.872', 'test_f1_score=0.017', 'test_acc=0.223', 'test_ppr=0.009', 'test_sen=0.235', 'test_spe=0.223', 'test_macc=0.229', 'test_g_mean=0.229']
['[1100,5000]', 'loss=0.497', 'test_acu=0.882', 'test_f1_score=0.004', 'test_acc=0.227', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.232', 'test_macc=0.145', 'test_g_mean=0.117']
['[1200,5000]', 'loss=0.488', 'test_acu=0.891', 'test_f1_score=0.000', 'test_acc=0.232', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.239', 'test_macc=0.119', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.480', 'test_acu=0.902', 'test_f1_score=0.000', 'test_acc=0.249', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.471', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.259', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.133', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.463', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.139', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.454', 'test_acu=0.937', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.445', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.289', 'test_macc=0.145', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.436', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.426', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.416', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.273', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.281', 'test_macc=0.140', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.406', 'test_acu=0.964', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.139', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.395', 'test_acu=0.967', 'test_f1_score=0.000', 'test_acc=0.269', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.277', 'test_macc=0.139', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.385', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.269', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.277', 'test_macc=0.139', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.374', 'test_acu=0.972', 'test_f1_score=0.000', 'test_acc=0.266', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.274', 'test_macc=0.137', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.362', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.272', 'test_macc=0.136', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.351', 'test_acu=0.976', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.268', 'test_macc=0.134', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.340', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.256', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.263', 'test_macc=0.132', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.329', 'test_acu=0.979', 'test_f1_score=0.000', 'test_acc=0.245', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.253', 'test_macc=0.126', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.317', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.242', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.249', 'test_macc=0.125', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.306', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.228', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.235', 'test_macc=0.118', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.296', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.208', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.285', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.204', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.211', 'test_macc=0.105', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.275', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.194', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.200', 'test_macc=0.100', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.265', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.187', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.193', 'test_macc=0.096', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.256', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.181', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.186', 'test_macc=0.093', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.247', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.175', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.181', 'test_macc=0.090', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.238', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.162', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.167', 'test_macc=0.083', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.230', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.152', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.156', 'test_macc=0.078', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.222', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.148', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.153', 'test_macc=0.076', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.215', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.136', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.140', 'test_macc=0.070', 'test_g_mean=0.000']
