1 fold training
['[0,5000]', 'loss=0.707', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[100,5000]', 'loss=0.675', 'test_acu=0.716', 'test_f1_score=0.054', 'test_acc=0.104', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.081', 'test_macc=0.482', 'test_g_mean=0.267']
['[200,5000]', 'loss=0.645', 'test_acu=0.748', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[300,5000]', 'loss=0.618', 'test_acu=0.773', 'test_f1_score=0.051', 'test_acc=0.109', 'test_ppr=0.026', 'test_sen=0.824', 'test_spe=0.088', 'test_macc=0.456', 'test_g_mean=0.269']
['[400,5000]', 'loss=0.593', 'test_acu=0.794', 'test_f1_score=0.044', 'test_acc=0.121', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.104', 'test_macc=0.405', 'test_g_mean=0.270']
['[500,5000]', 'loss=0.571', 'test_acu=0.810', 'test_f1_score=0.041', 'test_acc=0.133', 'test_ppr=0.021', 'test_sen=0.647', 'test_spe=0.118', 'test_macc=0.382', 'test_g_mean=0.276']
['[600,5000]', 'loss=0.553', 'test_acu=0.824', 'test_f1_score=0.039', 'test_acc=0.157', 'test_ppr=0.020', 'test_sen=0.588', 'test_spe=0.144', 'test_macc=0.366', 'test_g_mean=0.291']
['[700,5000]', 'loss=0.536', 'test_acu=0.839', 'test_f1_score=0.036', 'test_acc=0.177', 'test_ppr=0.019', 'test_sen=0.529', 'test_spe=0.167', 'test_macc=0.348', 'test_g_mean=0.297']
['[800,5000]', 'loss=0.522', 'test_acu=0.852', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.195', 'test_macc=0.333', 'test_g_mean=0.303']
['[900,5000]', 'loss=0.509', 'test_acu=0.864', 'test_f1_score=0.030', 'test_acc=0.218', 'test_ppr=0.015', 'test_sen=0.412', 'test_spe=0.212', 'test_macc=0.312', 'test_g_mean=0.296']
['[1000,5000]', 'loss=0.497', 'test_acu=0.873', 'test_f1_score=0.009', 'test_acc=0.225', 'test_ppr=0.005', 'test_sen=0.118', 'test_spe=0.228', 'test_macc=0.173', 'test_g_mean=0.164']
['[1100,5000]', 'loss=0.486', 'test_acu=0.882', 'test_f1_score=0.000', 'test_acc=0.242', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.249', 'test_macc=0.125', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.475', 'test_acu=0.891', 'test_f1_score=0.000', 'test_acc=0.259', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.133', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.465', 'test_acu=0.902', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.272', 'test_macc=0.136', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.454', 'test_acu=0.914', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.444', 'test_acu=0.923', 'test_f1_score=0.000', 'test_acc=0.286', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.433', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.300', 'test_macc=0.150', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.423', 'test_acu=0.937', 'test_f1_score=0.000', 'test_acc=0.295', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.412', 'test_acu=0.942', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.307', 'test_macc=0.154', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.401', 'test_acu=0.948', 'test_f1_score=0.000', 'test_acc=0.302', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.155', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.389', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.302', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.155', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.378', 'test_acu=0.954', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.307', 'test_macc=0.154', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.366', 'test_acu=0.957', 'test_f1_score=0.000', 'test_acc=0.293', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.302', 'test_macc=0.151', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.355', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.296', 'test_macc=0.148', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.343', 'test_acu=0.962', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.296', 'test_macc=0.148', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.332', 'test_acu=0.963', 'test_f1_score=0.000', 'test_acc=0.283', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.291', 'test_macc=0.146', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.320', 'test_acu=0.965', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.309', 'test_acu=0.967', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.298', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.139', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.286', 'test_acu=0.971', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.275', 'test_macc=0.138', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.276', 'test_acu=0.972', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.272', 'test_macc=0.136', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.265', 'test_acu=0.973', 'test_f1_score=0.000', 'test_acc=0.254', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.261', 'test_macc=0.131', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.255', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.244', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.251', 'test_macc=0.125', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.244', 'test_acu=0.976', 'test_f1_score=0.000', 'test_acc=0.235', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.242', 'test_macc=0.121', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.235', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.225', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.232', 'test_macc=0.116', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.225', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.218', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.225', 'test_macc=0.112', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.216', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.216', 'test_macc=0.108', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.208', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.196', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.202', 'test_macc=0.101', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.200', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.191', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.196', 'test_macc=0.098', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.192', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.184', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.189', 'test_macc=0.095', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.184', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.179', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.184', 'test_macc=0.092', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.177', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.175', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.181', 'test_macc=0.090', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.171', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.174', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.179', 'test_macc=0.089', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.164', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.170', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.175', 'test_macc=0.088', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.158', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.167', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.172', 'test_macc=0.086', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.153', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.155', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.160', 'test_macc=0.080', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.147', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.148', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.153', 'test_macc=0.076', 'test_g_mean=0.000']
['[4700,5000]', 'loss=0.142', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.148', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.153', 'test_macc=0.076', 'test_g_mean=0.000']
['[4800,5000]', 'loss=0.138', 'test_acu=0.986', 'test_f1_score=0.000', 'test_acc=0.145', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.149', 'test_macc=0.075', 'test_g_mean=0.000']
['[4900,5000]', 'loss=0.133', 'test_acu=0.986', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.137', 'test_macc=0.068', 'test_g_mean=0.000']
2 fold training
['[0,5000]', 'loss=0.707', 'test_acu=0.665', 'test_f1_score=0.057', 'test_acc=0.104', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.079', 'test_macc=0.539', 'test_g_mean=0.281']
['[100,5000]', 'loss=0.678', 'test_acu=0.701', 'test_f1_score=0.057', 'test_acc=0.099', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.074', 'test_macc=0.537', 'test_g_mean=0.271']
['[200,5000]', 'loss=0.649', 'test_acu=0.730', 'test_f1_score=0.057', 'test_acc=0.101', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.075', 'test_macc=0.538', 'test_g_mean=0.274']
['[300,5000]', 'loss=0.621', 'test_acu=0.755', 'test_f1_score=0.054', 'test_acc=0.097', 'test_ppr=0.028', 'test_sen=0.938', 'test_spe=0.074', 'test_macc=0.506', 'test_g_mean=0.263']
['[400,5000]', 'loss=0.597', 'test_acu=0.774', 'test_f1_score=0.054', 'test_acc=0.106', 'test_ppr=0.028', 'test_sen=0.938', 'test_spe=0.082', 'test_macc=0.510', 'test_g_mean=0.278']
['[500,5000]', 'loss=0.575', 'test_acu=0.793', 'test_f1_score=0.055', 'test_acc=0.119', 'test_ppr=0.028', 'test_sen=0.938', 'test_spe=0.096', 'test_macc=0.517', 'test_g_mean=0.301']
['[600,5000]', 'loss=0.556', 'test_acu=0.810', 'test_f1_score=0.052', 'test_acc=0.135', 'test_ppr=0.027', 'test_sen=0.875', 'test_spe=0.114', 'test_macc=0.494', 'test_g_mean=0.316']
['[700,5000]', 'loss=0.540', 'test_acu=0.827', 'test_f1_score=0.034', 'test_acc=0.140', 'test_ppr=0.018', 'test_sen=0.562', 'test_spe=0.128', 'test_macc=0.345', 'test_g_mean=0.268']
['[800,5000]', 'loss=0.526', 'test_acu=0.842', 'test_f1_score=0.031', 'test_acc=0.158', 'test_ppr=0.016', 'test_sen=0.500', 'test_spe=0.149', 'test_macc=0.324', 'test_g_mean=0.273']
['[900,5000]', 'loss=0.514', 'test_acu=0.858', 'test_f1_score=0.020', 'test_acc=0.165', 'test_ppr=0.010', 'test_sen=0.312', 'test_spe=0.161', 'test_macc=0.237', 'test_g_mean=0.224']
['[1000,5000]', 'loss=0.503', 'test_acu=0.871', 'test_f1_score=0.016', 'test_acc=0.170', 'test_ppr=0.008', 'test_sen=0.250', 'test_spe=0.168', 'test_macc=0.209', 'test_g_mean=0.205']
['[1100,5000]', 'loss=0.492', 'test_acu=0.884', 'test_f1_score=0.012', 'test_acc=0.182', 'test_ppr=0.006', 'test_sen=0.188', 'test_spe=0.182', 'test_macc=0.185', 'test_g_mean=0.185']
['[1200,5000]', 'loss=0.483', 'test_acu=0.899', 'test_f1_score=0.004', 'test_acc=0.199', 'test_ppr=0.002', 'test_sen=0.062', 'test_spe=0.203', 'test_macc=0.133', 'test_g_mean=0.113']
['[1300,5000]', 'loss=0.473', 'test_acu=0.910', 'test_f1_score=0.000', 'test_acc=0.211', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.217', 'test_macc=0.109', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.464', 'test_acu=0.920', 'test_f1_score=0.000', 'test_acc=0.225', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.231', 'test_macc=0.116', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.455', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.233', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.240', 'test_macc=0.120', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.445', 'test_acu=0.936', 'test_f1_score=0.000', 'test_acc=0.240', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.247', 'test_macc=0.123', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.436', 'test_acu=0.944', 'test_f1_score=0.000', 'test_acc=0.247', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.254', 'test_macc=0.127', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.427', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.252', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.259', 'test_macc=0.130', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.417', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.254', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.261', 'test_macc=0.130', 'test_g_mean=0.000']
