1 fold training
['[0,5000]', 'loss=0.710', 'test_acu=0.676', 'test_f1_score=0.054', 'test_acc=0.107', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.084', 'test_macc=0.483', 'test_g_mean=0.273']
['[100,5000]', 'loss=0.681', 'test_acu=0.715', 'test_f1_score=0.054', 'test_acc=0.104', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.081', 'test_macc=0.482', 'test_g_mean=0.267']
['[200,5000]', 'loss=0.652', 'test_acu=0.746', 'test_f1_score=0.054', 'test_acc=0.102', 'test_ppr=0.028', 'test_sen=0.882', 'test_spe=0.079', 'test_macc=0.481', 'test_g_mean=0.264']
['[300,5000]', 'loss=0.625', 'test_acu=0.770', 'test_f1_score=0.051', 'test_acc=0.106', 'test_ppr=0.026', 'test_sen=0.824', 'test_spe=0.084', 'test_macc=0.454', 'test_g_mean=0.263']
['[400,5000]', 'loss=0.600', 'test_acu=0.791', 'test_f1_score=0.044', 'test_acc=0.111', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.093', 'test_macc=0.399', 'test_g_mean=0.256']
['[500,5000]', 'loss=0.578', 'test_acu=0.807', 'test_f1_score=0.045', 'test_acc=0.128', 'test_ppr=0.023', 'test_sen=0.706', 'test_spe=0.111', 'test_macc=0.408', 'test_g_mean=0.279']
['[600,5000]', 'loss=0.558', 'test_acu=0.820', 'test_f1_score=0.042', 'test_acc=0.140', 'test_ppr=0.022', 'test_sen=0.647', 'test_spe=0.125', 'test_macc=0.386', 'test_g_mean=0.284']
['[700,5000]', 'loss=0.542', 'test_acu=0.834', 'test_f1_score=0.039', 'test_acc=0.165', 'test_ppr=0.020', 'test_sen=0.588', 'test_spe=0.153', 'test_macc=0.370', 'test_g_mean=0.300']
['[800,5000]', 'loss=0.527', 'test_acu=0.846', 'test_f1_score=0.032', 'test_acc=0.182', 'test_ppr=0.017', 'test_sen=0.471', 'test_spe=0.174', 'test_macc=0.322', 'test_g_mean=0.286']
['[900,5000]', 'loss=0.514', 'test_acu=0.859', 'test_f1_score=0.029', 'test_acc=0.198', 'test_ppr=0.015', 'test_sen=0.412', 'test_spe=0.191', 'test_macc=0.301', 'test_g_mean=0.281']
['[1000,5000]', 'loss=0.502', 'test_acu=0.868', 'test_f1_score=0.025', 'test_acc=0.218', 'test_ppr=0.013', 'test_sen=0.353', 'test_spe=0.214', 'test_macc=0.283', 'test_g_mean=0.275']
['[1100,5000]', 'loss=0.491', 'test_acu=0.877', 'test_f1_score=0.009', 'test_acc=0.223', 'test_ppr=0.005', 'test_sen=0.118', 'test_spe=0.226', 'test_macc=0.172', 'test_g_mean=0.163']
['[1200,5000]', 'loss=0.481', 'test_acu=0.885', 'test_f1_score=0.004', 'test_acc=0.232', 'test_ppr=0.002', 'test_sen=0.059', 'test_spe=0.237', 'test_macc=0.148', 'test_g_mean=0.118']
['[1300,5000]', 'loss=0.471', 'test_acu=0.892', 'test_f1_score=0.000', 'test_acc=0.247', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.254', 'test_macc=0.127', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.462', 'test_acu=0.900', 'test_f1_score=0.000', 'test_acc=0.259', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.133', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.452', 'test_acu=0.910', 'test_f1_score=0.000', 'test_acc=0.273', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.281', 'test_macc=0.140', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.443', 'test_acu=0.920', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.433', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.296', 'test_macc=0.148', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.424', 'test_acu=0.936', 'test_f1_score=0.000', 'test_acc=0.290', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.298', 'test_macc=0.149', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.414', 'test_acu=0.942', 'test_f1_score=0.000', 'test_acc=0.286', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.405', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.286', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.395', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.286', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.386', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.293', 'test_macc=0.146', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.376', 'test_acu=0.955', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.367', 'test_acu=0.958', 'test_f1_score=0.000', 'test_acc=0.276', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.284', 'test_macc=0.142', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.357', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.348', 'test_acu=0.962', 'test_f1_score=0.000', 'test_acc=0.273', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.281', 'test_macc=0.140', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.339', 'test_acu=0.964', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.139', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.330', 'test_acu=0.965', 'test_f1_score=0.000', 'test_acc=0.262', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.270', 'test_macc=0.135', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.321', 'test_acu=0.967', 'test_f1_score=0.000', 'test_acc=0.257', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.265', 'test_macc=0.132', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.312', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.254', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.261', 'test_macc=0.131', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.304', 'test_acu=0.970', 'test_f1_score=0.000', 'test_acc=0.249', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.295', 'test_acu=0.972', 'test_f1_score=0.000', 'test_acc=0.242', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.249', 'test_macc=0.125', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.287', 'test_acu=0.973', 'test_f1_score=0.000', 'test_acc=0.235', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.242', 'test_macc=0.121', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.279', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.230', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.237', 'test_macc=0.118', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.271', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.221', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.228', 'test_macc=0.114', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.264', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.208', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.256', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.199', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.205', 'test_macc=0.103', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.249', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.196', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.202', 'test_macc=0.101', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.242', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.193', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.198', 'test_macc=0.099', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.235', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.184', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.189', 'test_macc=0.095', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.229', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.172', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.177', 'test_macc=0.089', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.222', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.164', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.168', 'test_macc=0.084', 'test_g_mean=0.000']
